iter	Logloss
0	0.692368977
1	0.6917967097
2	0.6909996743
3	0.6903833014
4	0.6896971351
5	0.6890149084
6	0.6885292376
7	0.6879770989
8	0.6873622043
9	0.6867083928
10	0.685985576
11	0.6854606158
12	0.6848492614
13	0.6842856402
14	0.6837338209
15	0.6830334844
16	0.6826448883
17	0.6820593553
18	0.6815891304
19	0.6811202624
20	0.6805231239
21	0.6801495458
22	0.6796914883
23	0.6791897619
24	0.6788206191
25	0.6784070552
26	0.6780142316
27	0.6775606825
28	0.6770236975
29	0.6766493074
30	0.6761082285
31	0.6756426549
32	0.675088672
33	0.6745742834
34	0.6740734092
35	0.6736915533
36	0.6733099017
37	0.6728510869
38	0.672436567
39	0.6720037334
40	0.671446933
41	0.671047691
42	0.6707131544
43	0.6703561873
44	0.6700812167
45	0.6697679487
46	0.6693420324
47	0.6687947958
48	0.6685071239
49	0.6681890288
50	0.6678040972
51	0.6675249469
52	0.6670881989
53	0.6666030024
54	0.6663419473
55	0.6660585302
56	0.6656917916
57	0.6654104336
58	0.6650927337
59	0.6648181808
60	0.6645385698
61	0.6642157444
62	0.6639395387
63	0.6635700409
64	0.6632801481
65	0.6629304246
66	0.6625890961
67	0.6622417868
68	0.6617898322
69	0.6614889236
70	0.6612423868
71	0.6609862091
72	0.6606847222
73	0.6604310756
74	0.6601884918
75	0.6598988243
76	0.6596269759
77	0.6593985772
78	0.6589656513
79	0.6587714416
80	0.6584633915
81	0.6582096925
82	0.657901183
83	0.6576400374
84	0.6573704663
85	0.6571081362
86	0.656830202
87	0.6565822377
88	0.6562556993
89	0.6560225132
90	0.6557673273
91	0.6555461134
92	0.6552655854
93	0.6549695594
94	0.6547374556
95	0.6544836176
96	0.654198591
97	0.6539247733
98	0.6535470375
99	0.6532077627
