iter	Passed	Remaining
0	3	298
1	5	264
2	7	246
3	9	238
4	11	224
5	14	223
6	16	217
7	18	210
8	20	205
9	22	204
10	24	200
11	27	198
12	29	194
13	31	191
14	33	188
15	35	185
16	37	183
17	39	179
18	41	177
19	44	176
20	46	176
21	48	173
22	50	170
23	52	167
24	55	166
25	57	163
26	59	161
27	62	159
28	63	156
29	66	154
30	68	152
31	70	149
32	72	147
33	74	145
34	77	143
35	79	140
36	81	138
37	84	137
38	86	135
39	88	133
40	91	131
41	93	128
42	95	126
43	97	123
44	98	120
45	100	118
46	102	116
47	104	113
48	106	111
49	108	108
50	110	106
51	113	104
52	115	102
53	117	100
54	119	97
55	121	95
56	123	93
57	125	90
58	127	88
59	129	86
60	131	84
61	133	81
62	136	80
63	139	78
64	141	76
65	144	74
66	146	72
67	148	69
68	151	67
69	153	65
70	155	63
71	158	61
72	160	59
73	162	57
74	165	55
75	167	52
76	169	50
77	172	48
78	174	46
79	176	44
80	180	42
81	183	40
82	186	38
83	188	35
84	190	33
85	192	31
86	195	29
87	197	26
88	200	24
89	203	22
90	205	20
91	212	18
92	215	16
93	220	14
94	224	11
95	227	9
96	228	7
97	230	4
98	233	2
99	236	0
