Rk,Team,Date,PTS,ORtg,DRtg,ORtg,DRtg,,Opp,Result,MP,H_FG,H_FGA,H_FG%,H_2P,H_2PA,H_2P%,H_3P,H_3PA,H_3P%,H_FT,H_FTA,H_FT%,H_PTS,A_FG,A_FGA,A_FG%,A_2P,A_2PA,A_2P%,A_3P,A_3PA,A_3P%,A_FT,A_FTA,A_FT%,A_PTS,H_ORtg,H_DRtg,H_FTr,H_3PAr,H_TS%,H_eFG%,H_FT/FGA,A_ORtg,A_DRtg,A_FTr,A_3PAr,A_TS%,A_eFG%,A_FT/FGA,ORtg,DRtg,FTr,3PAr,TS%,eFG%,FT/FGA,ORtg,DRtg,FTr,3PAr,TS%,eFG%,FT/FGA
1,SAC,2023-02-24,176,136.9,136.1,136.1,136.9,@,LAC,W 176-175 (2OT),290,65,111,.586,47,70,.671,18,41,.439,28,35,.800,176,59,98,.602,33,53,.623,26,45,.578,31,36,.861,175,136.9,136.1,.315,.369,.696,.667,.252,136.1,136.9,.367,.459,.769,.735,.316,136.9,136.1,.315,.369,.696,.667,.252,136.1,136.9,.367,.459,.769,.735,.316
2,LAC,2023-02-24,175,136.1,136.9,136.9,136.1,,SAC,L 175-176 (2OT),290,59,98,.602,33,53,.623,26,45,.578,31,36,.861,175,65,111,.586,47,70,.671,18,41,.439,28,35,.800,176,136.1,136.9,.367,.459,.769,.735,.316,136.9,136.1,.315,.369,.696,.667,.252,136.1,136.9,.367,.459,.769,.735,.316,136.9,136.1,.315,.369,.696,.667,.252
3,HOU,2019-10-30,159,145.0,144.1,144.1,145.0,@,WAS,W 159-158,240,55,103,.534,32,49,.653,23,54,.426,26,33,.788,159,57,91,.626,37,55,.673,20,36,.556,24,29,.828,158,145.0,144.1,.320,.524,.676,.646,.252,144.1,145.0,.319,.396,.761,.736,.264,145.0,144.1,.320,.524,.676,.646,.252,144.1,145.0,.319,.396,.761,.736,.264
4,CHO,2022-01-26,158,147.7,117.8,117.8,147.7,@,IND,W 158-126,240,54,93,.581,30,48,.625,24,45,.533,26,33,.788,158,44,92,.478,34,58,.586,10,34,.294,28,34,.824,126,147.7,117.8,.355,.484,.735,.710,.280,117.8,147.7,.370,.370,.589,.533,.304,147.7,117.8,.355,.484,.735,.710,.280,117.8,147.7,.370,.370,.589,.533,.304
5,HOU,2019-11-30,158,154.0,108.2,108.2,154.0,,ATL,W 158-111,240,52,89,.584,27,38,.711,25,51,.490,29,34,.853,158,38,89,.427,23,43,.535,15,46,.326,20,25,.800,111,154.0,108.2,.382,.573,.760,.725,.326,108.2,154.0,.281,.517,.555,.511,.225,154.0,108.2,.382,.573,.760,.725,.326,108.2,154.0,.281,.517,.555,.511,.225
6,WAS,2019-10-30,158,144.1,145.0,145.0,144.1,,HOU,L 158-159,240,57,91,.626,37,55,.673,20,36,.556,24,29,.828,158,55,103,.534,32,49,.653,23,54,.426,26,33,.788,159,144.1,145.0,.319,.396,.761,.736,.264,145.0,144.1,.320,.524,.676,.646,.252,144.1,145.0,.319,.396,.761,.736,.264,145.0,144.1,.320,.524,.676,.646,.252
7,IND,2023-11-21,157,144.8,140.2,140.2,144.8,@,ATL,W 157-152,240,57,94,.606,35,49,.714,22,45,.489,21,28,.750,157,57,95,.600,42,64,.656,15,31,.484,23,28,.821,152,144.8,140.2,.298,.479,.738,.723,.223,140.2,144.8,.295,.326,.708,.679,.242,144.8,140.2,.298,.479,.738,.723,.223,140.2,144.8,.295,.326,.708,.679,.242
8,GSW,2023-04-09,157,143.9,92.6,92.6,143.9,@,POR,W 157-101,240,58,96,.604,31,47,.660,27,49,.551,14,16,.875,157,38,95,.400,29,60,.483,9,35,.257,16,24,.667,101,143.9,92.6,.167,.510,.762,.745,.146,92.6,143.9,.253,.368,.478,.447,.168,143.9,92.6,.167,.510,.762,.745,.146,92.6,143.9,.253,.368,.478,.447,.168
9,SAS,2022-02-25,157,130.7,127.3,127.3,130.7,@,WAS,W 157-153 (2OT),290,57,105,.543,48,76,.632,9,29,.310,34,43,.791,157,59,108,.546,43,70,.614,16,38,.421,19,24,.792,153,130.7,127.3,.410,.276,.633,.586,.324,127.3,130.7,.222,.352,.645,.620,.176,130.7,127.3,.410,.276,.633,.586,.324,127.3,130.7,.222,.352,.645,.620,.176
10,BOS,2023-11-01,155,148.3,99.5,99.5,148.3,,IND,W 155-104,240,54,95,.568,34,60,.567,20,35,.571,27,28,.964,155,46,101,.455,41,64,.641,5,37,.135,7,12,.583,104,148.3,99.5,.295,.368,.722,.674,.284,99.5,148.3,.119,.366,.489,.480,.069,148.3,99.5,.295,.368,.722,.674,.284,99.5,148.3,.119,.366,.489,.480,.069
11,UTA,2024-01-03,154,137.7,132.3,132.3,137.7,,DET,W 154-148 (OT),265,53,103,.515,37,71,.521,16,32,.500,32,35,.914,154,56,105,.533,37,64,.578,19,41,.463,17,22,.773,148,137.7,132.3,.340,.311,.650,.592,.311,132.3,137.7,.210,.390,.645,.624,.162,137.7,132.3,.340,.311,.650,.592,.311,132.3,137.7,.210,.390,.645,.624,.162
12,WAS,2021-05-03,154,130.3,119.3,119.3,130.3,,IND,W 154-141,240,63,103,.612,54,81,.667,9,22,.409,19,24,.792,154,53,107,.495,39,80,.488,14,27,.519,21,25,.840,141,130.3,119.3,.233,.214,.678,.655,.184,119.3,130.3,.234,.252,.597,.561,.196,130.3,119.3,.233,.214,.678,.655,.184,119.3,130.3,.234,.252,.597,.561,.196
13,UTA,2021-04-28,154,153.5,104.7,104.7,153.5,@,SAC,W 154-105,240,55,86,.640,31,45,.689,24,41,.585,20,21,.952,154,42,87,.483,35,66,.530,7,21,.333,14,17,.824,105,153.5,104.7,.244,.477,.808,.779,.233,104.7,153.5,.195,.241,.556,.523,.161,153.5,104.7,.244,.477,.808,.779,.233,104.7,153.5,.195,.241,.556,.523,.161
14,NOP,2024-01-23,153,143.8,116.5,116.5,143.8,,UTA,W 153-124,240,60,104,.577,37,58,.638,23,46,.500,10,15,.667,153,43,92,.467,31,56,.554,12,36,.333,26,32,.813,124,143.8,116.5,.144,.442,.692,.688,.096,116.5,143.8,.348,.391,.584,.533,.283,143.8,116.5,.144,.442,.692,.688,.096,116.5,143.8,.348,.391,.584,.533,.283
15,OKC,2023-02-04,153,147.6,116.7,116.7,147.6,,HOU,W 153-121,240,56,97,.577,35,51,.686,21,46,.457,20,23,.870,153,45,89,.506,35,59,.593,10,30,.333,21,27,.778,121,147.6,116.7,.237,.474,.714,.686,.206,116.7,147.6,.303,.337,.600,.562,.236,147.6,116.7,.237,.474,.714,.686,.206,116.7,147.6,.303,.337,.600,.562,.236
16,SAC,2022-11-15,153,140.9,111.4,111.4,140.9,,BRK,W 153-121,240,56,94,.596,36,53,.679,20,41,.488,21,25,.840,153,40,81,.494,29,53,.547,11,28,.393,30,33,.909,121,140.9,111.4,.266,.436,.729,.702,.223,111.4,140.9,.407,.346,.633,.562,.370,140.9,111.4,.266,.436,.729,.702,.223,111.4,140.9,.407,.346,.633,.562,.370
