Home,H/A_H,Date,Away,H/A_A,Result,Game_ID,MP_Home,Tm_FG_Home,Tm_FGA_Home,Tm_FG%_Home,Tm_2P_Home,Tm_2PA_Home,Tm_2P%_Home,Tm_3P_Home,Tm_3PA_Home,Tm_3P%_Home,Tm_FT_Home,Tm_FTA_Home,Tm_FT%_Home,Tm_PTS_Home,Ag_FG_Home,Ag_FGAg_Home,Ag_FG%_Home,Ag_2P_Home,Ag_2PAg_Home,Ag_2P%_Home,Ag_3P_Home,Ag_3PAg_Home,Ag_3P%_Home,Ag_FT_Home,Ag_FTAg_Home,Ag_FT%_Home,Ag_PTS_Home,Tm_ORtg_Home,Tm_DRtg_Home,Tm_FTr_Home,Tm_3PAr_Home,Tm_TS%_Home,Tm_eFG%_Home,Tm_FT/FGA_Home,Ag_ORtg_Home,Ag_DRtg_Home,Ag_FTr_Home,Ag_3PAr_Home,Ag_TS%_Home,Ag_eFG%_Home,TS%_P1_Home,TRB_P1_Home,AST_P1_Home,PTS_P1_Home,GmSc_P1_Home,+/-_P1_Home,TS%_P2_Home,TRB_P2_Home,AST_P2_Home,PTS_P2_Home,GmSc_P2_Home,+/-_P2_Home,MP_Away,Tm_FG_Away,Tm_FGA_Away,Tm_FG%_Away,Tm_2P_Away,Tm_2PA_Away,Tm_2P%_Away,Tm_3P_Away,Tm_3PA_Away,Tm_3P%_Away,Tm_FT_Away,Tm_FTA_Away,Tm_FT%_Away,Tm_PTS_Away,Ag_FG_Away,Ag_FGAg_Away,Ag_FG%_Away,Ag_2P_Away,Ag_2PAg_Away,Ag_2P%_Away,Ag_3P_Away,Ag_3PAg_Away,Ag_3P%_Away,Ag_FT_Away,Ag_FTAg_Away,Ag_FT%_Away,Ag_PTS_Away,Tm_ORtg_Away,Tm_DRtg_Away,Tm_FTr_Away,Tm_3PAr_Away,Tm_TS%_Away,Tm_eFG%_Away,Tm_FT/FGA_Away,Ag_ORtg_Away,Ag_DRtg_Away,Ag_FTr_Away,Ag_3PAr_Away,Ag_TS%_Away,Ag_eFG%_Away,TS%_P1_Away,TRB_P1_Away,AST_P1_Away,PTS_P1_Away,GmSc_P1_Away,+/-_P1_Away,TS%_P2_Away,TRB_P2_Away,AST_P2_Away,PTS_P2_Away,GmSc_P2_Away,+/-_P2_Away,Times_W,Times_L
LAL,Home,2020-12-25,DAL,Away,W 138-115,--00122225AADLLL,240.0,38.0,81.0,0.469,29.0,52.0,0.558,9.0,29.0,0.31,24.0,31.0,0.774,109.0,44.0,93.0,0.473,30.0,53.0,0.566,14.0,40.0,0.35,14.0,19.0,0.737,116.0,105.3,112.1,0.383,0.358,0.576,0.525,0.296,112.1,105.3,0.204,0.43,0.572,0.548,0.5642,6.2,7.2,23.6,18.439999999999998,-3.6,0.5212,9.2,4.2,20.6,17.34,-4.8,240.0,36.0,85.0,0.424,27.0,48.0,0.563,9.0,37.0,0.243,21.0,26.0,0.808,102.0,38.0,79.0,0.481,27.0,49.0,0.551,11.0,30.0,0.367,19.0,27.0,0.704,106.0,101.5,105.5,0.306,0.435,0.529,0.476,0.247,105.5,101.5,0.342,0.38,0.583,0.551,0.625,10.0,9.4,28.4,24.3,-2.2,0.5700000000000001,2.8,1.4,15.0,9.780000000000003,-9.4,0.0,0.0
DEN,Home,2020-12-25,LAC,Away,L 108-121,--00122225ACDELN,265.0,47.0,98.0,0.48,39.0,69.0,0.565,8.0,29.0,0.276,20.0,24.0,0.833,122.0,45.0,102.0,0.441,35.0,71.0,0.493,10.0,31.0,0.323,24.0,31.0,0.774,124.0,111.5,113.3,0.245,0.296,0.562,0.52,0.204,113.3,111.5,0.304,0.304,0.536,0.49,0.7024,5.0,7.8,13.8,13.959999999999999,0.4,0.6108,6.4,2.2,18.4,13.959999999999999,2.6,240.0,44.0,93.0,0.473,30.0,53.0,0.566,14.0,40.0,0.35,14.0,19.0,0.737,116.0,38.0,81.0,0.469,29.0,52.0,0.558,9.0,29.0,0.31,24.0,31.0,0.774,109.0,112.1,105.3,0.204,0.43,0.572,0.548,0.151,105.3,112.1,0.383,0.358,0.576,0.525,0.5146,3.0,4.2,13.2,10.18,-2.0,0.6128,5.2,4.4,29.0,22.740000000000002,12.8,0.0,0.0
MIA,Home,2020-12-25,NOP,Away,W 111-98,--00122225AIMNOP,240.0,42.0,83.0,0.506,35.0,63.0,0.556,7.0,20.0,0.35,16.0,19.0,0.842,107.0,42.0,88.0,0.477,32.0,60.0,0.533,10.0,28.0,0.357,19.0,30.0,0.633,113.0,102.0,107.7,0.229,0.241,0.586,0.548,0.193,107.7,102.0,0.341,0.318,0.558,0.534,0.4806,7.0,5.0,12.2,10.1,3.2,0.6562,2.6,1.6,15.8,10.94,-0.8,240.0,42.0,80.0,0.525,23.0,38.0,0.605,19.0,42.0,0.452,10.0,20.0,0.5,113.0,38.0,89.0,0.427,24.0,43.0,0.558,14.0,46.0,0.304,9.0,12.0,0.75,99.0,108.6,95.2,0.25,0.525,0.636,0.644,0.125,95.2,108.6,0.135,0.517,0.525,0.506,0.5389999999999999,4.0,5.2,14.2,9.479999999999999,1.8,0.5791999999999999,4.4,3.6,19.2,12.32,-8.6,0.0,0.0
BOS,Home,2020-12-25,BRK,Away,L 95-123,--00122225BBKORS,240.0,48.0,101.0,0.475,30.0,61.0,0.492,18.0,40.0,0.45,8.0,11.0,0.727,122.0,46.0,90.0,0.511,32.0,55.0,0.582,14.0,35.0,0.4,15.0,18.0,0.833,121.0,122.1,121.1,0.109,0.396,0.576,0.564,0.079,121.1,122.1,0.2,0.389,0.618,0.589,0.7436,6.2,3.0,23.6,17.419999999999998,13.6,0.5004,7.2,1.4,17.0,10.78,8.0,240.0,42.0,92.0,0.457,27.0,57.0,0.474,15.0,35.0,0.429,26.0,32.0,0.813,125.0,37.0,99.0,0.374,27.0,66.0,0.409,10.0,33.0,0.303,15.0,23.0,0.652,99.0,113.1,89.6,0.348,0.38,0.589,0.538,0.283,89.6,113.1,0.232,0.333,0.454,0.424,0.7656000000000001,4.4,2.4,21.2,15.419999999999998,-2.2,0.5314000000000001,2.8,6.0,16.8,12.620000000000001,-4.2,0.0,0.0
MIL,Home,2020-12-25,GSW,Away,W 138-99,--00122225GILMSW,240.0,46.0,90.0,0.511,32.0,55.0,0.582,14.0,35.0,0.4,15.0,18.0,0.833,121.0,48.0,101.0,0.475,30.0,61.0,0.492,18.0,40.0,0.45,8.0,11.0,0.727,122.0,121.1,122.1,0.2,0.389,0.618,0.589,0.167,122.1,121.1,0.109,0.396,0.576,0.564,0.7041999999999999,11.6,3.6,26.2,20.36,3.2,0.649,4.8,5.6,18.6,13.580000000000002,-0.8,240.0,37.0,99.0,0.374,27.0,66.0,0.409,10.0,33.0,0.303,15.0,23.0,0.652,99.0,42.0,92.0,0.457,27.0,57.0,0.474,15.0,35.0,0.429,26.0,32.0,0.813,125.0,89.6,113.1,0.232,0.333,0.454,0.424,0.152,113.1,89.6,0.348,0.38,0.589,0.538,0.62,4.2,6.4,18.0,15.8,-2.4,0.5838000000000001,4.8,0.8,8.2,7.219999999999999,-2.4,0.0,0.0
SAC,Home,2020-12-26,PHO,Away,W 106-103,--00122226ACHOPS,265.0,45.0,102.0,0.441,35.0,71.0,0.493,10.0,31.0,0.323,24.0,31.0,0.774,124.0,47.0,98.0,0.48,39.0,69.0,0.565,8.0,29.0,0.276,20.0,24.0,0.833,122.0,113.3,111.5,0.304,0.304,0.536,0.49,0.235,111.5,113.3,0.245,0.296,0.562,0.52,0.5107999999999999,6.6,1.0,15.4,11.620000000000001,-1.8,0.691,2.4,1.4,15.0,9.66,-2.6,240.0,38.0,79.0,0.481,27.0,49.0,0.551,11.0,30.0,0.367,19.0,27.0,0.704,106.0,36.0,85.0,0.424,27.0,48.0,0.563,9.0,37.0,0.243,21.0,26.0,0.808,102.0,105.5,101.5,0.342,0.38,0.583,0.551,0.241,101.5,105.5,0.306,0.435,0.529,0.476,0.6491999999999999,5.4,6.4,30.4,24.6,14.0,0.6474,4.4,1.6,15.2,12.32,11.8,0.0,0.0
MEM,Home,2020-12-26,ATL,Away,L 112-122,--00122226AELMMT,240.0,49.0,95.0,0.516,39.0,68.0,0.574,10.0,27.0,0.37,11.0,18.0,0.611,119.0,48.0,95.0,0.505,38.0,70.0,0.543,10.0,25.0,0.4,25.0,29.0,0.862,131.0,110.5,121.6,0.189,0.284,0.578,0.568,0.116,121.6,110.5,0.305,0.263,0.608,0.558,0.5628,3.8,2.4,23.0,13.839999999999998,1.4,0.5294,6.2,10.2,18.8,15.059999999999999,-0.4,240.0,43.0,80.0,0.538,29.0,45.0,0.644,14.0,35.0,0.4,24.0,29.0,0.828,124.0,36.0,87.0,0.414,28.0,52.0,0.538,8.0,35.0,0.229,24.0,28.0,0.857,104.0,119.4,100.1,0.363,0.438,0.668,0.625,0.3,100.1,119.4,0.322,0.402,0.524,0.46,0.5312,3.2,9.6,26.6,17.759999999999998,-4.0,0.465,3.6,6.6,11.2,9.719999999999999,-9.0,0.0,0.0
UTA,Home,2020-12-26,MIN,Away,L 111-116,--00122226AIMNTU,240.0,43.0,94.0,0.457,24.0,44.0,0.545,19.0,50.0,0.38,15.0,19.0,0.789,120.0,37.0,92.0,0.402,25.0,59.0,0.424,12.0,33.0,0.364,14.0,17.0,0.824,100.0,122.1,101.8,0.202,0.532,0.586,0.559,0.16,101.8,122.1,0.185,0.359,0.503,0.467,0.5822,4.6,5.0,22.0,13.2,2.6,0.7336,10.8,1.6,15.6,16.2,3.0,240.0,38.0,88.0,0.432,27.0,47.0,0.574,11.0,41.0,0.268,24.0,28.0,0.857,111.0,45.0,93.0,0.484,37.0,58.0,0.638,8.0,35.0,0.229,3.0,8.0,0.375,101.0,112.7,102.6,0.318,0.466,0.553,0.494,0.273,102.6,112.7,0.086,0.376,0.523,0.527,0.6357999999999999,4.2,2.0,7.6,6.779999999999999,-6.2,0.6052,3.0,1.2,10.6,7.279999999999999,2.4,0.0,0.0
WAS,Home,2020-12-26,ORL,Away,L 120-130,--00122226ALORSW,240.0,39.0,85.0,0.459,26.0,58.0,0.448,13.0,27.0,0.481,16.0,23.0,0.696,107.0,41.0,87.0,0.471,33.0,59.0,0.559,8.0,28.0,0.286,23.0,30.0,0.767,113.0,101.2,106.9,0.271,0.318,0.562,0.535,0.188,106.9,101.2,0.345,0.322,0.564,0.517,0.5818,3.4,6.2,32.2,21.9,-5.4,0.5002,4.0,6.6,14.0,11.080000000000002,-2.2,240.0,42.0,88.0,0.477,32.0,60.0,0.533,10.0,28.0,0.357,19.0,30.0,0.633,113.0,42.0,83.0,0.506,35.0,63.0,0.556,7.0,20.0,0.35,16.0,19.0,0.842,107.0,107.7,102.0,0.341,0.318,0.558,0.534,0.216,102.0,107.7,0.229,0.241,0.586,0.548,0.502,2.8,3.2,14.4,9.22,7.8,0.5694,8.2,4.4,13.8,12.479999999999999,3.0,0.0,0.0
SAS,Home,2020-12-26,TOR,Away,W 119-114,--00122226AORSST,240.0,48.0,95.0,0.505,38.0,70.0,0.543,10.0,25.0,0.4,25.0,29.0,0.862,131.0,49.0,95.0,0.516,39.0,68.0,0.574,10.0,27.0,0.37,11.0,18.0,0.611,119.0,121.6,110.5,0.305,0.263,0.608,0.558,0.263,110.5,121.6,0.189,0.284,0.578,0.568,0.6418,4.4,4.6,22.2,19.160000000000004,4.2,0.48,6.6,3.2,21.0,14.919999999999998,0.2,240.0,38.0,89.0,0.427,24.0,43.0,0.558,14.0,46.0,0.304,9.0,12.0,0.75,99.0,42.0,80.0,0.525,23.0,38.0,0.605,19.0,42.0,0.452,10.0,20.0,0.5,113.0,95.2,108.6,0.135,0.517,0.525,0.506,0.101,108.6,95.2,0.25,0.525,0.636,0.644,0.48840000000000006,5.0,2.0,16.2,8.400000000000002,-0.4,0.5582,5.4,5.6,13.4,10.860000000000001,-0.2,0.0,0.0
