Rk,Player,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Joe Harris,2019-10-23,28-047,BRK,,MIN,L 126-127 (OT),*,39,5,9,.556,1,3,.333,4,6,.667,0,0,,.778,0,4,4,2,0,1,2,3,14,9.8,0.5,1,G,harrijo01
2,Joe Harris,2019-10-25,28-049,BRK,,NYK,W 113-109,*,31,5,8,.625,2,3,.667,3,5,.600,0,0,,.813,1,3,4,1,1,0,2,4,13,9.1,1.8,2,G,harrijo01
3,Joe Harris,2019-10-27,28-051,BRK,@,MEM,L 133-134 (OT),*,37,5,13,.385,2,5,.400,3,8,.375,0,0,,.500,1,1,2,2,1,0,2,3,13,6.1,-4.8,3,G,harrijo01
4,Joe Harris,2019-10-30,28-054,BRK,,IND,L 108-118,*,30,5,9,.556,2,3,.667,3,6,.500,0,1,.000,.689,1,1,2,0,0,0,3,1,13,5.9,-2.8,-8,G,harrijo01
5,Joe Harris,2019-11-01,28-056,BRK,,HOU,W 123-116,*,34,5,9,.556,2,5,.400,3,4,.750,2,2,1.000,.759,2,7,9,2,3,0,1,2,15,16.8,7.0,12,G,harrijo01
6,Joe Harris,2019-11-02,28-057,BRK,@,DET,L 109-113,*,31,7,10,.700,3,4,.750,4,6,.667,0,0,,.900,0,2,2,2,0,0,1,4,18,13.2,6.6,-5,G,harrijo01
7,Joe Harris,2019-11-04,28-059,BRK,,NOP,W 135-125,*,33,7,14,.500,3,5,.600,4,9,.444,1,2,.500,.638,2,1,3,4,1,0,2,3,19,13.9,1.2,-4,G,harrijo01
8,Joe Harris,2019-11-08,28-063,BRK,@,POR,W 119-115,*,31,5,12,.417,3,8,.375,2,4,.500,2,2,1.000,.543,3,2,5,1,0,1,0,2,14,10.9,1.1,-1,G,harrijo01
9,Joe Harris,2019-11-10,28-065,BRK,@,PHO,L 112-138,*,22,2,6,.333,2,2,1.000,0,4,.000,0,0,,.333,1,3,4,1,1,0,3,1,4,0.5,-12.0,-35,G,harrijo01
10,Joe Harris,2019-11-12,28-067,BRK,@,UTA,L 114-119,*,36,4,10,.400,2,5,.400,2,5,.400,1,2,.500,.506,0,5,5,0,0,0,2,5,11,2.7,-8.3,-22,G,harrijo01
11,Joe Harris,2019-11-14,28-069,BRK,@,DEN,L 93-101,*,31,4,11,.364,3,7,.429,1,4,.250,0,0,,.409,1,2,3,0,1,0,2,2,9,2.4,-7.0,1,G,harrijo01
