Rk,Player,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Zach LaVine,2019-10-23,24-227,CHI,@,CHO,L 125-126,*,30,7,17,.412,6,13,.462,1,4,.250,1,1,1.000,.459,3,3,6,7,2,1,5,3,16,11.3,-3.3,-8,G-F,lavinza01
2,Zach LaVine,2019-10-25,24-229,CHI,@,MEM,W 110-102,*,33,13,23,.565,9,15,.600,4,8,.500,7,10,.700,.675,1,5,6,4,3,1,2,4,37,30.0,17.8,12,G-F,lavinza01
3,Zach LaVine,2019-10-26,24-230,CHI,,TOR,L 84-108,*,30,4,13,.308,3,9,.333,1,4,.250,2,3,.667,.384,1,0,1,4,0,0,2,2,11,3.8,-3.9,-25,G-F,lavinza01
4,Zach LaVine,2019-10-28,24-232,CHI,@,NYK,L 98-105,*,36,8,18,.444,6,11,.545,2,7,.286,3,4,.750,.531,1,4,5,3,1,1,4,2,21,12.1,-1.3,-8,G-F,lavinza01
5,Zach LaVine,2019-10-30,24-234,CHI,@,CLE,L 111-117,*,32,6,14,.429,2,6,.333,4,8,.500,0,0,,.571,0,0,0,2,1,0,1,3,16,8.8,-3.6,-6,G-F,lavinza01
6,Zach LaVine,2019-11-01,24-236,CHI,,DET,W 112-106,*,32,8,20,.400,5,11,.455,3,9,.333,7,8,.875,.553,2,3,5,3,0,0,6,3,26,12.0,-5.0,10,G-F,lavinza01
7,Zach LaVine,2019-11-03,24-238,CHI,@,IND,L 95-108,*,32,8,19,.421,4,11,.364,4,8,.500,1,2,.500,.528,1,4,5,2,0,0,3,1,21,10.4,-0.6,-10,G-F,lavinza01
8,Zach LaVine,2019-11-05,24-240,CHI,,LAL,L 112-118,*,34,9,18,.500,6,11,.545,3,7,.429,5,7,.714,.617,1,6,7,7,2,0,3,3,26,21.4,7.4,-14,G-F,lavinza01
9,Zach LaVine,2019-11-06,24-241,CHI,@,ATL,W 113-93,*,31,4,10,.400,4,8,.500,0,2,.000,2,2,1.000,.460,2,6,8,4,2,2,4,2,10,9.2,-2.6,24,G-F,lavinza01
10,Zach LaVine,2019-11-09,24-244,CHI,,HOU,L 94-117,*,32,5,17,.294,4,10,.400,1,7,.143,0,0,,.324,1,0,1,5,2,1,4,3,11,2.8,-7.7,-20,G-F,lavinza01
11,Zach LaVine,2019-11-12,24-247,CHI,,NYK,W 120-102,*,31,9,19,.474,6,11,.545,3,8,.375,4,5,.800,.590,0,2,2,5,1,0,3,3,25,15.8,1.5,-4,G-F,lavinza01
12,Zach LaVine,2019-11-14,24-249,CHI,@,MIL,L 115-124,*,33,8,20,.400,4,11,.364,4,9,.444,5,5,1.000,.563,0,3,3,7,3,1,5,6,25,16.3,4.5,-5,G-F,lavinza01
13,Zach LaVine,2019-11-16,24-251,CHI,,BRK,L 111-117,*,32,11,24,.458,8,14,.571,3,10,.300,11,12,.917,.615,1,2,3,1,0,0,3,3,36,21.0,7.0,-8,G-F,lavinza01
14,Zach LaVine,2019-11-18,24-253,CHI,,MIL,L 101-115,*,28,4,16,.250,2,9,.222,2,7,.286,1,2,.500,.326,1,7,8,4,0,0,3,0,11,3.6,-8.2,-20,G-F,lavinza01
15,Zach LaVine,2019-11-20,24-255,CHI,,DET,W 109-89,*,28,2,11,.182,1,8,.125,1,3,.333,0,0,,.227,0,3,3,4,0,0,2,0,5,-0.2,-11.6,11,G-F,lavinza01
16,Zach LaVine,2019-11-22,24-257,CHI,,MIA,L 108-116,*,29,6,14,.429,6,10,.600,0,4,.000,3,3,1.000,.490,0,3,3,2,2,0,3,1,15,8.5,-5.7,-19,G-F,lavinza01
