Rk,Player,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Eric Paschall,2019-10-24,22-354,GSW,,LAC,L 122-141,,31,6,13,.462,6,12,.500,0,1,.000,2,3,.667,.489,2,2,4,3,2,0,1,1,14,11.6,-2.1,5,F,pascher01
2,Eric Paschall,2019-10-27,22-357,GSW,@,OKC,L 92-120,,24,4,6,.667,4,5,.800,0,1,.000,2,2,1.000,.727,1,2,3,1,0,0,0,1,10,9.0,-0.6,-6,F,pascher01
3,Eric Paschall,2019-10-28,22-358,GSW,@,NOP,W 134-123,,19,4,5,.800,4,5,.800,0,0,,0,0,,.800,1,1,2,3,0,0,3,0,8,6.2,-3.1,-22,F,pascher01
4,Eric Paschall,2019-10-30,22-360,GSW,,PHO,L 110-121,*,38,7,9,.778,7,9,.778,0,0,,6,6,1.000,.859,1,2,3,0,1,2,0,2,20,19.4,4.9,19,F,pascher01
5,Eric Paschall,2019-11-01,22-362,GSW,,SAS,L 110-127,,20,2,3,.667,2,2,1.000,0,1,.000,2,2,1.000,.773,1,1,2,1,1,0,2,3,6,4.2,-7.2,-19,F,pascher01
6,Eric Paschall,2019-11-02,22-363,GSW,,CHO,L 87-93,*,35,10,18,.556,10,13,.769,0,5,.000,5,8,.625,.581,0,4,4,2,0,1,1,3,25,16.3,1.4,-14,F,pascher01
7,Eric Paschall,2019-11-04,23-000,GSW,,POR,W 127-118,*,40,11,19,.579,7,13,.538,4,6,.667,8,8,1.000,.755,3,10,13,0,0,1,1,2,34,29.1,6.4,11,F,pascher01
8,Eric Paschall,2019-11-06,23-002,GSW,@,HOU,L 112-129,*,34,6,15,.400,4,11,.364,2,4,.500,5,5,1.000,.552,0,6,6,3,0,0,1,1,19,13.4,-2.4,-11,F,pascher01
9,Eric Paschall,2019-11-08,23-004,GSW,@,MIN,L 119-125 (OT),*,34,3,10,.300,3,9,.333,0,1,.000,6,6,1.000,.475,0,1,1,1,0,0,3,6,12,1.8,-13.3,-9,F,pascher01
10,Eric Paschall,2019-11-11,23-007,GSW,,UTA,L 108-122,,30,4,10,.400,4,8,.500,0,2,.000,0,0,,.400,2,4,6,0,2,0,0,1,8,6.8,-6.1,3,F,pascher01
11,Eric Paschall,2019-11-13,23-009,GSW,@,LAL,L 94-120,,32,7,15,.467,7,11,.636,0,4,.000,1,2,.500,.472,1,2,3,0,0,0,2,1,15,5.8,-11.3,-7,F,pascher01
12,Eric Paschall,2019-11-15,23-011,GSW,,BOS,L 100-105,*,33,6,14,.429,5,10,.500,1,4,.250,3,5,.600,.494,0,8,8,1,0,0,2,3,16,7.7,-3.9,-19,F,pascher01
13,Eric Paschall,2019-11-17,23-013,GSW,@,NOP,L 100-108,*,35,10,17,.588,8,13,.615,2,4,.500,8,10,.800,.701,3,4,7,2,0,0,1,2,30,24.2,9.1,3,F,pascher01
14,Eric Paschall,2019-11-19,23-015,GSW,@,MEM,W 114-95,*,24,7,15,.467,7,13,.538,0,2,.000,3,3,1.000,.521,1,4,5,3,0,1,2,6,17,9.6,-4.9,7,F,pascher01
15,Eric Paschall,2019-11-20,23-016,GSW,@,DAL,L 94-142,*,40,8,19,.421,7,15,.467,1,4,.250,5,9,.556,.479,2,5,7,0,1,0,2,0,22,12.2,-7.2,-43,F,pascher01
16,Eric Paschall,2019-11-22,23-018,GSW,@,UTA,L 109-113,*,30,5,14,.357,5,10,.500,0,4,.000,2,3,.667,.392,2,5,7,5,0,1,1,1,12,9.5,-5.8,-5,F,pascher01
17,Eric Paschall,2019-11-25,23-021,GSW,,OKC,L 97-100,*,31,6,9,.667,6,9,.667,0,0,,1,1,1.000,.689,2,8,10,1,0,1,5,5,13,7.3,-9.0,-4,F,pascher01
18,Eric Paschall,2019-11-27,23-023,GSW,,CHI,W 104-90,*,36,9,17,.529,7,15,.467,2,2,1.000,5,6,.833,.636,3,4,7,3,0,0,1,0,25,20.7,3.7,10,F,pascher01
19,Eric Paschall,2019-11-29,23-025,GSW,@,MIA,L 105-122,*,29,4,10,.400,3,7,.429,1,3,.333,8,10,.800,.590,0,1,1,1,0,0,2,1,17,9.4,-5.4,-12,F,pascher01
20,Eric Paschall,2019-12-01,23-027,GSW,@,ORL,L 96-100,*,35,6,14,.429,6,13,.462,0,1,.000,5,6,.833,.511,4,2,6,2,0,0,1,3,17,11.8,-2.7,-2,F,pascher01
21,Eric Paschall,2019-12-02,23-028,GSW,@,ATL,L 79-104,*,36,9,11,.818,7,9,.778,2,2,1.000,4,5,.800,.909,5,4,9,6,0,0,3,2,24,24.6,12.9,-17,F,pascher01
22,Eric Paschall,2019-12-04,23-030,GSW,@,CHO,L 91-106,*,36,6,13,.462,4,10,.400,2,3,.667,2,2,1.000,.576,0,6,6,1,0,0,3,1,16,8.4,-5.9,-7,F,pascher01
23,Eric Paschall,2019-12-06,23-032,GSW,@,CHI,W 100-98,*,31,5,10,.500,5,8,.625,0,2,.000,3,4,.750,.553,0,3,3,2,2,1,1,2,13,10.8,0.0,14,F,pascher01
24,Eric Paschall,2019-12-09,23-035,GSW,,MEM,L 102-110,*,21,2,10,.200,2,8,.250,0,2,.000,1,1,1.000,.239,1,1,2,0,0,1,2,0,5,-1.5,-16.7,-14,F,pascher01
25,Eric Paschall,2019-12-11,23-037,GSW,,NYK,L 122-124 (OT),*,17,2,6,.333,2,5,.400,0,1,.000,1,2,.500,.363,0,1,1,1,0,0,0,2,5,1.4,-12.4,-4,F,pascher01
26,Eric Paschall,2019-12-18,23-044,GSW,@,POR,L 112-122,,18,5,10,.500,4,6,.667,1,4,.250,0,0,,.550,2,2,4,2,1,0,1,3,11,8.2,0.8,-2,F,pascher01
27,Eric Paschall,2019-12-20,23-046,GSW,,NOP,W 106-102,,7,1,2,.500,1,2,.500,0,0,,1,1,1.000,.615,0,1,1,1,0,0,0,1,3,2.6,1.1,2,F,pascher01
28,Eric Paschall,2019-12-23,23-049,GSW,,MIN,W 113-104,,16,3,6,.500,1,4,.250,2,2,1.000,0,3,.000,.546,2,0,2,2,2,1,1,2,8,7.5,9.0,4,F,pascher01
29,Eric Paschall,2019-12-25,23-051,GSW,,HOU,W 116-104,,7,0,1,.000,0,1,.000,0,0,,0,0,,.000,3,0,3,2,0,0,1,2,0,1.0,-6.0,-9,F,pascher01
30,Eric Paschall,2019-12-31,23-057,GSW,@,SAS,L 113-117 (OT),,18,1,4,.250,1,3,.333,0,1,.000,1,1,1.000,.338,0,0,0,3,0,0,1,1,3,1.3,-11.3,-7,F,pascher01
31,Eric Paschall,2020-01-02,23-059,GSW,@,MIN,L 84-99,,26,6,14,.429,6,11,.545,0,3,.000,1,2,.500,.437,1,6,7,0,0,0,2,1,13,5.3,-9.3,-7,F,pascher01
32,Eric Paschall,2020-01-04,23-061,GSW,,DET,L 104-111,,19,4,7,.571,3,6,.500,1,1,1.000,0,0,,.643,0,2,2,4,1,0,2,2,9,7.3,0.3,0,F,pascher01
33,Eric Paschall,2020-01-06,23-063,GSW,@,SAC,L 98-111,*,31,5,9,.556,5,6,.833,0,3,.000,2,4,.500,.558,0,4,4,1,1,0,4,0,12,5.8,-7.7,-19,F,pascher01
34,Eric Paschall,2020-01-08,23-065,GSW,,MIL,L 98-107,,12,2,5,.400,2,4,.500,0,1,.000,0,0,,.400,1,1,2,1,0,0,1,5,4,0.0,-14.6,-4,F,pascher01
35,Eric Paschall,2020-01-10,23-067,GSW,@,LAC,L 100-109,,19,5,10,.500,5,9,.556,0,1,.000,2,2,1.000,.551,2,3,5,1,0,0,0,3,12,8.8,0.8,-8,F,pascher01
36,Eric Paschall,2020-01-12,23-069,GSW,@,MEM,L 102-122,,30,5,12,.417,5,11,.455,0,1,.000,0,0,,.417,3,2,5,5,5,0,2,1,10,12.4,2.8,-12,F,pascher01
37,Eric Paschall,2020-01-14,23-071,GSW,,DAL,L 97-124,,25,7,11,.636,5,9,.556,2,2,1.000,0,0,,.727,1,2,3,0,0,0,2,4,16,8.8,-2.7,-6,F,pascher01
38,Eric Paschall,2020-01-16,23-073,GSW,,DEN,L 131-134 (OT),,20,4,7,.571,3,6,.500,1,1,1.000,7,7,1.000,.794,1,4,5,2,1,0,1,1,16,15.6,8.3,-11,F,pascher01
39,Eric Paschall,2020-01-18,23-075,GSW,,ORL,W 109-95,*,35,8,14,.571,6,9,.667,2,5,.400,2,2,1.000,.672,1,8,9,1,2,0,1,3,20,17.0,4.5,17,F,pascher01
40,Eric Paschall,2020-01-20,23-077,GSW,@,POR,L 124-129 (OT),*,42,11,21,.524,11,18,.611,0,3,.000,0,1,.000,.513,4,9,13,2,1,0,0,2,22,18.4,-0.6,-10,F,pascher01
41,Eric Paschall,2020-01-22,23-079,GSW,,UTA,L 96-129,,26,4,10,.400,4,9,.444,0,1,.000,3,5,.600,.451,2,2,4,3,0,0,0,3,11,7.7,-5.2,-11,F,pascher01
42,Eric Paschall,2020-01-24,23-081,GSW,,IND,L 118-129,,27,3,7,.429,3,6,.500,0,1,.000,3,4,.750,.514,3,4,7,2,2,0,2,2,9,8.8,-4.3,-8,F,pascher01
