Rk,Player,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Domantas Sabonis,2019-10-23,23-173,IND,,DET,L 110-119,*,36,11,15,.733,11,14,.786,0,1,.000,5,5,1.000,.785,5,8,13,2,0,0,2,5,27,24.2,6.0,3,C-F,sabondo01
2,Domantas Sabonis,2019-10-26,23-176,IND,@,CLE,L 99-110,*,33,6,13,.462,6,13,.462,0,0,,2,2,1.000,.504,0,5,5,2,2,0,5,5,14,5.2,-7.8,-17,C-F,sabondo01
3,Domantas Sabonis,2019-10-28,23-178,IND,@,DET,L 94-96,*,39,8,18,.444,7,16,.438,1,2,.500,4,5,.800,.520,4,10,14,1,0,0,1,2,21,15.9,-0.8,7,C-F,sabondo01
4,Domantas Sabonis,2019-10-30,23-180,IND,@,BRK,W 118-108,*,36,11,18,.611,9,14,.643,2,4,.500,5,6,.833,.703,3,5,8,4,1,1,3,4,29,23.9,9.6,26,C-F,sabondo01
5,Domantas Sabonis,2019-11-01,23-182,IND,,CLE,W 102-95,*,37,9,15,.600,9,15,.600,0,0,,0,0,,.600,3,14,17,4,0,2,2,4,18,18.0,5.3,0,C-F,sabondo01
6,Domantas Sabonis,2019-11-06,23-187,IND,,WAS,W 121-106,*,28,4,11,.364,4,11,.364,0,0,,5,6,.833,.477,4,13,17,7,2,1,4,6,13,14.4,3.8,24,C-F,sabondo01
7,Domantas Sabonis,2019-11-08,23-189,IND,,DET,W 112-106,*,39,6,14,.429,6,12,.500,0,2,.000,5,6,.833,.511,4,10,14,6,0,1,1,4,17,17.3,1.5,6,C-F,sabondo01
8,Domantas Sabonis,2019-11-10,23-191,IND,@,ORL,W 109-102,*,38,9,18,.500,9,16,.563,0,2,.000,3,4,.750,.531,3,13,16,7,1,1,2,2,21,21.4,5.9,5,C-F,sabondo01
9,Domantas Sabonis,2019-11-12,23-193,IND,,OKC,W 111-85,*,29,9,19,.474,9,19,.474,0,0,,0,0,,.474,7,9,16,2,0,1,2,3,18,14.8,2.6,27,C-F,sabondo01
10,Domantas Sabonis,2019-11-15,23-196,IND,@,HOU,L 102-111,*,36,6,12,.500,6,12,.500,0,0,,6,8,.750,.580,3,10,13,3,0,0,4,4,18,12.8,-0.6,-18,C-F,sabondo01
11,Domantas Sabonis,2019-11-16,23-197,IND,,MIL,L 83-102,*,30,3,13,.231,1,10,.100,2,3,.667,3,4,.750,.373,6,8,14,2,1,0,3,2,11,7.9,-3.5,-17,C-F,sabondo01
12,Domantas Sabonis,2019-11-18,23-199,IND,@,BRK,W 115-86,*,29,7,16,.438,7,14,.500,0,2,.000,2,2,1.000,.474,5,13,18,3,0,2,2,4,16,14.9,2.5,16,C-F,sabondo01
13,Domantas Sabonis,2019-11-23,23-204,IND,,ORL,W 111-106,*,35,9,15,.600,9,15,.600,0,0,,7,7,1.000,.691,3,6,9,4,0,0,5,4,25,18.2,-1.0,-2,C-F,sabondo01
14,Domantas Sabonis,2019-11-25,23-206,IND,,MEM,W 126-114,*,33,5,8,.625,5,7,.714,0,1,.000,3,6,.500,.611,3,10,13,6,2,0,1,1,13,18.1,6.2,9,C-F,sabondo01
15,Domantas Sabonis,2019-11-27,23-208,IND,,UTA,W 121-102,*,33,9,15,.600,9,13,.692,0,2,.000,5,6,.833,.652,4,8,12,1,1,0,2,3,23,19.4,4.0,18,C-F,sabondo01
16,Domantas Sabonis,2019-11-29,23-210,IND,,ATL,W 105-104 (OT),*,42,6,10,.600,6,10,.600,0,0,,5,8,.625,.629,4,7,11,2,2,0,2,2,17,16.7,2.4,4,C-F,sabondo01
17,Domantas Sabonis,2019-11-30,23-211,IND,@,PHI,L 116-119,*,32,4,7,.571,4,6,.667,0,1,.000,5,6,.833,.674,1,9,10,5,0,0,5,6,13,8.8,-3.0,-12,C-F,sabondo01
18,Domantas Sabonis,2019-12-02,23-213,IND,@,MEM,W 117-104,*,30,9,18,.500,9,17,.529,0,1,.000,0,0,,.500,4,10,14,8,0,0,3,6,18,15.0,1.9,13,C-F,sabondo01
19,Domantas Sabonis,2019-12-04,23-215,IND,@,OKC,W 107-100,*,35,7,13,.538,7,11,.636,0,2,.000,3,4,.750,.576,5,8,13,2,2,0,4,5,17,13.6,0.3,2,C-F,sabondo01
20,Domantas Sabonis,2019-12-06,23-217,IND,@,DET,L 101-108,*,34,7,17,.412,7,16,.438,0,1,.000,4,6,.667,.458,2,11,13,5,1,1,2,5,18,14.0,-1.4,5,C-F,sabondo01
21,Domantas Sabonis,2019-12-07,23-218,IND,@,NYK,W 104-103,*,38,8,11,.727,8,11,.727,0,0,,3,5,.600,.720,2,13,15,2,1,2,5,3,19,16.6,0.2,-2,C-F,sabondo01
