Rk,Player,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Bam Adebayo,2019-10-23,22-097,MIA,,MEM,W 120-101,*,24,3,7,.429,3,7,.429,0,0,,8,10,.800,.614,4,7,11,3,1,0,5,3,14,11.3,0.8,10,C-F,adebaba01
2,Bam Adebayo,2019-10-26,22-100,MIA,@,MIL,W 131-126 (OT),*,38,5,9,.556,5,8,.625,0,1,.000,9,12,.750,.665,2,11,13,8,0,1,3,2,19,20.7,7.0,-2,C-F,adebaba01
3,Bam Adebayo,2019-10-27,22-101,MIA,@,MIN,L 109-116,*,32,6,10,.600,6,9,.667,0,1,.000,1,5,.200,.533,2,7,9,5,2,3,3,3,13,13.7,2.5,-7,C-F,adebaba01
4,Bam Adebayo,2019-10-29,22-103,MIA,,ATL,W 112-97,*,33,4,7,.571,4,7,.571,0,0,,9,10,.900,.746,2,8,10,3,2,3,2,4,17,19.7,9.7,27,C-F,adebaba01
5,Bam Adebayo,2019-10-31,22-105,MIA,@,ATL,W 106-97,*,36,4,5,.800,3,4,.750,1,1,1.000,3,7,.429,.743,2,4,6,7,1,2,0,3,12,17.2,7.3,7,C-F,adebaba01
6,Bam Adebayo,2019-11-03,22-108,MIA,,HOU,W 129-100,*,26,3,5,.600,3,4,.750,0,1,.000,2,4,.500,.592,1,4,5,5,2,1,4,3,8,7.8,-1.7,15,C-F,adebaba01
7,Bam Adebayo,2019-11-05,22-110,MIA,@,DEN,L 89-109,*,25,2,9,.222,2,9,.222,0,0,,2,5,.400,.268,3,8,11,3,0,2,1,2,6,5.5,-5.0,-19,C-F,adebaba01
8,Bam Adebayo,2019-11-07,22-112,MIA,@,PHO,W 124-108,*,35,6,9,.667,6,8,.750,0,1,.000,3,6,.500,.644,2,8,10,6,5,1,2,3,15,20.4,11.0,1,C-F,adebaba01
9,Bam Adebayo,2019-11-08,22-113,MIA,@,LAL,L 80-95,*,38,4,7,.571,4,7,.571,0,0,,3,8,.375,.523,3,6,9,4,3,1,3,2,11,12.3,3.8,-12,C-F,adebaba01
10,Bam Adebayo,2019-11-12,22-117,MIA,,DET,W 117-108,*,28,8,9,.889,8,9,.889,0,0,,2,2,1.000,.911,4,10,14,2,0,0,4,6,18,15.7,2.1,-5,C-F,adebaba01
