Rk,Player,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Josh Okogie,2019-10-23,21-052,MIN,@,BRK,W 127-126 (OT),,14,2,5,.400,1,1,1.000,1,4,.250,6,8,.750,.646,1,2,3,3,1,0,0,0,11,11.9,17.1,22,G,okogijo01
2,Josh Okogie,2019-10-25,21-054,MIN,@,CHO,W 121-99,,26,5,6,.833,4,5,.800,1,1,1.000,3,3,1.000,.956,1,3,4,3,1,0,3,3,14,12.3,3.1,28,G,okogijo01
3,Josh Okogie,2019-10-27,21-056,MIN,,MIA,W 116-109,,20,4,8,.500,4,6,.667,0,2,.000,0,0,,.500,4,2,6,2,2,0,1,2,8,9.0,3.0,-5,G,okogijo01
4,Josh Okogie,2019-10-30,21-059,MIN,@,PHI,L 95-117,,21,0,2,.000,0,2,.000,0,0,,3,6,.500,.323,0,6,6,1,3,1,3,3,3,2.4,-4.2,-10,G,okogijo01
5,Josh Okogie,2019-11-02,21-062,MIN,@,WAS,W 131-109,,29,4,6,.667,4,4,1.000,0,2,.000,1,2,.500,.654,0,4,4,4,2,0,2,3,9,8.8,-0.3,4,G,okogijo01
6,Josh Okogie,2019-11-04,21-064,MIN,,MIL,L 106-134,,22,1,6,.167,1,4,.250,0,2,.000,1,3,.333,.205,1,6,7,0,1,0,2,0,3,-0.1,-14.1,0,G,okogijo01
7,Josh Okogie,2019-11-06,21-066,MIN,@,MEM,L 121-137,*,20,3,4,.750,2,3,.667,1,1,1.000,0,0,,.875,0,4,4,2,0,0,1,4,7,5.4,-5.6,-21,G,okogijo01
8,Josh Okogie,2019-11-08,21-068,MIN,,GSW,W 125-119 (OT),,32,5,10,.500,4,7,.571,1,3,.333,3,4,.750,.595,5,2,7,1,2,1,2,5,14,12.1,1.0,5,G,okogijo01
9,Josh Okogie,2019-11-10,21-070,MIN,,DEN,L 98-100 (OT),,36,4,12,.333,2,6,.333,2,6,.333,7,11,.636,.505,3,5,8,4,1,1,0,5,17,14.7,5.4,0,G,okogijo01
10,Josh Okogie,2019-11-11,21-071,MIN,@,DET,W 120-114,*,25,0,4,.000,0,2,.000,0,2,.000,2,2,1.000,.205,2,2,4,0,1,0,3,1,2,-1.2,-15.2,2,G,okogijo01
11,Josh Okogie,2019-11-13,21-073,MIN,,SAS,W 129-114,,28,1,8,.125,1,6,.167,0,2,.000,4,4,1.000,.307,4,6,10,2,1,0,1,2,6,6.0,-8.7,3,G,okogijo01
12,Josh Okogie,2019-11-15,21-075,MIN,,WAS,L 116-137,,27,5,10,.500,5,8,.625,0,2,.000,2,2,1.000,.551,1,5,6,2,1,0,1,2,12,9.8,-3.5,-13,G,okogijo01
13,Josh Okogie,2019-11-18,21-078,MIN,@,UTA,W 112-102,,24,3,5,.600,2,2,1.000,1,3,.333,4,5,.800,.764,0,5,5,1,1,2,1,0,11,11.9,7.5,12,G,okogijo01
14,Josh Okogie,2019-11-20,21-080,MIN,,UTA,L 95-103,,22,2,6,.333,2,3,.667,0,3,.000,0,0,,.333,0,1,1,2,1,1,2,2,4,1.2,-6.5,0,G,okogijo01
15,Josh Okogie,2019-11-25,21-085,MIN,@,ATL,W 125-113,,19,2,2,1.000,1,1,1.000,1,1,1.000,2,2,1.000,1.215,1,1,2,1,0,0,1,2,7,6.3,-0.4,2,G,okogijo01
16,Josh Okogie,2019-11-27,21-087,MIN,@,SAS,W 113-101,,25,3,5,.600,1,1,1.000,2,4,.500,3,3,1.000,.870,1,7,8,3,0,0,1,1,11,12.2,6.3,-6,G,okogijo01
17,Josh Okogie,2019-12-01,21-091,MIN,,MEM,L 107-115,,19,1,6,.167,1,4,.250,0,2,.000,3,4,.750,.322,1,4,5,1,1,1,0,1,5,4.7,-3.6,-5,G,okogijo01
18,Josh Okogie,2019-12-04,21-094,MIN,@,DAL,L 114-121,*,27,2,5,.400,1,3,.333,1,2,.500,2,2,1.000,.595,3,4,7,0,1,0,3,4,7,4.0,-8.9,6,G,okogijo01
19,Josh Okogie,2019-12-06,21-096,MIN,@,OKC,L 127-139 (OT),*,33,5,8,.625,3,5,.600,2,3,.667,0,0,,.750,1,2,3,1,0,0,3,3,12,6.2,-5.5,11,G,okogijo01
20,Josh Okogie,2019-12-08,21-098,MIN,@,LAL,L 125-142,*,25,4,8,.500,1,3,.333,3,5,.600,7,7,1.000,.812,1,3,4,1,0,0,1,3,18,14.1,1.7,-25,G,okogijo01
21,Josh Okogie,2019-12-09,21-099,MIN,@,PHO,L 109-125,*,29,3,8,.375,3,7,.429,0,1,.000,2,2,1.000,.450,1,1,2,0,2,0,0,2,8,5.8,-3.9,-13,G,okogijo01
22,Josh Okogie,2019-12-11,21-101,MIN,,UTA,L 116-127,*,31,3,8,.375,0,3,.000,3,5,.600,4,4,1.000,.666,1,4,5,0,1,1,1,2,13,10.4,0.0,3,G,okogijo01
23,Josh Okogie,2019-12-13,21-103,MIN,,LAC,L 117-124,*,31,2,7,.286,2,3,.667,0,4,.000,2,3,.667,.361,0,4,4,2,0,0,3,4,6,-0.5,-10.1,-7,G,okogijo01
24,Josh Okogie,2019-12-18,21-108,MIN,,NOP,L 99-107,*,26,1,7,.143,0,2,.000,1,5,.200,0,0,,.214,1,2,3,1,0,0,1,1,3,-0.9,-11.6,2,G,okogijo01
25,Josh Okogie,2019-12-20,21-110,MIN,@,DEN,L 100-109,*,19,1,5,.200,1,1,1.000,0,4,.000,3,4,.750,.370,0,3,3,2,0,1,1,2,5,2.7,-7.8,-20,G,okogijo01
26,Josh Okogie,2019-12-21,21-111,MIN,@,POR,L 106-113,*,23,2,5,.400,2,5,.400,0,0,,0,0,,.400,1,0,1,0,1,1,1,1,4,2.3,-6.3,0,G,okogijo01
27,Josh Okogie,2019-12-23,21-113,MIN,@,GSW,L 104-113,*,15,0,7,.000,0,5,.000,0,2,.000,2,2,1.000,.127,3,0,3,1,1,1,3,1,2,-1.8,-18.9,-13,G,okogijo01
28,Josh Okogie,2019-12-26,21-116,MIN,@,SAC,W 105-104 (2OT),,18,3,5,.600,3,5,.600,0,0,,1,2,.500,.595,1,4,5,0,0,0,1,1,7,4.8,-2.6,1,G,okogijo01
29,Josh Okogie,2019-12-28,21-118,MIN,,CLE,L 88-94,,20,0,7,.000,0,5,.000,0,2,.000,1,2,.500,.063,1,3,4,1,1,2,3,4,1,-4.2,-18.4,-3,G,okogijo01
30,Josh Okogie,2019-12-30,21-120,MIN,,BRK,W 122-115 (OT),,18,1,5,.200,1,3,.333,0,2,.000,1,2,.500,.255,0,2,2,1,0,0,0,0,3,0.8,-10.2,-6,G,okogijo01
31,Josh Okogie,2020-01-01,21-122,MIN,@,MIL,L 104-106,,26,3,8,.375,2,5,.400,1,3,.333,5,8,.625,.521,1,3,4,1,2,0,1,1,12,9.3,1.6,8,G,okogijo01
32,Josh Okogie,2020-01-02,21-123,MIN,,GSW,W 99-84,,21,3,6,.500,2,3,.667,1,3,.333,0,0,,.583,2,3,5,3,1,1,1,3,7,7.9,5.7,3,G,okogijo01
33,Josh Okogie,2020-01-05,21-126,MIN,@,CLE,W 118-103,,17,2,6,.333,2,2,1.000,0,4,.000,0,0,,.333,1,4,5,1,1,0,3,2,4,0.4,-18.4,1,G,okogijo01
34,Josh Okogie,2020-01-07,21-128,MIN,@,MEM,L 112-119,,14,0,2,.000,0,0,,0,2,.000,2,2,1.000,.347,0,1,1,1,1,0,1,1,2,1.2,-7.2,-8,G,okogijo01
35,Josh Okogie,2020-01-09,21-130,MIN,,POR,W 116-102,,25,2,2,1.000,0,0,,2,2,1.000,2,2,1.000,1.389,1,2,3,2,2,2,1,6,8,10.1,9.3,1,G,okogijo01
36,Josh Okogie,2020-01-11,21-132,MIN,@,HOU,L 109-139,,30,5,11,.455,3,4,.750,2,7,.286,4,5,.800,.606,2,3,5,5,4,1,1,2,16,18.6,8.4,-2,G,okogijo01
37,Josh Okogie,2020-01-13,21-134,MIN,,OKC,L 104-117,,25,2,4,.500,2,2,1.000,0,2,.000,2,4,.500,.521,2,3,5,3,3,1,2,3,6,8.1,1.2,-7,G,okogijo01
38,Josh Okogie,2020-01-15,21-136,MIN,,IND,L 99-104,,22,1,3,.333,1,2,.500,0,1,.000,0,0,,.333,0,4,4,0,1,1,2,4,2,-0.4,-11.0,-3,G,okogijo01
39,Josh Okogie,2020-01-17,21-138,MIN,@,IND,L 114-116,,25,5,7,.714,4,6,.667,1,1,1.000,4,6,.667,.778,1,3,4,0,1,0,1,0,15,12.9,6.0,-20,G,okogijo01
40,Josh Okogie,2020-01-18,21-139,MIN,,TOR,L 112-122,,27,3,9,.333,2,5,.400,1,4,.250,2,2,1.000,.455,0,2,2,1,1,1,1,2,9,5.1,-5.2,-3,G,okogijo01
41,Josh Okogie,2020-01-20,21-141,MIN,,DEN,L 100-107,,27,7,11,.636,6,8,.750,1,3,.333,1,1,1.000,.699,2,6,8,1,2,0,2,1,16,14.6,5.2,3,G,okogijo01
42,Josh Okogie,2020-01-22,21-143,MIN,@,CHI,L 110-117,,19,0,3,.000,0,1,.000,0,2,.000,0,0,,.000,3,3,6,5,0,0,2,2,0,1.6,-7.0,-6,G,okogijo01
43,Josh Okogie,2020-01-24,21-145,MIN,,HOU,L 124-131,*,32,6,9,.667,6,9,.667,0,0,,5,5,1.000,.759,4,2,6,4,3,0,2,0,17,20.3,7.8,1,G,okogijo01
44,Josh Okogie,2020-01-25,21-146,MIN,,OKC,L 104-113,,18,2,10,.200,2,7,.286,0,3,.000,1,2,.500,.230,2,1,3,1,0,0,0,1,5,0.4,-16.9,-21,G,okogijo01
45,Josh Okogie,2020-01-27,21-148,MIN,,SAC,L 129-133 (OT),,26,1,7,.143,1,5,.200,0,2,.000,5,8,.625,.333,3,1,4,2,0,0,0,1,7,4.7,-9.9,-17,G,okogijo01
46,Josh Okogie,2020-02-01,21-153,MIN,@,LAC,L 106-118,,26,3,9,.333,2,5,.400,1,4,.250,6,6,1.000,.558,3,3,6,1,1,0,3,5,13,7.6,-3.7,-8,G,okogijo01
47,Josh Okogie,2020-02-03,21-155,MIN,@,SAC,L 109-113,,26,4,8,.500,4,6,.667,0,2,.000,4,4,1.000,.615,1,3,4,1,2,0,1,3,12,10.1,-1.5,18,G,okogijo01
