Rk,Player,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Jrue Holiday,2019-10-22,29-132,NOP,@,TOR,L 122-130 (OT),*,41,6,15,.400,5,9,.556,1,6,.167,0,2,.000,.409,2,2,4,6,0,2,5,2,13,5.9,-6.9,-14,G,holidjr01
2,Jrue Holiday,2019-10-25,29-135,NOP,,DAL,L 116-123,*,33,2,11,.182,2,8,.250,0,3,.000,4,4,1.000,.313,1,3,4,8,2,0,0,1,8,9.9,-2.1,-14,G,holidjr01
3,Jrue Holiday,2019-10-31,29-141,NOP,,DEN,W 122-107,*,32,7,17,.412,2,8,.250,5,9,.556,0,0,,.559,0,5,5,7,2,0,2,2,19,15.5,3.7,5,G,holidjr01
4,Jrue Holiday,2019-11-02,29-143,NOP,@,OKC,L 104-115,*,35,6,15,.400,4,10,.400,2,5,.400,2,2,1.000,.504,0,3,3,6,1,0,2,4,16,10.4,-2.0,-10,G,holidjr01
5,Jrue Holiday,2019-11-04,29-145,NOP,@,BRK,L 125-135,*,34,7,17,.412,6,13,.462,1,4,.250,0,0,,.441,1,6,7,3,4,2,2,4,15,12.3,-0.1,-19,G,holidjr01
6,Jrue Holiday,2019-11-08,29-149,NOP,,TOR,L 104-122,*,30,6,13,.462,5,9,.556,1,4,.250,3,5,.600,.526,1,5,6,6,3,0,2,0,16,15.9,7.6,-15,G,holidjr01
7,Jrue Holiday,2019-11-09,29-150,NOP,@,CHO,W 115-110,*,36,4,12,.333,4,7,.571,0,5,.000,4,4,1.000,.436,1,4,5,11,2,1,4,4,12,11.9,-2.8,8,G,holidjr01
8,Jrue Holiday,2019-11-11,29-152,NOP,,HOU,L 116-122,*,38,6,21,.286,6,14,.429,0,7,.000,6,8,.750,.367,0,9,9,11,1,1,6,3,18,9.8,-7.4,-5,G,holidjr01
9,Jrue Holiday,2019-11-14,29-155,NOP,,LAC,W 132-127,*,37,13,24,.542,8,18,.444,5,6,.833,5,7,.714,.665,2,1,3,7,6,1,6,1,36,30.5,13.5,6,G,holidjr01
10,Jrue Holiday,2019-11-16,29-157,NOP,@,MIA,L 94-109,*,36,5,12,.417,1,7,.143,4,5,.800,0,0,,.583,0,2,2,4,2,0,6,4,14,5.4,-7.7,-15,G,holidjr01
