Rk,Player,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Evan Fournier,2019-10-23,26-359,ORL,,CLE,W 94-85,*,28,7,13,.538,5,9,.556,2,4,.500,0,2,.000,.576,1,2,3,4,1,1,3,3,16,10.5,3.0,-10,G-F,fournev01
2,Evan Fournier,2019-10-26,26-362,ORL,@,ATL,L 99-103,*,30,8,18,.444,7,12,.583,1,6,.167,6,7,.857,.546,0,3,3,2,1,0,2,2,23,13.7,3.7,-12,G-F,fournev01
3,Evan Fournier,2019-10-28,26-364,ORL,@,TOR,L 95-104,*,29,7,15,.467,6,8,.750,1,7,.143,3,3,1.000,.551,0,4,4,2,0,0,2,2,18,10.1,-1.5,-11,G-F,fournev01
4,Evan Fournier,2019-10-30,27-001,ORL,,NYK,W 95-83,*,28,5,12,.417,3,8,.375,2,4,.500,2,2,1.000,.543,0,3,3,3,1,0,1,0,14,10.6,2.5,23,G-F,fournev01
5,Evan Fournier,2019-11-01,27-003,ORL,,MIL,L 91-123,*,22,7,12,.583,3,4,.750,4,8,.500,1,1,1.000,.764,0,4,4,1,1,0,4,2,19,11.5,7.3,-4,G-F,fournev01
6,Evan Fournier,2019-11-02,27-004,ORL,,DEN,L 87-91,*,27,5,12,.417,4,7,.571,1,5,.200,0,0,,.458,0,2,2,5,0,0,2,1,11,6.3,-2.1,-2,G-F,fournev01
7,Evan Fournier,2019-11-05,27-007,ORL,@,OKC,L 94-102,*,33,0,7,.000,0,5,.000,0,2,.000,4,4,1.000,.228,0,5,5,1,2,0,3,2,4,-0.5,-11.5,-13,G-F,fournev01
8,Evan Fournier,2019-11-06,27-008,ORL,@,DAL,L 106-107,*,28,3,5,.600,2,3,.667,1,2,.500,2,2,1.000,.765,0,0,0,1,0,0,1,6,9,4.0,-8.1,12,G-F,fournev01
9,Evan Fournier,2019-11-08,27-010,ORL,,MEM,W 118-86,*,27,7,13,.538,5,9,.556,2,4,.500,3,3,1.000,.663,0,7,7,6,0,1,0,3,19,18.5,11.0,25,G-F,fournev01
10,Evan Fournier,2019-11-10,27-012,ORL,,IND,L 102-109,*,30,7,13,.538,1,5,.200,6,8,.750,2,2,1.000,.793,0,3,3,6,0,1,1,4,22,18.9,11.8,1,G-F,fournev01
11,Evan Fournier,2019-11-13,27-015,ORL,,PHI,W 112-97,*,31,5,10,.500,4,5,.800,1,5,.200,2,3,.667,.574,0,2,2,3,1,0,2,1,13,8.9,-0.3,13,G-F,fournev01
12,Evan Fournier,2019-11-15,27-017,ORL,,SAS,W 111-109,*,32,9,15,.600,4,9,.444,5,6,.833,3,4,.750,.776,1,3,4,3,1,0,2,1,26,21.0,11.4,14,G-F,fournev01
13,Evan Fournier,2019-11-17,27-019,ORL,,WAS,W 125-121,*,31,7,13,.538,2,5,.400,5,8,.625,6,8,.750,.757,0,1,1,9,1,0,1,2,25,23.7,13.5,12,G-F,fournev01
14,Evan Fournier,2019-11-20,27-022,ORL,@,TOR,L 97-113,*,28,7,15,.467,4,9,.444,3,6,.500,4,5,.800,.610,0,2,2,3,3,0,3,2,21,14.8,7.2,3,G-F,fournev01
15,Evan Fournier,2019-11-23,27-025,ORL,@,IND,L 106-111,*,34,11,23,.478,7,13,.538,4,10,.400,0,0,,.565,0,1,1,4,1,0,3,2,26,14.6,-0.2,-22,G-F,fournev01
16,Evan Fournier,2019-11-25,27-027,ORL,@,DET,L 88-103,*,37,5,16,.313,5,11,.455,0,5,.000,7,8,.875,.435,0,2,2,2,2,0,1,3,17,9.2,-4.6,-9,G-F,fournev01
17,Evan Fournier,2019-11-27,27-029,ORL,@,CLE,W 116-104,*,39,10,22,.455,6,13,.462,4,9,.444,6,6,1.000,.609,0,4,4,1,2,0,3,0,30,19.5,0.5,9,G-F,fournev01
18,Evan Fournier,2019-11-29,27-031,ORL,,TOR,L 83-90,*,34,3,9,.333,2,3,.667,1,6,.167,12,14,.857,.627,0,4,4,6,2,0,4,2,19,15.7,6.9,10,G-F,fournev01
19,Evan Fournier,2019-12-01,27-033,ORL,,GSW,W 100-96,*,35,13,21,.619,7,11,.636,6,10,.600,0,0,,.762,1,3,4,0,1,0,2,3,32,21.9,11.5,7,G-F,fournev01
20,Evan Fournier,2019-12-03,27-035,ORL,@,WAS,W 127-120,*,35,11,18,.611,5,10,.500,6,8,.750,3,4,.750,.784,0,2,2,3,0,0,1,3,31,22.9,7.1,-9,G-F,fournev01
21,Evan Fournier,2019-12-04,27-036,ORL,,PHO,W 128-114,*,28,9,15,.600,6,8,.750,3,7,.429,0,0,,.700,1,1,2,4,1,0,4,3,21,13.7,-0.4,1,G-F,fournev01
22,Evan Fournier,2019-12-06,27-038,ORL,@,CLE,W 93-87,*,29,6,15,.400,4,10,.400,2,5,.400,4,5,.800,.523,0,2,2,2,0,1,2,3,18,9.0,-1.6,-2,G-F,fournev01
23,Evan Fournier,2019-12-09,27-041,ORL,@,MIL,L 101-110,*,32,7,17,.412,3,9,.333,4,8,.500,8,9,.889,.620,0,4,4,2,1,0,0,3,26,18.9,8.6,-2,G-F,fournev01
24,Evan Fournier,2019-12-11,27-043,ORL,,LAL,L 87-96,*,34,7,17,.412,4,8,.500,3,9,.333,1,2,.500,.503,0,2,2,5,0,0,3,1,18,9.2,-0.6,-7,G-F,fournev01
25,Evan Fournier,2019-12-13,27-045,ORL,,HOU,L 107-130,*,25,10,18,.556,4,7,.571,6,11,.545,1,2,.500,.715,0,2,2,2,2,0,1,3,27,19.8,16.5,-10,G-F,fournev01
26,Evan Fournier,2019-12-15,27-047,ORL,@,NOP,W 130-119,*,28,6,14,.429,3,7,.429,3,7,.429,1,1,1.000,.554,0,1,1,4,1,0,0,2,16,11.9,-0.8,0,G-F,fournev01
27,Evan Fournier,2019-12-17,27-049,ORL,@,UTA,L 102-109,*,33,8,17,.471,8,9,.889,0,8,.000,3,5,.600,.495,0,1,1,4,0,0,1,3,19,10.4,-4.5,-18,G-F,fournev01
28,Evan Fournier,2019-12-18,27-050,ORL,@,DEN,L 104-113,*,31,4,10,.400,1,4,.250,3,6,.500,2,2,1.000,.597,0,1,1,3,1,1,3,3,13,7.5,-2.4,-30,G-F,fournev01
29,Evan Fournier,2019-12-20,27-052,ORL,@,POR,L 103-118,*,29,7,17,.412,6,12,.500,1,5,.200,1,2,.500,.447,0,2,2,3,1,0,0,1,16,9.8,-0.8,-21,G-F,fournev01
30,Evan Fournier,2019-12-23,27-055,ORL,,CHI,W 103-95,*,32,2,4,.500,2,2,1.000,0,2,.000,4,4,1.000,.694,0,4,4,2,2,0,3,3,8,6.4,-6.5,0,G-F,fournev01
31,Evan Fournier,2019-12-27,27-059,ORL,,PHI,W 98-97,*,32,8,14,.571,6,7,.857,2,7,.286,2,5,.400,.617,0,2,2,6,2,0,0,3,20,17.8,11.5,1,G-F,fournev01
32,Evan Fournier,2019-12-28,27-060,ORL,@,MIL,L 100-111,*,32,8,16,.500,4,9,.444,4,7,.571,3,3,1.000,.664,0,2,2,2,1,0,3,3,23,13.8,0.4,9,G-F,fournev01
33,Evan Fournier,2019-12-30,27-062,ORL,,ATL,L 93-101,*,37,10,21,.476,8,15,.533,2,6,.333,0,2,.000,.503,0,3,3,2,1,0,4,5,22,7.8,-6.5,-2,G-F,fournev01
34,Evan Fournier,2020-01-01,27-064,ORL,@,WAS,W 122-101,*,38,7,16,.438,5,10,.500,2,6,.333,2,3,.667,.520,0,4,4,0,2,1,4,4,18,7.5,-8.6,16,G-F,fournev01
35,Evan Fournier,2020-01-03,27-066,ORL,,MIA,W 105-85,*,29,5,10,.500,3,6,.500,2,4,.500,3,3,1.000,.663,0,2,2,3,0,1,1,4,15,10.8,1.8,2,G-F,fournev01
36,Evan Fournier,2020-01-04,27-067,ORL,,UTA,L 96-109,*,32,4,15,.267,3,7,.429,1,8,.125,0,0,,.300,0,3,3,4,2,0,0,2,9,5.0,-7.0,-12,G-F,fournev01
37,Evan Fournier,2020-01-06,27-069,ORL,,BRK,W 101-89,*,35,3,8,.375,2,6,.333,1,2,.500,4,4,1.000,.564,0,1,1,5,0,0,0,2,11,9.6,0.4,-3,G-F,fournev01
38,Evan Fournier,2020-01-08,27-071,ORL,,WAS,W 123-89,*,23,7,10,.700,3,3,1.000,4,7,.571,1,1,1.000,.910,0,2,2,5,2,0,3,3,19,16.7,14.0,31,G-F,fournev01
39,Evan Fournier,2020-01-10,27-073,ORL,@,PHO,L 94-98,*,38,9,21,.429,6,10,.600,3,11,.273,7,8,.875,.571,1,2,3,1,3,0,3,2,28,17.7,6.6,1,G-F,fournev01
40,Evan Fournier,2020-01-13,27-076,ORL,@,SAC,W 114-112,*,37,6,16,.375,5,10,.500,1,6,.167,12,12,1.000,.587,0,0,0,6,1,0,1,2,25,19.6,3.8,-1,G-F,fournev01
41,Evan Fournier,2020-01-16,27-079,ORL,@,LAC,L 95-122,*,30,6,15,.400,6,12,.500,0,3,.000,3,5,.600,.436,1,3,4,2,0,0,0,2,15,8.3,-6.4,-23,G-F,fournev01
42,Evan Fournier,2020-01-18,27-081,ORL,@,GSW,L 95-109,*,32,4,11,.364,0,5,.000,4,6,.667,0,0,,.545,1,3,4,4,1,0,4,4,12,5.7,-5.5,-16,G-F,fournev01
43,Evan Fournier,2020-01-20,27-083,ORL,@,CHO,W 106-83,*,32,10,14,.714,4,6,.667,6,8,.750,0,1,.000,.900,0,2,2,4,1,1,3,2,26,21.1,15.8,34,G-F,fournev01
44,Evan Fournier,2020-01-22,27-085,ORL,,OKC,L 114-120,*,36,5,12,.417,4,6,.667,1,6,.167,1,1,1.000,.482,0,1,1,6,1,0,7,3,12,2.9,-11.5,-12,G-F,fournev01
45,Evan Fournier,2020-01-24,27-087,ORL,,BOS,L 98-109,*,36,11,19,.579,6,9,.667,5,10,.500,3,4,.750,.723,1,4,5,1,1,0,1,1,30,22.9,13.2,-14,G-F,fournev01
46,Evan Fournier,2020-01-26,27-089,ORL,,LAC,L 97-112,*,30,5,19,.263,4,11,.364,1,8,.125,0,0,,.289,1,1,2,3,1,1,0,3,11,3.3,-8.5,-19,G-F,fournev01
47,Evan Fournier,2020-01-27,27-090,ORL,@,MIA,L 92-113,*,31,3,13,.231,2,6,.333,1,7,.143,2,2,1.000,.324,1,3,4,8,1,0,2,3,9,6.1,-7.2,-21,G-F,fournev01
48,Evan Fournier,2020-02-01,27-095,ORL,,MIA,L 89-102,*,34,3,13,.231,1,6,.167,2,7,.286,4,4,1.000,.407,1,0,1,4,2,0,3,2,12,5.8,-4.6,-7,G-F,fournev01
49,Evan Fournier,2020-02-03,27-097,ORL,@,CHO,W 112-100,*,31,7,14,.500,4,8,.500,3,6,.500,0,0,,.607,0,3,3,1,0,0,3,1,17,8.2,-10.1,23,G-F,fournev01
