Rk,Player,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Devin Booker,2019-10-23,22-358,PHO,,SAC,W 124-95,*,32,10,17,.588,8,13,.615,2,4,.500,0,1,.000,.631,0,2,2,10,1,0,3,5,22,17.3,4.7,25,G,bookede01
2,Devin Booker,2019-10-25,22-360,PHO,@,DEN,L 107-108 (OT),*,41,6,21,.286,5,13,.385,1,8,.125,5,6,.833,.381,0,5,5,7,0,1,3,5,18,7.4,-4.5,0,G,bookede01
3,Devin Booker,2019-10-26,22-361,PHO,,LAC,W 130-122,*,38,10,20,.500,7,14,.500,3,6,.500,7,8,.875,.638,1,5,6,8,0,0,4,5,30,21.4,0.3,12,G,bookede01
4,Devin Booker,2019-10-28,22-363,PHO,,UTA,L 95-96,*,29,9,16,.563,8,13,.615,1,3,.333,2,2,1.000,.622,1,2,3,0,1,1,3,5,21,11.4,1.7,-15,G,bookede01
5,Devin Booker,2019-10-30,23-000,PHO,@,GSW,W 121-110,*,36,10,21,.476,4,11,.364,6,10,.600,5,5,1.000,.668,0,4,4,5,1,0,3,2,31,22.2,5.7,20,G,bookede01
6,Devin Booker,2019-11-02,23-003,PHO,@,MEM,W 114-105,*,31,8,13,.615,5,10,.500,3,3,1.000,2,2,1.000,.756,0,1,1,2,0,0,5,3,21,10.6,-2.6,9,G,bookede01
7,Devin Booker,2019-11-04,23-005,PHO,,PHI,W 114-109,*,32,15,19,.789,12,15,.800,3,4,.750,7,7,1.000,.906,0,4,4,3,0,1,3,5,40,31.7,15.7,3,G,bookede01
8,Devin Booker,2019-11-07,23-008,PHO,,MIA,L 108-124,*,36,6,13,.462,4,9,.444,2,4,.500,8,8,1.000,.666,0,3,3,5,1,0,6,3,22,13.5,-1.5,0,G,bookede01
9,Devin Booker,2019-11-10,23-011,PHO,,BRK,W 138-112,*,32,10,14,.714,6,9,.667,4,5,.800,3,3,1.000,.881,0,2,2,9,0,0,2,0,27,26.1,11.1,40,G,bookede01
10,Devin Booker,2019-11-12,23-013,PHO,,LAL,L 115-123,*,39,9,18,.500,9,16,.563,0,2,.000,3,3,1.000,.543,1,2,3,9,0,1,5,5,21,13.3,-4.7,-5,G,bookede01
11,Devin Booker,2019-11-14,23-015,PHO,,ATL,W 128-112,*,32,8,16,.500,5,9,.556,3,7,.429,8,8,1.000,.692,0,2,2,7,2,0,7,3,27,18.3,3.1,3,G,bookede01
12,Devin Booker,2019-11-18,23-019,PHO,,BOS,L 85-99,*,34,7,13,.538,5,9,.556,2,4,.500,4,4,1.000,.678,0,1,1,4,0,0,5,4,20,10.2,-2.4,-9,G,bookede01
13,Devin Booker,2019-11-19,23-020,PHO,@,SAC,L 116-120,*,39,10,20,.500,7,14,.500,3,6,.500,7,8,.875,.638,1,4,5,8,2,0,4,5,30,23.1,4.6,-14,G,bookede01
14,Devin Booker,2019-11-21,23-022,PHO,,NOP,L 121-124,*,37,7,14,.500,5,8,.625,2,6,.333,3,3,1.000,.620,0,5,5,7,0,0,6,2,19,11.6,-6.9,-5,G,bookede01
15,Devin Booker,2019-11-23,23-024,PHO,@,MIN,W 100-98,*,38,12,26,.462,12,21,.571,0,5,.000,11,11,1.000,.567,3,9,12,9,0,1,4,1,35,29.0,11.2,-4,G,bookede01
16,Devin Booker,2019-11-24,23-025,PHO,@,DEN,L 104-116,*,33,5,13,.385,4,6,.667,1,7,.143,1,1,1.000,.446,0,1,1,5,0,0,5,1,12,3.3,-13.3,-18,G,bookede01
17,Devin Booker,2019-11-27,23-028,PHO,,WAS,L 132-140,*,38,10,20,.500,8,14,.571,2,6,.333,5,5,1.000,.608,0,2,2,8,1,1,3,1,27,21.5,0.4,-6,G,bookede01
18,Devin Booker,2019-11-29,23-030,PHO,,DAL,L 113-120,*,38,6,16,.375,5,13,.385,1,3,.333,5,5,1.000,.495,2,3,5,8,1,0,3,2,18,14.3,0.0,-14,G,bookede01
19,Devin Booker,2019-12-02,23-033,PHO,@,CHO,W 109-104,*,38,7,15,.467,4,5,.800,3,10,.300,6,7,.857,.636,1,3,4,4,1,1,5,3,23,14.8,-2.5,8,G,bookede01
20,Devin Booker,2019-12-04,23-035,PHO,@,ORL,L 114-128,*,30,7,16,.438,5,11,.455,2,5,.400,1,2,.500,.504,0,3,3,5,0,0,2,2,17,9.8,-7.5,-5,G,bookede01
21,Devin Booker,2019-12-05,23-036,PHO,@,NOP,W 139-132 (OT),*,42,13,23,.565,8,12,.667,5,11,.455,13,13,1.000,.766,2,6,8,9,2,0,5,4,44,38.0,13.3,11,G,bookede01
22,Devin Booker,2019-12-07,23-038,PHO,@,HOU,L 109-115,*,37,11,19,.579,9,15,.600,2,4,.500,11,16,.688,.672,1,3,4,5,1,0,1,4,35,27.6,12.5,-5,G,bookede01
23,Devin Booker,2019-12-09,23-040,PHO,,MIN,W 125-109,*,36,11,20,.550,8,13,.615,3,7,.429,1,2,.500,.623,1,3,4,7,0,1,3,1,26,19.8,4.1,15,G,bookede01
24,Devin Booker,2019-12-11,23-042,PHO,,MEM,L 108-115,*,39,6,17,.353,6,14,.429,0,3,.000,3,4,.750,.400,1,4,5,10,1,0,1,1,15,13.6,-0.8,-15,G,bookede01
25,Devin Booker,2019-12-20,23-051,PHO,@,OKC,L 108-126,*,28,6,11,.545,6,9,.667,0,2,.000,6,7,.857,.639,1,3,4,3,1,0,4,3,18,11.8,-3.7,-9,G,bookede01
26,Devin Booker,2019-12-21,23-052,PHO,,HOU,L 125-139,*,34,6,16,.375,6,13,.462,0,3,.000,7,7,1.000,.498,2,4,6,9,0,0,5,2,19,13.3,-6.9,-14,G,bookede01
27,Devin Booker,2019-12-23,23-054,PHO,,DEN,L 111-113,*,34,3,12,.250,2,6,.333,1,6,.167,4,4,1.000,.400,1,2,3,6,1,0,2,5,11,6.3,-7.3,-5,G,bookede01
