Rk,Player,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,DeMar DeRozan,2019-10-23,30-077,SAS,,NYK,W 120-111,*,32,3,10,.300,3,9,.333,0,1,.000,7,11,.636,.438,0,4,4,4,0,1,4,3,13,5.1,-9.2,2,G-F,derozde01
2,DeMar DeRozan,2019-10-26,30-080,SAS,,WAS,W 124-122,*,36,11,24,.458,11,24,.458,0,0,,4,4,1.000,.505,0,4,4,3,2,1,1,1,26,18.2,-0.3,1,G-F,derozde01
3,DeMar DeRozan,2019-10-28,30-082,SAS,,POR,W 113-110,*,33,10,16,.625,10,16,.625,0,0,,7,9,.778,.676,1,6,7,0,2,0,5,2,27,17.7,0.2,2,G-F,derozde01
4,DeMar DeRozan,2019-10-31,30-085,SAS,@,LAC,L 97-103,*,35,13,21,.619,13,21,.619,0,0,,3,4,.750,.637,0,7,7,2,1,0,7,4,29,15.0,0.8,-2,G-F,derozde01
5,DeMar DeRozan,2019-11-01,30-086,SAS,@,GSW,W 127-110,*,29,4,7,.571,4,7,.571,0,0,,5,7,.714,.645,0,1,1,11,0,0,3,1,13,13.5,3.8,10,G-F,derozde01
6,DeMar DeRozan,2019-11-03,30-088,SAS,,LAL,L 96-103,*,34,5,15,.333,5,15,.333,0,0,,4,5,.800,.407,2,5,7,5,0,1,3,2,14,8.4,-3.9,-19,G-F,derozde01
7,DeMar DeRozan,2019-11-05,30-090,SAS,@,ATL,L 100-108,*,36,10,16,.625,10,15,.667,0,1,.000,2,3,.667,.635,1,3,4,4,3,2,3,2,22,19.4,7.0,-2,G-F,derozde01
8,DeMar DeRozan,2019-11-07,30-092,SAS,,OKC,W 121-112,*,34,7,13,.538,7,13,.538,0,0,,2,2,1.000,.576,0,6,6,9,1,0,3,2,16,15.0,1.4,11,G-F,derozde01
9,DeMar DeRozan,2019-11-09,30-094,SAS,,BOS,L 115-135,*,27,6,15,.400,6,15,.400,0,0,,10,11,.909,.554,0,2,2,4,0,0,2,2,22,14.1,0.0,-16,G-F,derozde01
10,DeMar DeRozan,2019-11-11,30-096,SAS,,MEM,L 109-113,*,35,6,15,.400,6,13,.462,0,2,.000,0,1,.000,.389,0,7,7,7,0,0,2,4,12,6.9,-8.5,-10,G-F,derozde01
11,DeMar DeRozan,2019-11-13,30-098,SAS,@,MIN,L 114-129,*,33,12,18,.667,12,18,.667,0,0,,3,4,.750,.683,1,4,5,4,1,2,2,3,27,22.7,7.8,-15,G-F,derozde01
12,DeMar DeRozan,2019-11-15,30-100,SAS,@,ORL,L 109-111,*,37,9,15,.600,9,15,.600,0,0,,3,3,1.000,.643,0,2,2,5,1,0,2,6,21,14.8,-2.2,-15,G-F,derozde01
13,DeMar DeRozan,2019-11-16,30-101,SAS,,POR,L 116-121,*,37,4,15,.267,4,15,.267,0,0,,8,9,.889,.422,2,5,7,5,1,0,3,5,16,9.1,-9.5,-16,G-F,derozde01
14,DeMar DeRozan,2019-11-18,30-103,SAS,@,DAL,L 110-117,*,34,14,20,.700,14,20,.700,0,0,,8,8,1.000,.765,1,7,8,4,1,0,1,4,36,31.6,17.8,-8,G-F,derozde01
15,DeMar DeRozan,2019-11-20,30-105,SAS,@,WAS,L 132-138,*,40,9,13,.692,9,13,.692,0,0,,13,17,.765,.757,0,4,4,5,0,1,1,3,31,27.1,0.9,-7,G-F,derozde01
16,DeMar DeRozan,2019-11-22,30-107,SAS,@,PHI,L 104-115,*,33,12,23,.522,12,23,.522,0,0,,5,5,1.000,.575,0,7,7,2,1,0,2,3,29,19.0,1.2,-21,G-F,derozde01
17,DeMar DeRozan,2019-11-23,30-108,SAS,@,NYK,W 111-104,*,31,8,14,.571,8,14,.571,0,0,,5,5,1.000,.648,1,8,9,4,0,1,4,2,21,16.2,-0.5,3,G-F,derozde01
18,DeMar DeRozan,2019-11-25,30-110,SAS,,LAL,L 104-114,*,35,11,19,.579,11,19,.579,0,0,,2,2,1.000,.604,0,4,4,5,0,1,0,4,24,18.9,5.8,-2,G-F,derozde01
19,DeMar DeRozan,2019-11-27,30-112,SAS,,MIN,L 101-113,*,34,8,16,.500,8,16,.500,0,0,,4,7,.571,.524,0,7,7,5,2,1,1,3,20,16.9,4.0,-8,G-F,derozde01
20,DeMar DeRozan,2019-11-29,30-114,SAS,,LAC,W 107-97,*,35,7,16,.438,6,15,.400,1,1,1.000,0,0,,.469,1,8,9,5,3,0,4,3,15,11.0,-2.1,3,G-F,derozde01
21,DeMar DeRozan,2019-12-01,30-116,SAS,@,DET,L 98-132,*,25,6,12,.500,5,9,.556,1,3,.333,7,8,.875,.644,0,4,4,2,1,0,0,1,20,16.8,5.6,-8,G-F,derozde01
22,DeMar DeRozan,2019-12-03,30-118,SAS,,HOU,W 135-133 (2OT),*,41,9,25,.360,9,24,.375,0,1,.000,5,6,.833,.416,1,4,5,9,0,0,3,3,23,12.7,-6.0,-12,G-F,derozde01
23,DeMar DeRozan,2019-12-06,30-121,SAS,,SAC,W 105-104 (OT),*,40,5,14,.357,2,9,.222,3,5,.600,2,3,.667,.490,1,9,10,7,2,0,3,3,15,12.9,1.3,3,G-F,derozde01
