Rk,Player,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Donovan Mitchell,2019-10-23,23-046,UTA,,OKC,W 100-95,*,36,14,22,.636,13,19,.684,1,3,.333,3,4,.750,.673,5,7,12,3,1,0,1,4,32,27.9,16.9,9,G,mitchdo01
2,Donovan Mitchell,2019-10-25,23-048,UTA,@,LAL,L 86-95,*,34,7,15,.467,7,13,.538,0,2,.000,10,10,1.000,.619,0,5,5,3,3,1,1,2,24,21.8,13.1,-3,G,mitchdo01
3,Donovan Mitchell,2019-10-26,23-049,UTA,,SAC,W 113-81,*,26,6,9,.667,3,6,.500,3,3,1.000,0,0,,.833,0,1,1,4,1,0,1,1,15,13.8,11.5,36,G,mitchdo01
4,Donovan Mitchell,2019-10-28,23-051,UTA,@,PHO,W 96-95,*,37,9,24,.375,6,16,.375,3,8,.375,4,8,.500,.454,1,1,2,3,2,0,3,4,25,10.7,-0.9,-1,G,mitchdo01
5,Donovan Mitchell,2019-10-30,23-053,UTA,,LAC,W 110-96,*,35,10,17,.588,10,15,.667,0,2,.000,4,4,1.000,.640,0,5,5,2,2,0,2,3,24,17.8,0.4,8,G,mitchdo01
6,Donovan Mitchell,2019-11-01,23-055,UTA,@,SAC,L 101-102,*,35,9,19,.474,8,16,.500,1,3,.333,5,6,.833,.555,0,4,4,2,3,0,0,2,24,18.7,4.0,10,G,mitchdo01
7,Donovan Mitchell,2019-11-03,23-057,UTA,@,LAC,L 94-105,*,34,11,21,.524,7,15,.467,4,6,.667,10,14,.714,.663,0,4,4,6,2,0,2,5,36,27.5,20.6,3,G,mitchdo01
8,Donovan Mitchell,2019-11-06,23-060,UTA,,PHI,W 106-104,*,35,10,23,.435,9,19,.474,1,4,.250,3,6,.500,.468,4,1,5,8,1,0,4,2,24,15.6,1.7,-9,G,mitchdo01
9,Donovan Mitchell,2019-11-08,23-062,UTA,,MIL,W 103-100,*,38,8,22,.364,6,18,.333,2,4,.500,1,1,1.000,.423,1,4,5,6,1,0,8,3,19,4.7,-3.9,-5,G,mitchdo01
10,Donovan Mitchell,2019-11-11,23-065,UTA,@,GSW,W 122-108,*,33,7,17,.412,2,8,.250,5,9,.556,4,4,1.000,.613,0,8,8,6,0,0,2,1,23,18.1,3.7,17,G,mitchdo01
11,Donovan Mitchell,2019-11-12,23-066,UTA,,BRK,W 119-114,*,38,13,26,.500,13,21,.619,0,5,.000,4,4,1.000,.540,3,3,6,2,1,0,2,1,30,20.0,2.7,16,G,mitchdo01
12,Donovan Mitchell,2019-11-15,23-069,UTA,@,MEM,L 106-107,*,36,9,21,.429,8,13,.615,1,8,.125,10,10,1.000,.571,0,9,9,5,2,1,2,3,29,23.6,9.9,-6,G,mitchdo01
13,Donovan Mitchell,2019-11-18,23-072,UTA,,MIN,L 102-112,*,34,5,23,.217,3,17,.176,2,6,.333,5,7,.714,.326,2,5,7,2,0,1,2,2,17,4.3,-7.7,-10,G,mitchdo01
14,Donovan Mitchell,2019-11-20,23-074,UTA,@,MIN,W 103-95,*,38,9,24,.375,4,14,.286,5,10,.500,3,3,1.000,.513,2,5,7,2,0,1,2,2,26,15.0,1.8,-11,G,mitchdo01
15,Donovan Mitchell,2019-11-22,23-076,UTA,,GSW,W 113-109,*,35,12,24,.500,9,15,.600,3,9,.333,3,4,.750,.582,1,3,4,4,1,0,0,3,30,21.8,3.7,1,G,mitchdo01
16,Donovan Mitchell,2019-11-23,23-077,UTA,,NOP,W 128-120,*,36,12,26,.462,6,13,.462,6,13,.462,7,7,1.000,.636,0,7,7,5,0,0,3,0,37,26.2,4.2,2,G,mitchdo01
17,Donovan Mitchell,2019-11-25,23-079,UTA,@,MIL,L 118-122,*,34,7,17,.412,4,8,.500,3,9,.333,3,3,1.000,.546,0,1,1,3,2,0,5,3,20,9.1,-7.3,2,G,mitchdo01
18,Donovan Mitchell,2019-11-27,23-081,UTA,@,IND,L 102-121,*,31,10,23,.435,8,16,.500,2,7,.286,4,4,1.000,.525,0,0,0,1,1,1,0,3,26,15.1,3.1,-12,G,mitchdo01
19,Donovan Mitchell,2019-11-29,23-083,UTA,@,MEM,W 103-94,*,37,7,22,.318,4,15,.267,3,7,.429,3,4,.750,.421,0,5,5,3,3,0,1,2,20,11.8,0.9,17,G,mitchdo01
20,Donovan Mitchell,2019-12-01,23-085,UTA,@,TOR,L 110-130,*,31,6,16,.375,4,10,.400,2,6,.333,2,3,.667,.462,1,0,1,4,1,0,0,1,16,10.9,0.4,-24,G,mitchdo01
21,Donovan Mitchell,2019-12-02,23-086,UTA,@,PHI,L 94-103,*,36,6,19,.316,5,13,.385,1,6,.167,5,6,.833,.416,0,2,2,1,3,1,4,2,18,6.9,-4.1,-8,G,mitchdo01
22,Donovan Mitchell,2019-12-04,23-088,UTA,,LAL,L 96-121,*,33,11,24,.458,8,17,.471,3,7,.429,4,5,.800,.553,0,4,4,5,0,0,2,1,29,18.5,6.3,-18,G,mitchdo01
23,Donovan Mitchell,2019-12-07,23-091,UTA,,MEM,W 126-112,*,33,9,17,.529,7,13,.538,2,4,.500,2,2,1.000,.615,1,3,4,3,0,0,7,2,22,9.6,-11.4,6,G,mitchdo01
