Rk,Player,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Kevin Huerter,2019-10-24,21-058,ATL,@,DET,W 117-100,,14,0,3,.000,0,1,.000,0,2,.000,0,0,,.000,0,4,4,5,0,0,3,5,0,-2.4,-19.3,-5,G,huertke01
2,Kevin Huerter,2019-10-26,21-060,ATL,,ORL,W 103-99,,21,3,7,.429,1,2,.500,2,5,.400,2,2,1.000,.635,0,2,2,4,0,1,1,1,10,9.0,7.5,-7,G,huertke01
3,Kevin Huerter,2019-10-28,21-062,ATL,,PHI,L 103-105,,20,2,5,.400,1,2,.500,1,3,.333,1,1,1.000,.551,1,1,2,3,2,0,1,2,6,6.6,4.5,1,G,huertke01
4,Kevin Huerter,2019-10-29,21-063,ATL,@,MIA,L 97-112,,19,2,6,.333,1,2,.500,1,4,.250,3,4,.750,.515,0,3,3,3,1,0,3,1,8,4.8,-5.8,-2,G,huertke01
5,Kevin Huerter,2019-10-31,21-065,ATL,,MIA,L 97-106,*,26,3,9,.333,2,4,.500,1,5,.200,0,0,,.389,1,3,4,1,0,0,0,1,7,3.8,-6.6,-17,G,huertke01
6,Kevin Huerter,2019-11-05,21-070,ATL,,SAS,W 108-100,,25,3,9,.333,2,6,.333,1,3,.333,0,0,,.389,1,5,6,1,1,2,3,2,7,3.4,-5.7,9,G,huertke01
7,Kevin Huerter,2019-11-06,21-071,ATL,,CHI,L 93-113,,24,4,10,.400,3,6,.500,1,4,.250,3,5,.600,.492,1,1,2,2,2,0,1,3,12,8.0,1.2,0,G,huertke01
8,Kevin Huerter,2019-11-08,21-073,ATL,,SAC,L 109-121,,30,6,10,.600,2,3,.667,4,7,.571,1,1,1.000,.814,1,2,3,4,0,0,0,1,17,16.1,7.5,-1,G,huertke01
9,Kevin Huerter,2019-11-10,21-075,ATL,@,POR,L 113-124 (OT),*,31,5,12,.417,2,4,.500,3,8,.375,2,2,1.000,.582,1,4,5,2,0,0,4,3,15,6.7,-5.7,-24,G,huertke01
10,Kevin Huerter,2019-11-12,21-077,ATL,@,DEN,W 125-121,*,16,4,4,1.000,1,1,1.000,3,3,1.000,0,0,,1.375,0,4,4,3,0,0,1,2,11,11.3,17.0,8,G,huertke01
