Rk,Player,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Jaylen Brown,2019-10-23,22-364,BOS,@,PHI,L 93-107,*,21,3,6,.500,2,4,.500,1,2,.500,1,3,.333,.546,0,7,7,0,1,0,1,5,8,4.3,-0.6,-12,F-G,brownja02
2,Jaylen Brown,2019-10-25,23-001,BOS,,TOR,W 112-106,*,38,11,20,.550,9,13,.692,2,7,.286,1,1,1.000,.612,0,9,9,4,0,2,1,2,25,20.5,8.2,2,F-G,brownja02
3,Jaylen Brown,2019-10-26,23-002,BOS,@,NYK,W 118-95,*,27,6,14,.429,5,9,.556,1,5,.200,6,8,.750,.542,1,3,4,2,1,1,2,4,19,11.9,-1.2,20,F-G,brownja02
4,Jaylen Brown,2019-11-07,23-014,BOS,@,CHO,W 108-87,*,32,5,9,.556,5,7,.714,0,2,.000,2,2,1.000,.607,0,5,5,1,1,0,2,1,12,8.5,-3.2,13,F-G,brownja02
5,Jaylen Brown,2019-11-09,23-016,BOS,@,SAS,W 135-115,*,32,10,18,.556,9,15,.600,1,3,.333,9,10,.900,.670,1,6,7,3,1,0,0,3,30,25.4,5.3,21,F-G,brownja02
6,Jaylen Brown,2019-11-11,23-018,BOS,,DAL,W 116-106,*,38,9,16,.563,7,12,.583,2,4,.500,5,7,.714,.655,3,8,11,3,0,0,1,4,25,20.6,5.2,12,F-G,brownja02
7,Jaylen Brown,2019-11-13,23-020,BOS,,WAS,W 140-133,*,35,9,19,.474,9,16,.563,0,3,.000,4,4,1.000,.530,1,4,5,4,1,0,2,4,22,14.4,-6.1,-4,F-G,brownja02
8,Jaylen Brown,2019-11-15,23-022,BOS,@,GSW,W 105-100,*,35,9,17,.529,6,14,.429,3,3,1.000,1,2,.500,.615,1,7,8,3,3,0,2,4,22,17.6,6.5,-4,F-G,brownja02
9,Jaylen Brown,2019-11-17,23-024,BOS,@,SAC,L 99-100,*,35,7,16,.438,3,9,.333,4,7,.571,0,0,,.563,1,7,8,0,2,0,4,1,18,10.0,-1.3,-5,F-G,brownja02
10,Jaylen Brown,2019-11-18,23-025,BOS,@,PHO,W 99-85,*,30,6,16,.375,4,11,.364,2,5,.400,0,2,.000,.415,4,5,9,3,1,0,1,4,14,9.2,0.7,4,F-G,brownja02
11,Jaylen Brown,2019-11-20,23-027,BOS,@,LAC,L 104-107 (OT),*,39,3,14,.214,2,6,.333,1,8,.125,2,4,.500,.286,1,5,6,1,1,0,3,5,9,-1.5,-11.4,-4,F-G,brownja02
12,Jaylen Brown,2019-11-22,23-029,BOS,@,DEN,L 92-96,*,36,6,15,.400,2,8,.250,4,7,.571,6,8,.750,.594,1,9,10,4,1,0,1,4,22,17.7,7.3,-1,F-G,brownja02
13,Jaylen Brown,2019-11-25,23-032,BOS,,SAC,W 103-102,*,34,9,16,.563,7,9,.778,2,7,.286,4,5,.800,.659,0,4,4,0,1,0,0,0,24,18.2,5.8,1,F-G,brownja02
14,Jaylen Brown,2019-11-27,23-034,BOS,,BRK,W 121-110,*,33,9,15,.600,7,9,.778,2,6,.333,2,2,1.000,.693,1,9,10,2,3,1,2,3,22,20.4,8.9,19,F-G,brownja02
15,Jaylen Brown,2019-11-29,23-036,BOS,@,BRK,L 107-112,*,34,4,8,.500,4,7,.571,0,1,.000,0,1,.000,.474,2,4,6,1,2,0,3,2,8,5.1,-6.1,-21,F-G,brownja02
16,Jaylen Brown,2019-12-01,23-038,BOS,@,NYK,W 113-104,*,35,11,18,.611,7,8,.875,4,10,.400,2,4,.500,.709,2,3,5,1,1,1,1,4,28,21.1,9.3,6,F-G,brownja02
17,Jaylen Brown,2019-12-04,23-041,BOS,,MIA,W 112-93,*,34,10,20,.500,5,11,.455,5,9,.556,6,8,.750,.659,1,3,4,1,1,0,1,3,31,21.3,6.8,9,F-G,brownja02
18,Jaylen Brown,2019-12-06,23-043,BOS,,DEN,W 108-95,*,33,8,15,.533,5,8,.625,3,7,.429,2,2,1.000,.661,0,7,7,2,0,0,1,3,21,15.0,3.9,10,F-G,brownja02
19,Jaylen Brown,2019-12-09,23-046,BOS,,CLE,W 110-88,*,32,9,15,.600,8,10,.800,1,5,.200,1,1,1.000,.648,0,7,7,2,0,2,3,5,20,13.0,-1.7,17,F-G,brownja02
20,Jaylen Brown,2019-12-11,23-048,BOS,@,IND,L 117-122,*,34,7,12,.583,5,7,.714,2,5,.400,2,3,.667,.676,0,8,8,8,1,0,4,6,18,14.6,3.5,13,F-G,brownja02
21,Jaylen Brown,2019-12-12,23-049,BOS,,PHI,L 109-115,*,41,3,9,.333,3,8,.375,0,1,.000,2,2,1.000,.405,1,4,5,2,1,0,3,4,8,2.6,-10.6,-14,F-G,brownja02
22,Jaylen Brown,2019-12-18,23-055,BOS,@,DAL,W 109-103,*,35,8,18,.444,6,10,.600,2,8,.250,8,8,1.000,.604,2,7,9,0,1,1,3,3,26,17.6,4.9,4,F-G,brownja02
23,Jaylen Brown,2019-12-20,23-057,BOS,,DET,W 114-93,*,29,9,13,.692,5,6,.833,4,7,.571,4,5,.800,.855,1,4,5,5,3,1,3,2,26,25.4,20.8,17,F-G,brownja02
24,Jaylen Brown,2019-12-22,23-059,BOS,,CHO,W 119-93,*,32,7,14,.500,6,10,.600,1,4,.250,1,3,.333,.522,1,8,9,5,0,0,2,2,16,12.0,-1.4,15,F-G,brownja02
25,Jaylen Brown,2019-12-25,23-062,BOS,@,TOR,W 118-102,*,35,10,13,.769,5,6,.833,5,7,.714,5,6,.833,.959,0,6,6,4,0,0,3,1,30,25.7,16.4,6,F-G,brownja02
26,Jaylen Brown,2019-12-27,23-064,BOS,,CLE,W 129-117,*,29,13,20,.650,8,10,.800,5,10,.500,3,4,.750,.781,1,8,9,2,0,0,3,2,34,25.5,9.7,3,F-G,brownja02
