Rk,Player,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Terry Rozier,2019-10-23,25-220,CHO,,CHI,W 126-125,*,30,2,10,.200,0,4,.000,2,6,.333,1,1,1.000,.335,1,3,4,6,0,0,4,1,7,2.2,-12.7,-18,G,roziete01
2,Terry Rozier,2019-10-25,25-222,CHO,,MIN,L 99-121,*,18,4,6,.667,3,5,.600,1,1,1.000,2,2,1.000,.799,0,1,1,10,1,0,2,5,11,12.7,14.6,1,G,roziete01
3,Terry Rozier,2019-10-27,25-224,CHO,@,LAL,L 101-120,*,32,6,14,.429,3,4,.750,3,10,.300,4,4,1.000,.603,0,6,6,4,1,0,3,3,19,13.0,1.4,-7,G,roziete01
4,Terry Rozier,2019-10-28,25-225,CHO,@,LAC,L 96-111,*,34,7,17,.412,4,10,.400,3,7,.429,0,0,,.500,0,3,3,2,1,1,5,4,17,5.3,-6.1,-26,G,roziete01
5,Terry Rozier,2019-10-30,25-227,CHO,@,SAC,W 118-111,*,35,7,15,.467,4,9,.444,3,6,.500,5,7,.714,.608,2,3,5,6,3,2,4,4,22,18.8,4.5,-5,G,roziete01
6,Terry Rozier,2019-11-02,25-230,CHO,@,GSW,W 93-87,*,37,8,17,.471,8,13,.615,0,4,.000,4,8,.500,.487,0,5,5,7,0,0,2,1,20,13.7,1.1,11,G,roziete01
7,Terry Rozier,2019-11-05,25-233,CHO,,IND,W 122-120 (OT),*,43,7,19,.368,4,11,.364,3,8,.375,5,5,1.000,.519,2,3,5,4,1,0,3,1,22,14.2,-2.6,7,G,roziete01
8,Terry Rozier,2019-11-07,25-235,CHO,,BOS,L 87-108,*,26,1,11,.091,1,8,.125,0,3,.000,1,1,1.000,.131,0,3,3,2,1,0,4,3,3,-6.2,-20.7,-14,G,roziete01
9,Terry Rozier,2019-11-09,25-237,CHO,,NOP,L 110-115,*,35,5,14,.357,2,7,.286,3,7,.429,5,5,1.000,.556,0,5,5,6,0,0,3,3,18,11.7,-1.6,-9,G,roziete01
10,Terry Rozier,2019-11-10,25-238,CHO,@,PHI,L 106-114,*,22,5,12,.417,4,8,.500,1,4,.250,2,2,1.000,.505,0,1,1,4,2,0,3,4,13,7.1,-3.8,-9,G,roziete01
11,Terry Rozier,2019-11-13,25-241,CHO,,MEM,L 117-119,*,37,13,20,.650,6,9,.667,7,11,.636,0,0,,.825,0,5,5,6,2,0,5,0,33,26.9,10.4,15,G,roziete01
12,Terry Rozier,2019-11-15,25-243,CHO,,DET,W 109-106,*,33,8,18,.444,6,12,.500,2,6,.333,1,1,1.000,.515,1,4,5,2,3,0,1,1,19,14.5,2.5,-15,G,roziete01
13,Terry Rozier,2019-11-16,25-244,CHO,@,NYK,W 103-102,*,36,6,16,.375,5,9,.556,1,7,.143,3,3,1.000,.462,3,1,4,2,2,0,1,0,16,12.0,-2.4,9,G,roziete01
14,Terry Rozier,2019-11-18,25-246,CHO,@,TOR,L 96-132,*,26,4,11,.364,2,5,.400,2,6,.333,0,0,,.455,1,2,3,4,0,0,2,2,10,5.2,-8.5,-24,G,roziete01
15,Terry Rozier,2019-11-20,25-248,CHO,@,BRK,L 91-101,*,33,5,14,.357,3,7,.429,2,7,.286,6,6,1.000,.541,1,5,6,2,0,0,4,4,18,8.2,-5.1,-16,G,roziete01
16,Terry Rozier,2019-11-22,25-250,CHO,@,WAS,L 118-125,*,34,8,17,.471,7,11,.636,1,6,.167,2,2,1.000,.531,0,2,2,3,2,0,3,1,19,11.6,-6.1,-16,G,roziete01
17,Terry Rozier,2019-11-23,25-251,CHO,,CHI,L 115-116,*,34,8,12,.667,5,6,.833,3,6,.500,9,12,.750,.810,1,0,1,5,1,0,4,3,28,21.6,5.3,-7,G,roziete01
18,Terry Rozier,2019-11-25,25-253,CHO,@,MIA,L 100-117,*,32,7,15,.467,4,9,.444,3,6,.500,2,2,1.000,.598,1,8,9,5,0,0,3,1,19,14.5,1.6,-20,G,roziete01
19,Terry Rozier,2019-11-27,25-255,CHO,,DET,W 102-101,*,34,3,11,.273,0,5,.000,3,6,.500,3,3,1.000,.487,1,1,2,3,1,1,1,1,12,8.9,-2.0,-3,G,roziete01
20,Terry Rozier,2019-11-29,25-257,CHO,@,DET,W 110-107,*,35,8,15,.533,2,6,.333,6,9,.667,1,1,1.000,.745,1,3,4,2,2,0,0,3,23,19.5,7.1,7,G,roziete01
21,Terry Rozier,2019-11-30,25-258,CHO,@,MIL,L 96-137,*,30,7,17,.412,2,9,.222,5,8,.625,0,0,,.559,2,4,6,2,2,0,0,2,19,15.1,6.6,-32,G,roziete01
22,Terry Rozier,2019-12-02,25-260,CHO,,PHO,L 104-109,*,34,5,9,.556,2,4,.500,3,5,.600,0,0,,.722,0,7,7,3,1,0,3,4,13,9.3,-1.0,-11,G,roziete01
23,Terry Rozier,2019-12-04,25-262,CHO,,GSW,W 106-91,*,36,10,20,.500,5,6,.833,5,14,.357,0,0,,.625,0,7,7,7,3,0,2,1,25,22.6,8.9,14,G,roziete01
24,Terry Rozier,2019-12-06,25-264,CHO,,BRK,L 104-111,*,36,8,14,.571,3,7,.429,5,7,.714,3,3,1.000,.783,0,6,6,4,0,0,5,3,24,15.8,1.2,-20,G,roziete01
25,Terry Rozier,2019-12-08,25-266,CHO,,ATL,L 107-122,*,35,3,13,.231,1,6,.167,2,7,.286,0,0,,.308,2,3,5,4,1,0,4,1,8,1.8,-14.0,-18,G,roziete01
26,Terry Rozier,2019-12-10,25-268,CHO,,WAS,W 114-107,*,38,5,14,.357,4,7,.571,1,7,.143,6,7,.857,.498,2,6,8,7,1,0,1,1,17,16.5,1.7,15,G,roziete01
27,Terry Rozier,2019-12-11,25-269,CHO,@,BRK,W 113-108,*,35,5,15,.333,4,12,.333,1,3,.333,2,2,1.000,.409,0,7,7,4,0,0,1,2,13,7.6,-7.8,3,G,roziete01
28,Terry Rozier,2019-12-13,25-271,CHO,@,CHI,W 83-73,*,36,5,15,.333,4,10,.400,1,5,.200,0,1,.000,.356,0,8,8,5,2,0,3,3,11,5.8,-3.3,10,G,roziete01
29,Terry Rozier,2019-12-15,25-273,CHO,@,IND,L 85-107,*,25,1,12,.083,1,9,.111,0,3,.000,1,2,.500,.116,0,2,2,3,1,0,1,3,3,-3.9,-16.3,-4,G,roziete01
30,Terry Rozier,2019-12-17,25-275,CHO,,SAC,W 110-102,*,33,4,16,.250,2,11,.182,2,5,.400,1,2,.500,.326,3,3,6,6,1,1,4,2,11,5.1,-9.6,8,G,roziete01
31,Terry Rozier,2019-12-18,25-276,CHO,@,CLE,L 98-100,*,38,12,27,.444,5,12,.417,7,15,.467,4,4,1.000,.608,3,0,3,2,4,0,3,2,35,24.6,12.6,-2,G,roziete01
32,Terry Rozier,2019-12-21,25-279,CHO,,UTA,L 107-114,*,36,11,24,.458,9,18,.500,2,6,.333,5,5,1.000,.553,0,4,4,3,1,1,2,4,29,18.0,-0.4,-18,G,roziete01
33,Terry Rozier,2019-12-22,25-280,CHO,@,BOS,L 93-119,*,38,6,17,.353,6,12,.500,0,5,.000,2,4,.500,.373,1,1,2,4,1,1,0,1,14,8.8,-7.1,-21,G,roziete01
34,Terry Rozier,2019-12-27,25-285,CHO,,OKC,L 102-104 (OT),*,36,10,18,.556,7,9,.778,3,9,.333,3,4,.750,.658,1,3,4,3,1,0,3,3,26,17.5,7.5,-2,G,roziete01
35,Terry Rozier,2019-12-29,25-287,CHO,@,MEM,L 104-117,*,37,3,8,.375,3,7,.429,0,1,.000,3,3,1.000,.483,0,2,2,8,1,0,5,2,9,6.0,-7.4,-14,G,roziete01
36,Terry Rozier,2019-12-31,25-289,CHO,,BOS,L 92-109,*,34,4,13,.308,2,8,.250,2,5,.400,0,0,,.385,0,2,2,5,0,0,2,2,10,3.8,-7.8,-13,G,roziete01
37,Terry Rozier,2020-01-02,25-291,CHO,@,CLE,W 109-106,*,39,11,22,.500,5,10,.500,6,12,.500,2,3,.667,.643,1,5,6,3,1,0,2,2,30,21.1,5.2,-3,G,roziete01
38,Terry Rozier,2020-01-04,25-293,CHO,@,DAL,W 123-120 (OT),*,42,10,15,.667,5,7,.714,5,8,.625,4,6,.667,.822,2,4,6,8,0,0,1,4,29,27.3,12.5,-3,G,roziete01
39,Terry Rozier,2020-01-06,25-295,CHO,,IND,L 104-115,*,40,8,17,.471,5,7,.714,3,10,.300,9,9,1.000,.668,0,1,1,6,1,0,1,0,28,23.8,7.8,-10,G,roziete01
