Rk,Player,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Tim Hardaway Jr.,2019-10-23,27-221,DAL,,WAS,W 108-100,,21,2,7,.286,2,2,1.000,0,5,.000,0,0,,.286,0,1,1,1,0,0,0,4,4,-0.7,-11.1,2,G,hardati02
2,Tim Hardaway Jr.,2019-10-25,27-223,DAL,@,NOP,W 123-116,,22,2,8,.250,0,1,.000,2,7,.286,2,2,1.000,.450,0,1,1,2,0,0,0,2,8,4.1,-6.1,0,G,hardati02
3,Tim Hardaway Jr.,2019-10-27,27-225,DAL,,POR,L 119-121,,22,2,7,.286,2,2,1.000,0,5,.000,7,8,.875,.523,0,1,1,1,0,0,2,2,11,4.7,-8.8,-10,G,hardati02
4,Tim Hardaway Jr.,2019-10-29,27-227,DAL,@,DEN,W 109-106,,23,5,9,.556,1,3,.333,4,6,.667,0,0,,.778,0,3,3,2,1,0,0,1,14,12.6,10.7,23,G,hardati02
5,Tim Hardaway Jr.,2019-11-01,27-230,DAL,,LAL,L 110-119 (OT),,27,4,11,.364,2,7,.286,2,4,.500,1,2,.500,.463,1,4,5,1,0,0,1,1,11,5.7,-0.6,2,G,hardati02
6,Tim Hardaway Jr.,2019-11-03,27-232,DAL,@,CLE,W 131-111,,22,5,12,.417,3,6,.500,2,6,.333,0,0,,.500,1,2,3,2,0,0,0,3,12,7.1,-6.0,16,G,hardati02
7,Tim Hardaway Jr.,2019-11-06,27-235,DAL,,ORL,W 107-106,,26,4,11,.364,2,6,.333,2,5,.400,3,4,.750,.509,1,2,3,2,0,0,0,4,13,7.6,0.3,15,G,hardati02
8,Tim Hardaway Jr.,2019-11-08,27-237,DAL,,NYK,L 102-106,,24,5,15,.333,2,5,.400,3,10,.300,1,2,.500,.441,0,2,2,1,0,0,1,1,14,5.0,-4.7,-6,G,hardati02
9,Tim Hardaway Jr.,2019-11-09,27-238,DAL,@,MEM,W 138-122,,22,7,14,.500,2,5,.400,5,9,.556,1,1,1.000,.693,0,0,0,1,0,0,0,1,20,13.3,4.2,19,G,hardati02
10,Tim Hardaway Jr.,2019-11-11,27-240,DAL,@,BOS,L 106-116,,21,3,11,.273,2,4,.500,1,7,.143,2,3,.667,.365,0,4,4,1,0,1,0,3,9,3.5,-7.4,8,G,hardati02
11,Tim Hardaway Jr.,2019-11-14,27-243,DAL,@,NYK,L 103-106,,25,4,10,.400,2,3,.667,2,7,.286,2,4,.500,.510,0,4,4,0,0,1,0,3,12,6.5,-3.8,1,G,hardati02
12,Tim Hardaway Jr.,2019-11-16,27-245,DAL,,TOR,W 110-102,,19,2,11,.182,2,7,.286,0,4,.000,0,0,,.182,0,1,1,3,0,0,0,1,4,-0.9,-13.9,0,G,hardati02
13,Tim Hardaway Jr.,2019-11-18,27-247,DAL,,SAS,W 117-110,,15,0,5,.000,0,2,.000,0,3,.000,0,0,,.000,0,0,0,2,0,0,1,1,0,-3.5,-23.0,3,G,hardati02
