Rk,Player,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Will Barton,2019-10-23,28-290,DEN,@,POR,W 108-100,*,31,3,8,.375,1,5,.200,2,3,.667,11,12,.917,.715,1,4,5,2,2,1,1,1,19,18.8,9.4,2,G,bartowi01
2,Will Barton,2019-10-25,28-292,DEN,,PHO,W 108-107 (OT),*,21,1,6,.167,0,2,.000,1,4,.250,2,2,1.000,.363,0,0,0,0,1,3,0,0,5,4.3,2.0,13,G,bartowi01
3,Will Barton,2019-10-28,28-295,DEN,@,SAC,W 101-94,*,29,5,14,.357,4,10,.400,1,4,.250,2,3,.667,.424,4,5,9,3,1,0,2,1,13,9.8,0.7,3,G,bartowi01
4,Will Barton,2019-10-29,28-296,DEN,,DAL,L 106-109,*,37,8,16,.500,6,13,.462,2,3,.667,1,2,.500,.563,4,7,11,1,1,0,2,3,19,14.0,0.3,15,G,bartowi01
5,Will Barton,2019-11-05,28-303,DEN,,MIA,W 109-89,*,32,5,10,.500,3,8,.375,2,2,1.000,3,5,.600,.615,1,9,10,4,1,1,3,1,15,13.7,4.4,23,G,bartowi01
6,Will Barton,2019-11-08,28-306,DEN,,PHI,W 100-97,*,36,8,12,.667,6,8,.750,2,4,.500,2,3,.667,.751,0,7,7,1,2,1,2,1,20,17.5,4.4,16,G,bartowi01
7,Will Barton,2019-11-10,28-308,DEN,@,MIN,W 100-98 (OT),*,38,5,16,.313,2,11,.182,3,5,.600,0,0,,.406,1,11,12,5,2,0,2,3,13,10.1,3.7,4,G,bartowi01
8,Will Barton,2019-11-12,28-310,DEN,,ATL,L 121-125,*,36,8,16,.500,4,9,.444,4,7,.571,1,2,.500,.622,5,4,9,4,1,0,0,4,21,19.5,4.3,-2,G,bartowi01
9,Will Barton,2019-11-14,28-312,DEN,,BRK,W 101-93,*,38,8,17,.471,8,12,.667,0,5,.000,1,2,.500,.475,0,6,6,4,0,0,0,2,17,11.7,-0.5,5,G,bartowi01
10,Will Barton,2019-11-17,28-315,DEN,@,MEM,W 131-114,*,24,2,6,.333,1,4,.250,1,2,.500,1,2,.500,.436,1,4,5,3,0,0,0,2,6,5.4,-6.9,13,G,bartowi01
11,Will Barton,2019-11-20,28-318,DEN,,HOU,W 105-95,*,26,7,12,.583,6,8,.750,1,4,.250,0,0,,.625,3,4,7,3,1,0,0,2,15,15.0,8.8,11,G,bartowi01
12,Will Barton,2019-11-22,28-320,DEN,,BOS,W 96-92,*,34,6,12,.500,3,5,.600,3,7,.429,0,0,,.625,0,1,1,5,0,0,2,4,15,9.2,2.8,13,G,bartowi01
13,Will Barton,2019-11-24,28-322,DEN,,PHO,W 116-104,*,32,8,18,.444,4,11,.364,4,7,.571,2,2,1.000,.583,5,3,8,4,1,0,1,2,22,19.0,8.8,13,G,bartowi01
14,Will Barton,2019-11-26,28-324,DEN,,WAS,W 117-104,*,37,7,13,.538,5,8,.625,2,5,.400,1,1,1.000,.632,2,6,8,8,0,1,3,3,17,16.0,4.4,11,G,bartowi01
