Rk,Player,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,P.J. Tucker,2019-10-24,34-172,HOU,,MIL,L 111-117,*,38,6,10,.600,1,2,.500,5,8,.625,0,0,,.850,2,5,7,0,1,0,2,5,17,12.3,2.8,-5,F,tuckepj01
2,P.J. Tucker,2019-10-26,34-174,HOU,,NOP,W 126-123,*,38,6,9,.667,4,6,.667,2,3,.667,2,2,1.000,.810,2,3,5,3,1,1,2,3,16,15.0,4.0,16,F,tuckepj01
3,P.J. Tucker,2019-10-28,34-176,HOU,,OKC,W 116-112,*,33,6,9,.667,1,2,.500,5,7,.714,0,0,,.944,1,8,9,1,1,1,0,4,17,17.0,12.5,16,F,tuckepj01
4,P.J. Tucker,2019-10-30,34-178,HOU,@,WAS,W 159-158,*,33,3,7,.429,2,3,.667,1,4,.250,2,2,1.000,.571,2,3,5,4,3,0,0,5,9,11.4,-1.9,9,F,tuckepj01
5,P.J. Tucker,2019-11-01,34-180,HOU,@,BRK,L 116-123,*,35,3,8,.375,0,0,,3,8,.375,0,0,,.563,3,5,8,1,3,1,2,3,9,9.4,0.7,-23,F,tuckepj01
6,P.J. Tucker,2019-11-03,34-182,HOU,@,MIA,L 100-129,*,25,1,4,.250,1,2,.500,0,2,.000,0,0,,.250,0,6,6,1,0,0,0,2,2,1.3,-7.4,-41,F,tuckepj01
7,P.J. Tucker,2019-11-04,34-183,HOU,@,MEM,W 107-100,*,34,0,1,.000,0,0,,0,1,.000,0,0,,.000,1,5,6,3,0,0,3,4,0,-1.0,-7.8,-12,F,tuckepj01
8,P.J. Tucker,2019-11-06,34-185,HOU,,GSW,W 129-112,*,38,9,14,.643,5,6,.833,4,8,.500,0,0,,.786,5,6,11,4,1,0,3,2,22,21.1,4.8,32,F,tuckepj01
9,P.J. Tucker,2019-11-09,34-188,HOU,@,CHI,W 117-94,*,32,1,3,.333,0,0,,1,3,.333,1,2,.500,.515,0,5,5,1,2,2,0,4,4,5.9,2.4,2,F,tuckepj01
10,P.J. Tucker,2019-11-11,34-190,HOU,@,NOP,W 122-116,*,33,3,8,.375,2,3,.667,1,5,.200,3,3,1.000,.536,0,7,7,0,0,0,1,1,10,6.3,-4.6,-7,F,tuckepj01
11,P.J. Tucker,2019-11-13,34-192,HOU,,LAC,W 102-93,*,39,2,5,.400,0,2,.000,2,3,.667,0,0,,.600,2,1,3,0,2,1,0,5,6,5.7,1.1,10,F,tuckepj01
12,P.J. Tucker,2019-11-15,34-194,HOU,,IND,W 111-102,*,40,2,6,.333,1,2,.500,1,4,.250,0,1,.000,.388,1,11,12,0,2,1,1,4,5,5.3,-2.9,10,F,tuckepj01
13,P.J. Tucker,2019-11-16,34-195,HOU,@,MIN,W 125-105,*,38,3,3,1.000,2,2,1.000,1,1,1.000,2,2,1.000,1.160,2,4,6,0,1,0,0,2,9,10.9,2.7,8,F,tuckepj01
