Rk,Player,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Kawhi Leonard,2019-10-22,28-115,LAC,,LAL,W 112-102,*,32,10,19,.526,9,14,.643,1,5,.200,9,10,.900,.641,1,5,6,5,2,1,6,5,30,20.7,6.3,5,F,leonaka01
2,Kawhi Leonard,2019-10-24,28-117,LAC,@,GSW,W 141-122,*,21,9,17,.529,8,14,.571,1,3,.333,2,4,.500,.560,0,5,5,9,0,0,1,0,21,18.7,3.0,27,F,leonaka01
3,Kawhi Leonard,2019-10-26,28-119,LAC,@,PHO,L 122-130,*,32,11,23,.478,8,17,.471,3,6,.500,2,3,.667,.555,1,7,8,10,3,1,3,5,27,23.4,12.3,-11,F,leonaka01
4,Kawhi Leonard,2019-10-28,28-121,LAC,,CHO,W 111-96,*,30,10,18,.556,8,13,.615,2,5,.400,8,8,1.000,.697,0,7,7,6,2,3,2,1,30,29.4,22.0,21,F,leonaka01
5,Kawhi Leonard,2019-10-31,28-124,LAC,,SAS,W 103-97,*,34,15,32,.469,13,28,.464,2,4,.500,6,6,1.000,.548,5,7,12,1,4,0,4,3,38,26.7,16.1,12,F,leonaka01
6,Kawhi Leonard,2019-11-03,28-127,LAC,,UTA,W 105-94,*,34,9,26,.346,7,18,.389,2,8,.250,10,12,.833,.480,2,4,6,3,3,1,2,2,30,20.2,13.2,16,F,leonaka01
7,Kawhi Leonard,2019-11-07,28-131,LAC,,POR,W 107-101,*,33,9,23,.391,9,18,.500,0,5,.000,9,10,.900,.493,1,12,13,4,1,2,6,2,27,16.8,1.9,8,F,leonaka01
8,Kawhi Leonard,2019-11-11,28-135,LAC,,TOR,W 98-88,*,35,2,11,.182,2,7,.286,0,4,.000,8,9,.889,.401,2,9,11,9,3,0,9,3,12,7.9,-1.6,12,F,leonaka01
9,Kawhi Leonard,2019-11-13,28-137,LAC,@,HOU,L 93-102,*,41,10,24,.417,7,15,.467,3,9,.333,3,5,.600,.496,0,12,12,7,1,1,4,1,26,18.2,9.5,-7,F,leonaka01
10,Kawhi Leonard,2019-11-20,28-144,LAC,,BOS,W 107-104 (OT),*,38,7,20,.350,4,10,.400,3,10,.300,0,0,,.425,0,6,6,3,3,2,5,2,17,8.3,-1.2,-2,F,leonaka01
11,Kawhi Leonard,2019-11-22,28-146,LAC,,HOU,W 122-119,*,28,9,16,.563,7,11,.636,2,5,.400,4,7,.571,.629,0,6,6,3,3,0,2,5,24,18.1,7.4,11,F,leonaka01
12,Kawhi Leonard,2019-11-24,28-148,LAC,,NOP,W 134-109,*,28,7,19,.368,5,13,.385,2,6,.333,10,12,.833,.535,1,3,4,6,0,0,1,1,26,19.1,5.5,-3,F,leonaka01
13,Kawhi Leonard,2019-11-26,28-150,LAC,@,DAL,W 114-99,*,28,11,21,.524,10,19,.526,1,2,.500,5,5,1.000,.603,1,7,8,4,1,0,2,1,28,21.9,13.9,11,F,leonaka01
14,Kawhi Leonard,2019-11-29,28-153,LAC,@,SAS,L 97-107,*,31,8,23,.348,8,22,.364,0,1,.000,3,3,1.000,.391,1,6,7,7,2,1,3,0,19,13.2,4.4,5,F,leonaka01
15,Kawhi Leonard,2019-12-01,28-155,LAC,,WAS,W 150-125,*,26,14,21,.667,12,16,.750,2,5,.400,4,4,1.000,.747,2,4,6,3,1,0,1,3,34,28.4,13.5,24,F,leonaka01
16,Kawhi Leonard,2019-12-03,28-157,LAC,,POR,W 117-97,*,28,3,15,.200,1,10,.100,2,5,.400,3,4,.750,.328,1,8,9,5,2,0,1,0,11,8.9,0.0,15,F,leonaka01
17,Kawhi Leonard,2019-12-06,28-160,LAC,@,MIL,L 91-119,*,30,5,14,.357,4,12,.333,1,2,.500,6,6,1.000,.511,1,4,5,4,2,2,5,0,17,12.3,6.7,-18,F,leonaka01
18,Kawhi Leonard,2019-12-08,28-162,LAC,@,WAS,W 135-119,*,32,12,18,.667,9,12,.750,3,6,.500,7,8,.875,.790,0,11,11,5,1,0,4,2,34,28.8,12.2,26,F,leonaka01
19,Kawhi Leonard,2019-12-11,28-165,LAC,@,TOR,W 112-92,*,32,8,14,.571,6,10,.600,2,4,.500,5,5,1.000,.710,1,4,5,6,2,0,3,2,23,20.7,13.0,21,F,leonaka01
