Rk,Player,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Anthony Davis,2019-10-22,26-225,LAL,@,LAC,L 102-112,*,37,8,21,.381,8,19,.421,0,2,.000,9,14,.643,.460,3,6,9,5,1,2,3,3,25,17.1,2.9,3,F-C,davisan02
2,Anthony Davis,2019-10-25,26-228,LAL,,UTA,W 95-86,*,32,7,17,.412,7,15,.467,0,2,.000,7,7,1.000,.523,0,7,7,2,2,5,3,4,21,16.3,7.2,5,F-C,davisan02
3,Anthony Davis,2019-10-27,26-230,LAL,,CHO,W 120-101,*,32,10,19,.526,7,14,.500,3,5,.600,6,6,1.000,.670,2,12,14,3,1,3,5,3,29,23.7,8.5,5,F-C,davisan02
4,Anthony Davis,2019-10-29,26-232,LAL,,MEM,W 120-91,*,31,7,17,.412,7,15,.467,0,2,.000,26,27,.963,.693,8,12,20,2,0,2,0,2,40,41.7,22.1,19,F-C,davisan02
5,Anthony Davis,2019-11-01,26-235,LAL,@,DAL,W 119-110 (OT),*,43,15,28,.536,15,23,.652,0,5,.000,1,2,.500,.537,2,6,8,2,2,2,1,1,31,23.6,5.4,12,F-C,davisan02
6,Anthony Davis,2019-11-03,26-237,LAL,@,SAS,W 103-96,*,36,10,20,.500,9,18,.500,1,2,.500,4,4,1.000,.574,2,9,11,2,0,4,6,2,25,16.5,2.6,7,F-C,davisan02
7,Anthony Davis,2019-11-05,26-239,LAL,@,CHI,W 118-112,*,31,6,15,.400,5,13,.385,1,2,.500,2,2,1.000,.472,3,4,7,3,1,3,3,4,15,10.8,-3.5,-4,F-C,davisan02
8,Anthony Davis,2019-11-08,26-242,LAL,,MIA,W 95-80,*,35,11,17,.647,11,17,.647,0,0,,4,4,1.000,.693,2,6,8,7,2,3,2,4,26,27.1,22.3,27,F-C,davisan02
9,Anthony Davis,2019-11-10,26-244,LAL,,TOR,L 104-113,*,38,10,20,.500,8,15,.533,2,5,.400,5,6,.833,.596,3,5,8,3,2,4,5,3,27,20.9,6.3,-6,F-C,davisan02
10,Anthony Davis,2019-11-12,26-246,LAL,@,PHO,W 123-115,*,38,9,17,.529,8,15,.533,1,2,.500,5,6,.833,.611,3,9,12,4,2,1,1,1,24,24.2,7.2,6,F-C,davisan02
11,Anthony Davis,2019-11-15,26-249,LAL,,SAC,W 99-97,*,35,5,12,.417,5,9,.556,0,3,.000,7,9,.778,.533,0,5,5,2,1,4,4,2,17,11.7,-1.6,-5,F-C,davisan02
12,Anthony Davis,2019-11-17,26-251,LAL,,ATL,W 122-101,*,28,5,14,.357,5,12,.417,0,2,.000,4,5,.800,.432,0,1,1,5,0,5,4,1,14,8.7,-4.6,6,F-C,davisan02
13,Anthony Davis,2019-11-19,26-253,LAL,,OKC,W 112-107,*,37,13,24,.542,10,19,.526,3,5,.600,5,6,.833,.638,3,4,7,4,4,2,2,2,34,30.7,16.7,1,F-C,davisan02
14,Anthony Davis,2019-11-22,26-256,LAL,@,OKC,W 130-127,*,35,9,19,.474,5,12,.417,4,7,.571,11,11,1.000,.692,1,10,11,7,1,0,1,3,33,30.7,12.7,7,F-C,davisan02
15,Anthony Davis,2019-11-23,26-257,LAL,@,MEM,W 109-108,*,35,7,14,.500,4,8,.500,3,6,.500,5,6,.833,.661,2,2,4,3,3,5,3,1,22,21.8,12.0,1,F-C,davisan02
16,Anthony Davis,2019-11-25,26-259,LAL,@,SAS,W 114-104,*,33,7,19,.368,6,13,.462,1,6,.167,4,4,1.000,.458,6,6,12,6,2,2,0,3,19,20.9,7.9,10,F-C,davisan02
17,Anthony Davis,2019-11-27,26-261,LAL,@,NOP,W 114-110,*,37,15,30,.500,14,26,.538,1,4,.250,10,12,.833,.581,3,6,9,1,3,1,2,3,41,30.3,7.8,-6,F-C,davisan02
18,Anthony Davis,2019-11-29,26-263,LAL,,WAS,W 125-103,*,27,8,15,.533,7,13,.538,1,2,.500,9,12,.750,.641,4,9,13,2,0,3,0,1,26,26.1,12.7,28,F-C,davisan02
19,Anthony Davis,2019-12-01,26-265,LAL,,DAL,L 100-114,*,36,10,21,.476,9,19,.474,1,2,.500,6,6,1.000,.571,2,8,10,2,1,2,2,2,27,21.1,6.5,-7,F-C,davisan02
20,Anthony Davis,2019-12-03,26-267,LAL,@,DEN,W 105-96,*,37,9,18,.500,8,15,.533,1,3,.333,6,9,.667,.569,3,7,10,1,0,1,1,3,25,18.2,4.4,11,F-C,davisan02
21,Anthony Davis,2019-12-04,26-268,LAL,@,UTA,W 121-96,*,26,9,11,.818,9,11,.818,0,0,,8,9,.889,.869,1,5,6,1,1,3,0,2,26,26.7,18.1,3,F-C,davisan02
22,Anthony Davis,2019-12-06,26-270,LAL,@,POR,W 136-113,*,32,12,21,.571,10,15,.667,2,6,.333,13,15,.867,.707,0,9,9,2,2,3,3,2,39,32.7,11.0,6,F-C,davisan02
23,Anthony Davis,2019-12-08,26-272,LAL,,MIN,W 142-125,*,39,20,29,.690,20,27,.741,0,2,.000,10,10,1.000,.749,3,4,7,6,4,1,1,1,50,48.5,18.2,19,F-C,davisan02
24,Anthony Davis,2019-12-11,26-275,LAL,@,ORL,W 96-87,*,37,6,20,.300,5,16,.313,1,4,.250,3,4,.750,.368,4,8,12,6,2,2,2,2,16,14.0,4.7,4,F-C,davisan02
25,Anthony Davis,2019-12-13,26-277,LAL,@,MIA,W 113-110,*,38,11,20,.550,7,11,.636,4,9,.444,7,9,.778,.689,1,9,10,1,0,3,1,3,33,26.6,11.6,11,F-C,davisan02
26,Anthony Davis,2019-12-15,26-279,LAL,@,ATL,W 101-96,*,35,11,23,.478,11,17,.647,0,6,.000,5,7,.714,.518,2,11,13,3,1,2,5,5,27,16.7,1.5,-3,F-C,davisan02
27,Anthony Davis,2019-12-19,26-283,LAL,@,MIL,L 104-111,*,43,11,25,.440,11,19,.579,0,6,.000,14,17,.824,.554,3,7,10,5,1,3,1,4,36,29.9,10.8,6,F-C,davisan02
28,Anthony Davis,2019-12-22,26-286,LAL,,DEN,L 104-128,*,34,13,23,.565,12,19,.632,1,4,.250,5,6,.833,.624,5,6,11,1,0,4,5,4,32,22.9,3.9,-13,F-C,davisan02
29,Anthony Davis,2019-12-25,26-289,LAL,,LAC,L 106-111,*,39,8,17,.471,7,11,.636,1,6,.167,7,8,.875,.585,1,5,6,3,2,2,3,4,24,18.0,4.1,-10,F-C,davisan02
30,Anthony Davis,2019-12-28,26-292,LAL,@,POR,W 128-120,*,36,7,16,.438,6,12,.500,1,4,.250,5,6,.833,.536,1,8,9,5,2,0,2,3,20,16.6,0.5,6,F-C,davisan02
31,Anthony Davis,2019-12-29,26-293,LAL,,DAL,W 108-95,*,36,8,12,.667,8,11,.727,0,1,.000,7,9,.778,.721,1,8,9,4,2,1,4,2,23,20.8,7.7,16,F-C,davisan02
32,Anthony Davis,2020-01-01,26-296,LAL,,PHO,W 117-107,*,38,9,16,.563,8,13,.615,1,3,.333,7,8,.875,.666,1,10,11,2,0,1,3,1,26,20.4,3.9,16,F-C,davisan02
33,Anthony Davis,2020-01-03,26-298,LAL,,NOP,W 123-113,*,38,15,21,.714,12,16,.750,3,5,.600,13,13,1.000,.861,2,11,13,1,3,1,3,3,46,42.2,18.2,26,F-C,davisan02
34,Anthony Davis,2020-01-05,26-300,LAL,,DET,W 106-99,*,38,7,16,.438,6,12,.500,1,4,.250,9,10,.900,.588,1,10,11,2,3,8,0,3,24,27.7,15.0,-11,F-C,davisan02
35,Anthony Davis,2020-01-07,26-302,LAL,,NYK,W 117-87,*,28,2,8,.250,2,7,.286,0,1,.000,1,2,.500,.282,0,6,6,5,3,2,3,2,5,5.7,-2.0,10,F-C,davisan02
36,Anthony Davis,2020-01-20,26-315,LAL,@,BOS,L 107-139,*,23,3,7,.429,3,7,.429,0,0,,3,3,1.000,.541,1,3,4,2,1,2,2,5,9,6.7,-2.9,-24,F-C,davisan02
37,Anthony Davis,2020-01-22,26-317,LAL,@,NYK,W 100-92,*,30,7,14,.500,6,12,.500,1,2,.500,13,13,1.000,.710,1,4,5,5,1,2,1,0,28,27.8,21.4,8,F-C,davisan02
38,Anthony Davis,2020-01-23,26-318,LAL,@,BRK,W 128-113,*,27,4,9,.444,3,6,.500,1,3,.333,7,8,.875,.639,1,10,11,2,1,1,2,3,16,14.5,2.2,6,F-C,davisan02
39,Anthony Davis,2020-01-25,26-320,LAL,@,PHI,L 91-108,*,39,13,22,.591,11,17,.647,2,5,.400,3,4,.750,.652,0,7,7,2,2,1,5,3,31,20.4,6.2,-10,F-C,davisan02
40,Anthony Davis,2020-01-31,26-326,LAL,,POR,L 119-127,*,39,14,22,.636,11,17,.647,3,5,.600,6,8,.750,.725,4,12,16,6,1,5,4,1,37,37.1,19.7,-13,F-C,davisan02
41,Anthony Davis,2020-02-01,26-327,LAL,@,SAC,W 129-113,*,30,5,9,.556,4,7,.571,1,2,.500,10,10,1.000,.784,1,3,4,6,2,1,2,1,21,22.8,12.4,20,F-C,davisan02
42,Anthony Davis,2020-02-04,26-330,LAL,,SAS,W 129-102,*,29,8,12,.667,8,11,.727,0,1,.000,2,3,.667,.676,2,4,6,1,1,0,4,1,18,12.3,-3.0,7,F-C,davisan02
43,Anthony Davis,2020-02-06,26-332,LAL,,HOU,L 111-121,*,40,14,21,.667,14,21,.667,0,0,,4,5,.800,.690,1,12,13,3,3,3,0,3,32,32.8,13.0,-4,F-C,davisan02
44,Anthony Davis,2020-02-08,26-334,LAL,@,GSW,W 125-120,*,35,9,14,.643,9,14,.643,0,0,,9,13,.692,.685,2,8,10,4,3,1,2,2,27,26.7,8.3,4,F-C,davisan02
45,Anthony Davis,2020-02-10,26-336,LAL,,PHO,W 125-100,*,31,9,17,.529,9,14,.643,0,3,.000,7,8,.875,.609,3,7,10,5,1,1,3,2,25,21.9,8.1,9,F-C,davisan02
46,Anthony Davis,2020-02-12,26-338,LAL,@,DEN,W 120-116 (OT),*,42,12,23,.522,9,17,.529,3,6,.500,6,9,.667,.612,1,9,10,2,2,2,2,2,33,25.9,8.1,5,F-C,davisan02
47,Anthony Davis,2020-02-21,26-347,LAL,,MEM,W 117-105,*,31,8,17,.471,6,13,.462,2,4,.500,10,15,.667,.593,5,8,13,4,1,7,4,2,28,27.1,15.4,11,F-C,davisan02
48,Anthony Davis,2020-02-23,26-349,LAL,,BOS,W 114-112,*,39,10,25,.400,7,20,.350,3,5,.600,9,12,.750,.528,6,7,13,3,0,2,6,3,32,19.9,1.1,-3,F-C,davisan02
49,Anthony Davis,2020-02-25,26-351,LAL,,NOP,W 118-109,*,36,6,21,.286,6,18,.333,0,3,.000,9,10,.900,.413,6,8,14,3,1,6,2,3,21,19.0,2.2,11,F-C,davisan02
50,Anthony Davis,2020-02-27,26-353,LAL,@,GSW,W 116-86,*,25,6,13,.462,5,10,.500,1,3,.333,10,12,.833,.629,1,5,6,1,2,2,3,2,23,18.0,7.0,17,F-C,davisan02
51,Anthony Davis,2020-02-29,26-355,LAL,@,MEM,L 88-105,*,25,7,12,.583,6,9,.667,1,3,.333,0,1,.000,.603,2,7,9,4,0,2,1,2,15,14.9,13.1,-10,F-C,davisan02
52,Anthony Davis,2020-03-03,26-358,LAL,,PHI,W 120-107,*,39,13,19,.684,9,14,.643,4,5,.800,7,8,.875,.821,3,10,13,2,4,2,2,1,37,38.0,19.9,30,F-C,davisan02
53,Anthony Davis,2020-03-06,26-361,LAL,,MIL,W 113-103,*,29,10,24,.417,10,20,.500,0,4,.000,10,11,.909,.520,4,5,9,0,0,2,4,4,30,16.9,2.7,8,F-C,davisan02
54,Anthony Davis,2020-03-08,26-363,LAL,@,LAC,W 112-103,*,34,11,19,.579,10,15,.667,1,4,.250,7,8,.875,.666,0,7,7,2,2,1,1,5,30,23.9,11.6,12,F-C,davisan02
55,Anthony Davis,2020-03-10,26-365,LAL,,BRK,L 102-104,*,37,9,19,.474,5,11,.455,4,8,.500,4,5,.800,.613,2,6,8,2,0,1,1,4,26,18.6,5.4,-5,F-C,davisan02
56,Anthony Davis,2020-07-30,27-141,LAL,,LAC,W 103-101,*,35,8,19,.421,6,14,.429,2,5,.400,16,17,.941,.642,2,6,8,4,0,0,4,4,34,23.9,11.0,-3,F-C,davisan02
57,Anthony Davis,2020-08-01,27-143,LAL,@,TOR,L 92-107,*,35,2,7,.286,1,4,.250,1,3,.333,9,9,1.000,.639,1,5,6,3,1,3,0,3,14,16.1,7.7,-17,F-C,davisan02
58,Anthony Davis,2020-08-03,27-145,LAL,@,UTA,W 116-108,*,39,13,28,.464,9,20,.450,4,8,.500,12,15,.800,.607,1,11,12,4,3,1,1,3,42,34.7,14.4,7,F-C,davisan02
59,Anthony Davis,2020-08-05,27-147,LAL,,OKC,L 86-105,*,29,3,11,.273,3,8,.375,0,3,.000,3,4,.750,.353,2,6,8,5,0,0,1,5,9,5.8,-2.3,-15,F-C,davisan02
60,Anthony Davis,2020-08-06,27-148,LAL,@,HOU,L 97-113,*,30,5,8,.625,5,8,.625,0,0,,7,9,.778,.711,5,7,12,3,0,1,7,1,17,13.6,-0.5,-9,F-C,davisan02
61,Anthony Davis,2020-08-08,27-150,LAL,@,IND,L 111-116,*,35,3,14,.214,3,10,.300,0,4,.000,2,2,1.000,.269,3,5,8,4,2,2,4,1,8,4.8,-8.2,-20,F-C,davisan02
62,Anthony Davis,2020-08-10,27-152,LAL,,DEN,W 124-121,*,38,9,15,.600,9,14,.643,0,1,.000,9,12,.750,.666,4,2,6,5,3,2,2,1,27,27.8,9.0,13,F-C,davisan02
1,Kyle Kuzma,2020-12-22,25-151,LAL,,LAC,L 109-116,,27,6,11,.545,5,8,.625,1,3,.333,2,2,1.000,.631,0,1,1,0,0,0,2,2,15,7.2,-2.3,1,F,kuzmaky01
2,Kyle Kuzma,2020-12-25,25-154,LAL,,DAL,W 138-115,,22,5,11,.455,2,7,.286,3,4,.750,0,0,,.591,2,4,6,2,0,1,0,1,13,11.6,4.0,7,F,kuzmaky01
3,Kyle Kuzma,2020-12-27,25-156,LAL,,MIN,W 127-91,*,29,8,12,.667,4,6,.667,4,6,.667,0,0,,.833,1,2,3,3,0,3,1,1,20,18.9,12.3,38,F,kuzmaky01
4,Kyle Kuzma,2020-12-28,25-157,LAL,,POR,L 107-115,,23,2,9,.222,0,1,.000,2,8,.250,0,0,,.333,0,0,0,0,0,1,2,3,6,-2.0,-13.6,-23,F,kuzmaky01
5,Kyle Kuzma,2020-12-30,25-159,LAL,@,SAS,W 121-107,,24,2,7,.286,1,3,.333,1,4,.250,1,2,.500,.381,0,6,6,4,1,0,2,2,6,4.3,-2.5,10,F,kuzmaky01
6,Kyle Kuzma,2021-01-01,25-161,LAL,@,SAS,W 109-103,,23,5,11,.455,4,7,.571,1,4,.250,0,0,,.500,1,3,4,1,1,1,3,5,11,4.3,-7.0,-2,F,kuzmaky01
7,Kyle Kuzma,2021-01-03,25-163,LAL,@,MEM,W 108-94,*,30,4,9,.444,1,2,.500,3,7,.429,0,0,,.611,0,3,3,1,0,2,3,4,11,4.7,-3.5,7,F,kuzmaky01
8,Kyle Kuzma,2021-01-05,25-165,LAL,@,MEM,W 94-92,*,30,2,5,.400,2,3,.667,0,2,.000,1,2,.500,.425,1,5,6,0,0,0,1,2,5,2.3,-7.6,21,F,kuzmaky01
9,Kyle Kuzma,2021-01-07,25-167,LAL,,SAS,L 109-118,*,30,6,16,.375,5,10,.500,1,6,.167,0,0,,.406,4,6,10,0,0,0,0,1,13,8.4,-6.0,-17,F,kuzmaky01
10,Kyle Kuzma,2021-01-08,25-168,LAL,,CHI,W 117-115,,17,2,5,.400,0,2,.000,2,3,.667,0,0,,.600,1,0,1,1,0,0,1,1,6,3.3,-3.0,-6,F,kuzmaky01
11,Kyle Kuzma,2021-01-10,25-170,LAL,@,HOU,W 120-102,,24,5,12,.417,2,4,.500,3,8,.375,0,0,,.542,0,2,2,1,0,1,3,0,13,5.6,-4.4,-4,F,kuzmaky01
12,Kyle Kuzma,2021-01-12,25-172,LAL,@,HOU,W 117-100,,27,4,6,.667,3,4,.750,1,2,.500,2,3,.667,.751,0,11,11,1,0,0,2,3,11,8.8,-2.2,-2,F,kuzmaky01
13,Kyle Kuzma,2021-01-13,25-173,LAL,@,OKC,W 128-99,,18,3,8,.375,2,4,.500,1,4,.250,0,0,,.438,3,3,6,2,1,1,1,0,7,7.7,2.4,8,F,kuzmaky01
14,Kyle Kuzma,2021-01-15,25-175,LAL,,NOP,W 112-95,,22,3,10,.300,0,6,.000,3,4,.750,2,3,.667,.486,3,10,13,1,1,0,1,1,11,10.2,1.4,-3,F,kuzmaky01
15,Kyle Kuzma,2021-01-18,25-178,LAL,,GSW,L 113-115,,25,6,11,.545,3,4,.750,3,7,.429,0,0,,.682,2,8,10,0,0,0,2,4,15,9.9,0.6,-13,F,kuzmaky01
16,Kyle Kuzma,2021-01-21,25-181,LAL,@,MIL,W 113-106,,22,2,6,.333,1,3,.333,1,3,.333,0,0,,.417,1,4,5,0,0,2,1,1,5,3.5,-5.9,-1,F,kuzmaky01
17,Kyle Kuzma,2021-01-23,25-183,LAL,@,CHI,W 101-90,,23,2,7,.286,2,4,.500,0,3,.000,0,0,,.286,1,4,5,1,0,0,1,2,4,0.7,-7.3,9,F,kuzmaky01
18,Kyle Kuzma,2021-01-25,25-185,LAL,@,CLE,W 115-108,,22,2,5,.400,2,4,.500,0,1,.000,0,0,,.400,6,2,8,1,0,1,1,2,4,5.7,-3.8,10,F,kuzmaky01
19,Kyle Kuzma,2021-01-27,25-187,LAL,@,PHI,L 106-107,,16,1,4,.250,1,3,.333,0,1,.000,1,2,.500,.307,2,4,6,1,0,0,1,1,3,2.1,-5.4,-5,F,kuzmaky01
20,Kyle Kuzma,2021-01-28,25-188,LAL,@,DET,L 92-107,*,30,9,17,.529,6,10,.600,3,7,.429,1,1,1.000,.631,3,7,10,0,0,1,1,2,22,16.8,6.9,-16,F,kuzmaky01
21,Kyle Kuzma,2021-01-30,25-190,LAL,@,BOS,W 96-95,,23,4,8,.500,1,1,1.000,3,7,.429,0,0,,.688,1,5,6,0,0,0,0,0,11,9.2,7.4,1,F,kuzmaky01
22,Kyle Kuzma,2021-02-01,25-192,LAL,@,ATL,W 107-99,,19,2,5,.400,1,2,.500,1,3,.333,0,0,,.500,0,3,3,2,0,0,0,0,5,4.6,0.4,-1,F,kuzmaky01
23,Kyle Kuzma,2021-02-04,25-195,LAL,,DEN,W 114-93,,25,4,9,.444,2,4,.500,2,5,.400,1,3,.333,.533,2,1,3,3,2,2,1,0,11,11.7,10.5,12,F,kuzmaky01
24,Kyle Kuzma,2021-02-06,25-197,LAL,,DET,W 135-129 (2OT),,25,5,10,.500,2,5,.400,3,5,.600,1,2,.500,.643,4,2,6,1,1,0,1,3,14,11.5,3.5,-3,F,kuzmaky01
