Rk,Player,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Aaron Gordon,2019-10-23,24-037,ORL,,CLE,W 94-85,*,29,2,8,.250,1,6,.167,1,2,.500,4,6,.667,.423,0,2,2,3,2,1,1,4,9,6.2,-1.1,1,F,gordoaa01
2,Aaron Gordon,2019-10-26,24-040,ORL,@,ATL,L 99-103,*,30,4,10,.400,4,8,.500,0,2,.000,2,2,1.000,.460,4,3,7,3,2,0,1,0,10,11.4,3.0,-11,F,gordoaa01
3,Aaron Gordon,2019-10-28,24-042,ORL,@,TOR,L 95-104,*,30,1,6,.167,1,4,.250,0,2,.000,0,0,,.167,1,4,5,5,0,2,3,3,2,0.8,-6.6,-17,F,gordoaa01
4,Aaron Gordon,2019-10-30,24-044,ORL,,NYK,W 95-83,*,28,6,13,.462,3,7,.429,3,6,.500,0,0,,.577,3,8,11,1,1,1,0,3,15,14.0,7.9,17,F,gordoaa01
5,Aaron Gordon,2019-11-01,24-046,ORL,,MIL,L 91-123,*,28,3,10,.300,1,5,.200,2,5,.400,3,5,.600,.451,1,3,4,3,0,0,1,3,11,5.9,-3.5,-3,F,gordoaa01
6,Aaron Gordon,2019-11-02,24-047,ORL,,DEN,L 87-91,*,32,9,15,.600,8,11,.727,1,4,.250,2,5,.400,.610,2,7,9,3,0,0,0,1,21,18.1,10.0,-14,F,gordoaa01
7,Aaron Gordon,2019-11-05,24-050,ORL,@,OKC,L 94-102,*,29,6,13,.462,6,10,.600,0,3,.000,3,4,.750,.508,2,5,7,3,0,0,2,5,15,8.9,-0.9,-4,F,gordoaa01
8,Aaron Gordon,2019-11-06,24-051,ORL,@,DAL,L 106-107,*,37,10,17,.588,9,12,.750,1,5,.200,2,2,1.000,.643,3,1,4,1,2,0,4,6,23,13.8,-3.1,-6,F,gordoaa01
9,Aaron Gordon,2019-11-08,24-053,ORL,,MEM,W 118-86,*,32,7,11,.636,7,9,.778,0,2,.000,3,3,1.000,.690,1,3,4,2,1,0,2,2,17,13.3,1.3,26,F,gordoaa01
10,Aaron Gordon,2019-11-10,24-055,ORL,,IND,L 102-109,*,30,5,10,.500,3,5,.600,2,5,.400,1,1,1.000,.623,1,1,2,3,0,1,1,1,13,10.4,0.0,-8,F,gordoaa01
11,Aaron Gordon,2019-11-13,24-058,ORL,,PHI,W 112-97,*,36,4,12,.333,1,7,.143,3,5,.600,7,9,.778,.564,1,12,13,7,1,1,2,2,18,18.5,9.9,11,F,gordoaa01
12,Aaron Gordon,2019-11-15,24-060,ORL,,SAS,W 111-109,*,36,4,15,.267,3,9,.333,1,6,.167,5,8,.625,.378,3,5,8,4,0,1,2,3,14,7.8,-7.3,5,F,gordoaa01
13,Aaron Gordon,2019-11-17,24-062,ORL,,WAS,W 125-121,*,37,5,16,.313,4,11,.364,1,5,.200,2,2,1.000,.385,1,8,9,2,0,0,0,0,13,8.3,-8.8,4,F,gordoaa01
14,Aaron Gordon,2019-11-20,24-065,ORL,@,TOR,L 97-113,*,12,1,3,.333,1,2,.500,0,1,.000,0,0,,.333,0,2,2,0,0,0,0,1,2,0.5,-13.8,-6,F,gordoaa01
15,Aaron Gordon,2019-11-29,24-074,ORL,,TOR,L 83-90,*,32,2,11,.182,1,7,.143,1,4,.250,3,4,.750,.313,1,7,8,2,2,1,0,2,8,6.8,0.6,0,F,gordoaa01
16,Aaron Gordon,2019-12-01,24-076,ORL,,GSW,W 100-96,*,30,2,11,.182,1,6,.167,1,5,.200,3,4,.750,.313,1,6,7,4,0,0,3,3,8,1.8,-11.3,-6,F,gordoaa01
17,Aaron Gordon,2019-12-03,24-078,ORL,@,WAS,W 127-120,*,32,7,15,.467,5,10,.500,2,5,.400,2,4,.500,.537,2,9,11,2,0,0,0,0,18,15.0,-0.4,-4,F,gordoaa01
18,Aaron Gordon,2019-12-04,24-079,ORL,,PHO,W 128-114,*,34,13,15,.867,8,10,.800,5,5,1.000,1,2,.500,1.008,0,5,5,5,1,0,1,1,32,30.9,19.7,12,F,gordoaa01
19,Aaron Gordon,2019-12-06,24-081,ORL,@,CLE,W 93-87,*,31,6,13,.462,6,11,.545,0,2,.000,2,2,1.000,.504,0,5,5,2,1,1,2,1,14,9.5,-1.1,0,F,gordoaa01
20,Aaron Gordon,2019-12-09,24-084,ORL,@,MIL,L 101-110,*,38,3,12,.250,2,6,.333,1,6,.167,3,4,.750,.363,4,9,13,2,1,1,3,2,10,7.2,-5.7,-12,F,gordoaa01
21,Aaron Gordon,2019-12-11,24-086,ORL,,LAL,L 87-96,*,34,5,11,.455,4,8,.500,1,3,.333,3,4,.750,.549,5,9,14,4,1,1,3,3,14,14.4,4.8,-13,F,gordoaa01
22,Aaron Gordon,2019-12-13,24-088,ORL,,HOU,L 107-130,*,33,9,15,.600,7,10,.700,2,5,.400,1,1,1.000,.680,3,3,6,4,0,0,1,0,21,18.9,5.0,-18,F,gordoaa01
23,Aaron Gordon,2019-12-15,24-090,ORL,@,NOP,W 130-119,*,33,3,13,.231,2,8,.250,1,5,.200,2,4,.500,.305,1,3,4,2,1,0,2,3,9,1.1,-16.1,11,F,gordoaa01
24,Aaron Gordon,2019-12-17,24-092,ORL,@,UTA,L 102-109,*,30,3,9,.333,3,7,.429,0,2,.000,0,0,,.333,0,5,5,2,0,0,1,2,6,2.0,-10.2,-12,F,gordoaa01
25,Aaron Gordon,2019-12-18,24-093,ORL,@,DEN,L 104-113,*,33,4,14,.286,3,9,.333,1,5,.200,0,1,.000,.312,1,6,7,3,1,1,2,1,9,4.3,-7.7,-11,F,gordoaa01
26,Aaron Gordon,2019-12-20,24-095,ORL,@,POR,L 103-118,*,30,4,17,.235,4,15,.267,0,2,.000,3,4,.750,.293,6,5,11,4,0,1,0,2,11,8.7,-3.9,-9,F,gordoaa01
