Rk,Player,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Ja Morant,2019-10-23,20-074,MEM,@,MIA,L 101-120,*,25,6,12,.500,6,11,.545,0,1,.000,2,4,.500,.509,0,4,4,4,1,1,6,4,14,5.3,-6.0,-29,G,moranja01
2,Ja Morant,2019-10-25,20-076,MEM,,CHI,L 102-110,*,28,3,9,.333,2,8,.250,1,1,1.000,3,4,.750,.465,2,1,3,5,3,0,4,1,10,8.3,-1.0,-2,G,moranja01
3,Ja Morant,2019-10-27,20-078,MEM,,BRK,W 134-133 (OT),*,32,13,22,.591,12,20,.600,1,2,.500,3,4,.750,.631,1,3,4,9,1,1,6,3,30,21.8,3.0,10,G,moranja01
4,Ja Morant,2019-10-29,20-080,MEM,@,LAL,L 91-120,*,25,6,13,.462,5,10,.500,1,3,.333,3,3,1.000,.559,1,2,3,2,2,0,4,3,16,8.8,1.0,9,G,moranja01
5,Ja Morant,2019-11-02,20-084,MEM,,PHO,L 105-114,*,29,9,16,.563,7,13,.538,2,3,.667,4,4,1.000,.676,0,3,3,7,1,0,4,2,24,18.4,6.2,-13,G,moranja01
6,Ja Morant,2019-11-04,20-086,MEM,,HOU,L 100-107,*,28,10,16,.625,9,14,.643,1,2,.500,2,4,.500,.648,2,3,5,6,1,0,3,3,23,18.3,8.5,12,G,moranja01
7,Ja Morant,2019-11-06,20-088,MEM,,MIN,W 137-121,*,26,9,19,.474,9,19,.474,0,0,,8,10,.800,.556,3,1,4,4,0,0,3,1,26,17.3,-5.1,9,G,moranja01
8,Ja Morant,2019-11-08,20-090,MEM,@,ORL,L 86-118,*,26,3,13,.231,3,12,.250,0,1,.000,2,3,.667,.279,0,2,2,7,0,0,6,2,8,-1.6,-16.8,-15,G,moranja01
9,Ja Morant,2019-11-11,20-093,MEM,@,SAS,W 113-109,*,25,2,12,.167,1,9,.111,1,3,.333,4,6,.667,.307,2,2,4,3,0,0,0,3,9,3.5,-13.6,-15,G,moranja01
10,Ja Morant,2019-11-13,20-095,MEM,@,CHO,W 119-117,*,30,10,15,.667,9,13,.692,1,2,.500,2,3,.667,.705,0,1,1,11,1,0,4,0,23,21.1,6.1,9,G,moranja01
11,Ja Morant,2019-11-15,20-097,MEM,,UTA,W 107-106,*,30,9,22,.409,7,16,.438,2,6,.333,5,6,.833,.507,1,3,4,8,0,0,2,0,25,18.0,6.0,9,G,moranja01
12,Ja Morant,2019-11-17,20-099,MEM,,DEN,L 114-131,*,21,4,9,.444,3,7,.429,1,2,.500,4,6,.667,.558,0,2,2,6,0,0,4,1,13,7.9,-7.1,-7,G,moranja01
13,Ja Morant,2019-11-19,20-101,MEM,,GSW,L 95-114,*,35,7,20,.350,6,17,.353,1,3,.333,5,6,.833,.442,0,2,2,6,1,1,3,1,20,11.5,-2.7,-25,G,moranja01
14,Ja Morant,2019-11-23,20-105,MEM,,LAL,L 108-109,*,33,10,16,.625,9,14,.643,1,2,.500,5,6,.833,.697,1,2,3,6,5,0,5,2,26,23.1,11.5,-5,G,moranja01
15,Ja Morant,2019-11-25,20-107,MEM,@,IND,L 114-126,*,30,6,15,.400,6,14,.429,0,1,.000,7,8,.875,.513,1,1,2,10,2,1,0,0,19,21.2,8.8,16,G,moranja01
