Rk,Player,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Khris Middleton,2019-10-24,28-073,MIL,@,HOU,W 117-111,*,33,4,16,.250,1,7,.143,3,9,.333,0,0,,.344,1,7,8,3,1,1,2,2,11,5.2,-6.8,2,F-G,middlkh01
2,Khris Middleton,2019-10-26,28-075,MIL,,MIA,L 126-131 (OT),*,37,7,16,.438,3,5,.600,4,11,.364,7,9,.778,.626,0,4,4,3,1,0,2,5,25,16.1,2.6,4,F-G,middlkh01
3,Khris Middleton,2019-10-28,28-077,MIL,,CLE,W 129-112,*,29,9,14,.643,6,9,.667,3,5,.600,0,0,,.750,2,6,8,2,1,0,4,1,21,16.0,1.5,17,F-G,middlkh01
4,Khris Middleton,2019-10-30,28-079,MIL,@,BOS,L 105-116,*,34,10,15,.667,7,9,.778,3,6,.500,3,3,1.000,.797,0,6,6,3,0,0,1,3,26,21.2,10.4,-8,F-G,middlkh01
5,Khris Middleton,2019-11-01,28-081,MIL,@,ORL,W 123-91,*,20,7,9,.778,5,5,1.000,2,4,.500,0,0,,.889,1,5,6,0,0,0,2,3,16,11.5,4.3,-6,F-G,middlkh01
6,Khris Middleton,2019-11-02,28-082,MIL,,TOR,W 115-105,*,34,4,12,.333,4,8,.500,0,4,.000,3,4,.750,.400,1,3,4,7,0,0,3,3,11,6.1,-6.7,4,F-G,middlkh01
7,Khris Middleton,2019-11-04,28-084,MIL,@,MIN,W 134-106,*,27,9,15,.600,5,8,.625,4,7,.571,4,4,1.000,.776,0,3,3,4,2,0,2,2,26,22.0,13.4,18,F-G,middlkh01
8,Khris Middleton,2019-11-06,28-086,MIL,@,LAC,W 129-124,*,33,3,13,.231,3,8,.375,0,5,.000,7,8,.875,.393,0,3,3,2,2,0,2,4,13,5.4,-8.5,-9,F-G,middlkh01
9,Khris Middleton,2019-11-08,28-088,MIL,@,UTA,L 100-103,*,38,8,22,.364,3,14,.214,5,8,.625,5,5,1.000,.537,2,9,11,0,0,0,3,4,26,13.3,2.8,4,F-G,middlkh01
10,Khris Middleton,2019-11-10,28-090,MIL,@,OKC,W 121-119,*,23,4,7,.571,4,5,.800,0,2,.000,2,2,1.000,.635,0,4,4,5,1,0,2,3,10,9.2,1.1,10,F-G,middlkh01
11,Khris Middleton,2019-11-27,28-107,MIL,,ATL,W 111-102,,20,5,13,.385,4,9,.444,1,4,.250,5,6,.833,.512,1,2,3,3,2,0,0,1,16,13.5,9.9,13,F-G,middlkh01
12,Khris Middleton,2019-11-29,28-109,MIL,@,CLE,W 119-110,,23,5,10,.500,5,8,.625,0,2,.000,2,2,1.000,.551,2,2,4,5,0,0,1,1,12,11.1,0.9,3,F-G,middlkh01
13,Khris Middleton,2019-11-30,28-110,MIL,,CHO,W 137-96,,16,7,14,.500,7,12,.583,0,2,.000,1,1,1.000,.519,1,3,4,3,1,0,2,2,15,9.9,-5.9,-1,F-G,middlkh01
14,Khris Middleton,2019-12-02,28-112,MIL,,NYK,W 132-88,*,18,7,10,.700,5,6,.833,2,4,.500,0,0,,.800,2,5,7,3,1,0,0,0,16,17.8,21.7,26,F-G,middlkh01
15,Khris Middleton,2019-12-04,28-114,MIL,@,DET,W 127-103,*,25,6,12,.500,4,8,.500,2,4,.500,3,3,1.000,.638,0,8,8,5,1,0,0,1,17,17.5,10.5,19,F-G,middlkh01
16,Khris Middleton,2019-12-06,28-116,MIL,,LAC,W 119-91,*,25,7,9,.778,4,6,.667,3,3,1.000,0,0,,.944,0,6,6,5,0,1,1,3,17,17.3,15.4,14,F-G,middlkh01
17,Khris Middleton,2019-12-09,28-119,MIL,,ORL,W 110-101,*,29,8,18,.444,4,8,.500,4,10,.400,0,0,,.556,0,9,9,4,1,0,3,4,20,12.5,1.9,-2,F-G,middlkh01
18,Khris Middleton,2019-12-11,28-121,MIL,,NOP,W 127-112,*,31,11,22,.500,10,18,.556,1,4,.250,1,1,1.000,.535,0,5,5,4,2,0,1,1,24,17.9,-0.5,19,F-G,middlkh01
19,Khris Middleton,2019-12-13,28-123,MIL,@,MEM,W 127-114,*,35,10,19,.526,7,13,.538,3,6,.500,3,3,1.000,.640,0,3,3,3,1,0,6,2,26,13.9,-1.2,3,F-G,middlkh01
20,Khris Middleton,2019-12-14,28-124,MIL,,CLE,W 125-108,*,23,8,12,.667,5,8,.625,3,4,.750,5,6,.833,.820,1,1,2,6,1,0,1,1,24,23.2,18.9,21,F-G,middlkh01
21,Khris Middleton,2019-12-16,28-126,MIL,,DAL,L 116-120,*,28,4,12,.333,3,7,.429,1,5,.200,0,0,,.375,2,4,6,3,1,1,1,2,9,6.8,-4.4,-1,F-G,middlkh01
22,Khris Middleton,2019-12-19,28-129,MIL,,LAL,W 111-104,*,29,5,10,.500,3,5,.600,2,5,.400,3,5,.600,.615,1,5,6,2,0,0,1,4,15,10.2,-2.3,12,F-G,middlkh01
23,Khris Middleton,2019-12-21,28-131,MIL,@,NYK,W 123-102,*,24,7,17,.412,5,12,.417,2,5,.400,7,7,1.000,.573,3,3,6,5,3,1,5,3,23,17.9,6.5,35,F-G,middlkh01
24,Khris Middleton,2019-12-22,28-132,MIL,,IND,W 117-89,*,30,5,12,.417,4,9,.444,1,3,.333,1,1,1.000,.482,0,4,4,5,1,1,2,1,12,9.6,-1.0,22,F-G,middlkh01
25,Khris Middleton,2019-12-25,28-135,MIL,@,PHI,L 109-121,*,33,12,21,.571,7,12,.583,5,9,.556,2,2,1.000,.708,3,5,8,4,1,0,1,3,31,26.3,14.0,-7,F-G,middlkh01
