Rk,Player,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,RJ Barrett,2019-10-23,19-131,NYK,@,SAS,L 111-120,*,37,9,13,.692,8,10,.800,1,3,.333,2,4,.500,.711,0,5,5,2,2,0,3,3,21,15.4,0.0,-2,G-F,barrerj01
2,RJ Barrett,2019-10-25,19-133,NYK,@,BRK,L 109-113,*,36,7,16,.438,5,12,.417,2,4,.500,0,3,.000,.462,0,3,3,3,6,0,5,4,16,8.8,-0.7,0,G-F,barrerj01
3,RJ Barrett,2019-10-26,19-134,NYK,,BOS,L 95-118,*,37,9,21,.429,5,15,.333,4,6,.667,4,7,.571,.540,3,4,7,3,0,0,4,3,26,13.9,2.4,-9,G-F,barrerj01
4,RJ Barrett,2019-10-28,19-136,NYK,,CHI,W 105-98,*,40,7,15,.467,7,13,.538,0,2,.000,5,11,.455,.479,6,9,15,5,0,1,2,3,19,16.8,3.1,5,G-F,barrerj01
5,RJ Barrett,2019-10-30,19-138,NYK,@,ORL,L 83-95,*,31,4,11,.364,3,7,.429,1,4,.250,0,2,.000,.379,0,2,2,2,0,0,2,2,9,1.3,-10.5,-20,G-F,barrerj01
6,RJ Barrett,2019-11-01,19-140,NYK,@,BOS,L 102-104,*,39,5,17,.294,4,13,.308,1,4,.250,4,6,.667,.382,2,5,7,5,1,1,2,3,15,9.2,-4.1,-2,G-F,barrerj01
7,RJ Barrett,2019-11-03,19-142,NYK,,SAC,L 92-113,*,41,8,20,.400,7,15,.467,1,5,.200,5,9,.556,.459,1,3,4,3,1,1,2,0,22,13.0,-1.6,-22,G-F,barrerj01
8,RJ Barrett,2019-11-06,19-145,NYK,@,DET,L 102-122,*,34,4,12,.333,3,10,.300,1,2,.500,6,11,.545,.445,0,6,6,8,2,0,3,3,15,11.4,-4.6,-23,G-F,barrerj01
9,RJ Barrett,2019-11-08,19-147,NYK,@,DAL,W 106-102,*,35,1,9,.111,1,8,.125,0,1,.000,1,6,.167,.129,0,8,8,4,0,0,1,3,3,-1.9,-13.5,-8,G-F,barrerj01
10,RJ Barrett,2019-11-10,19-149,NYK,,CLE,L 87-108,*,24,4,11,.364,3,7,.429,1,4,.250,0,2,.000,.379,0,1,1,1,1,0,3,3,9,-0.1,-13.4,-21,G-F,barrerj01
11,RJ Barrett,2019-11-12,19-151,NYK,@,CHI,L 102-120,*,32,8,16,.500,6,12,.500,2,4,.500,3,6,.500,.563,3,3,6,9,2,0,2,3,21,19.9,9.3,7,G-F,barrerj01
12,RJ Barrett,2019-11-14,19-153,NYK,,DAL,W 106-103,*,30,3,10,.300,3,8,.375,0,2,.000,2,2,1.000,.368,1,6,7,2,1,0,4,2,8,2.3,-9.6,0,G-F,barrerj01
13,RJ Barrett,2019-11-16,19-155,NYK,,CHO,L 102-103,*,31,8,16,.500,6,12,.500,2,4,.500,4,5,.800,.604,2,3,5,2,0,0,4,2,22,12.5,-1.1,-10,G-F,barrerj01
14,RJ Barrett,2019-11-18,19-157,NYK,,CLE,W 123-105,*,24,5,13,.385,4,12,.333,1,1,1.000,4,5,.800,.493,1,1,2,1,2,2,1,2,15,10.8,2.0,12,G-F,barrerj01
15,RJ Barrett,2019-11-20,19-159,NYK,@,PHI,L 104-109,*,36,4,12,.333,4,11,.364,0,1,.000,0,0,,.333,2,5,7,3,3,1,4,3,8,4.7,-7.0,-5,G-F,barrerj01
16,RJ Barrett,2019-11-23,19-162,NYK,,SAS,L 104-111,*,29,6,11,.545,6,9,.667,0,2,.000,1,4,.250,.509,1,4,5,4,1,1,1,2,13,11.1,-1.2,6,G-F,barrerj01
17,RJ Barrett,2019-11-27,19-166,NYK,@,TOR,L 98-126,*,31,5,17,.294,3,9,.333,2,8,.250,4,6,.667,.407,0,5,5,4,3,0,4,2,16,7.8,-4.3,-20,G-F,barrerj01
18,RJ Barrett,2019-11-29,19-168,NYK,,PHI,L 95-101,*,29,8,13,.615,7,11,.636,1,2,.500,1,1,1.000,.670,0,3,3,2,0,0,2,5,18,10.4,2.7,9,G-F,barrerj01
19,RJ Barrett,2019-12-01,19-170,NYK,,BOS,L 104-113,*,35,4,13,.308,4,11,.364,0,2,.000,8,13,.615,.427,2,5,7,0,1,1,0,3,16,9.9,-5.4,-6,G-F,barrerj01
