Rk,Player,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Chris Paul,2019-10-23,34-170,OKC,@,UTA,L 95-100,*,30,7,15,.467,3,8,.375,4,7,.571,4,4,1.000,.656,1,7,8,3,1,0,1,4,22,17.6,11.9,4,G,paulch01
2,Chris Paul,2019-10-25,34-172,OKC,,WAS,L 85-97,*,30,3,9,.333,3,7,.429,0,2,.000,0,3,.000,.291,0,2,2,4,0,0,5,1,6,-2.3,-14.0,-7,G,paulch01
3,Chris Paul,2019-10-27,34-174,OKC,,GSW,W 120-92,*,19,2,5,.400,0,3,.000,2,2,1.000,4,4,1.000,.740,0,2,2,2,1,0,0,1,10,9.9,6.7,21,G,paulch01
4,Chris Paul,2019-10-28,34-175,OKC,@,HOU,L 112-116,*,34,6,14,.429,3,7,.429,3,7,.429,0,2,.000,.504,0,4,4,4,2,0,6,4,15,5.2,-6.7,-3,G,paulch01
5,Chris Paul,2019-10-30,34-177,OKC,,POR,L 99-102,*,31,5,10,.500,4,6,.667,1,4,.250,10,11,.909,.708,0,5,5,5,2,0,4,1,21,18.2,8.9,4,G,paulch01
6,Chris Paul,2019-11-02,34-180,OKC,,NOP,W 115-104,*,29,5,9,.556,2,4,.500,3,5,.600,2,2,1.000,.759,1,0,1,9,3,0,3,2,15,16.9,10.8,11,G,paulch01
7,Chris Paul,2019-11-05,34-183,OKC,,ORL,W 102-94,*,32,6,15,.400,4,9,.444,2,6,.333,6,6,1.000,.567,0,2,2,6,3,0,0,3,20,18.5,10.6,5,G,paulch01
8,Chris Paul,2019-11-07,34-185,OKC,@,SAS,L 112-121,*,31,7,14,.500,5,10,.500,2,4,.500,3,4,.750,.603,0,2,2,5,1,0,1,1,19,15.3,1.1,-12,G,paulch01
9,Chris Paul,2019-11-09,34-187,OKC,,GSW,W 114-108,*,31,5,11,.455,5,8,.625,0,3,.000,6,6,1.000,.587,0,5,5,9,3,0,3,2,16,17.3,2.9,10,G,paulch01
10,Chris Paul,2019-11-10,34-188,OKC,,MIL,L 119-121,*,32,6,11,.545,3,6,.500,3,5,.600,2,2,1.000,.715,0,5,5,5,1,0,3,1,17,14.3,0.5,-7,G,paulch01
11,Chris Paul,2019-11-12,34-190,OKC,@,IND,L 85-111,*,25,2,7,.286,2,5,.400,0,2,.000,3,4,.750,.400,0,4,4,8,3,0,3,2,7,8.5,1.1,-10,G,paulch01
12,Chris Paul,2019-11-15,34-193,OKC,,PHI,W 127-119 (OT),*,38,7,13,.538,6,10,.600,1,3,.333,12,12,1.000,.739,1,7,8,5,0,0,0,3,27,25.8,7.0,16,G,paulch01
13,Chris Paul,2019-11-18,34-196,OKC,@,LAC,L 88-90,*,33,5,10,.500,3,6,.500,2,4,.500,10,11,.909,.741,0,4,4,4,4,0,1,3,22,22.4,16.0,-1,G,paulch01
14,Chris Paul,2019-11-19,34-197,OKC,@,LAL,L 107-112,*,30,1,7,.143,1,5,.200,0,2,.000,2,2,1.000,.254,0,5,5,10,4,0,1,5,4,9.0,1.5,1,G,paulch01
15,Chris Paul,2019-11-22,34-200,OKC,,LAL,L 127-130,*,32,5,11,.455,3,5,.600,2,6,.333,6,7,.857,.639,1,3,4,7,1,0,1,4,18,16.8,2.7,-12,G,paulch01
