Rk,Player,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Al Horford,2019-10-23,33-142,PHI,,BOS,W 107-93,*,31,5,13,.385,4,7,.571,1,6,.167,5,6,.833,.512,1,1,2,3,1,0,1,5,16,9.6,1.5,6,C-F,horfoal01
2,Al Horford,2019-10-26,33-145,PHI,@,DET,W 117-111,*,34,9,18,.500,7,11,.636,2,7,.286,3,5,.600,.569,0,9,9,5,1,0,0,4,23,18.8,4.9,9,C-F,horfoal01
3,Al Horford,2019-10-28,33-147,PHI,@,ATL,W 105-103,*,32,1,4,.250,0,2,.000,1,2,.500,2,2,1.000,.512,4,5,9,2,1,4,1,4,5,9.5,2.5,4,C-F,horfoal01
4,Al Horford,2019-10-30,33-149,PHI,,MIN,W 117-95,*,34,5,12,.417,4,9,.444,1,3,.333,1,2,.500,.466,5,11,16,4,0,0,1,4,12,12.2,0.3,26,C-F,horfoal01
5,Al Horford,2019-11-02,33-152,PHI,@,POR,W 129-128,*,30,12,24,.500,11,20,.550,1,4,.250,0,0,,.521,3,2,5,7,1,2,1,3,25,20.8,3.9,8,C-F,horfoal01
6,Al Horford,2019-11-04,33-154,PHI,@,PHO,L 109-114,*,35,13,20,.650,8,12,.667,5,8,.625,1,2,.500,.766,3,2,5,4,2,1,2,4,32,27.4,17.6,-1,C-F,horfoal01
7,Al Horford,2019-11-06,33-156,PHI,@,UTA,L 104-106,*,29,3,14,.214,2,10,.200,1,4,.250,0,0,,.250,1,3,4,2,2,1,1,0,7,3.1,-6.2,-11,C-F,horfoal01
8,Al Horford,2019-11-08,33-158,PHI,@,DEN,L 97-100,*,31,3,12,.250,1,5,.200,2,7,.286,0,2,.000,.311,2,8,10,4,1,2,1,3,8,6.8,-1.9,-11,C-F,horfoal01
9,Al Horford,2019-11-10,33-160,PHI,,CHO,W 114-106,*,27,7,9,.778,7,8,.875,0,1,.000,1,1,1.000,.794,1,6,7,5,1,0,2,1,15,16.1,7.6,25,C-F,horfoal01
10,Al Horford,2019-11-13,33-163,PHI,@,ORL,L 97-112,*,33,5,18,.278,3,10,.300,2,8,.250,2,4,.500,.354,1,7,8,2,0,0,3,3,14,2.6,-10.3,-9,C-F,horfoal01
