Rk,Player,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Damian Lillard,2019-10-23,29-100,POR,,DEN,L 100-108,*,38,10,21,.476,7,11,.636,3,10,.300,9,10,.900,.630,1,3,4,8,1,0,3,3,32,24.9,11.9,0,G,lillada01
2,Damian Lillard,2019-10-25,29-102,POR,@,SAC,W 122-112,*,34,12,20,.600,9,13,.692,3,7,.429,8,8,1.000,.744,0,5,5,5,3,0,3,4,35,29.2,11.1,23,G,lillada01
3,Damian Lillard,2019-10-27,29-104,POR,@,DAL,W 121-119,*,38,10,20,.500,9,13,.692,1,7,.143,7,9,.778,.584,0,3,3,5,1,1,2,3,28,20.1,3.4,-1,G,lillada01
4,Damian Lillard,2019-10-28,29-105,POR,@,SAS,L 110-113,*,39,9,28,.321,6,18,.333,3,10,.300,7,8,.875,.444,0,9,9,7,0,2,1,3,28,18.4,4.1,4,G,lillada01
5,Damian Lillard,2019-10-30,29-107,POR,@,OKC,W 102-99,*,38,7,19,.368,3,10,.300,4,9,.444,5,6,.833,.531,1,6,7,13,2,0,1,2,23,23.9,12.3,9,G,lillada01
6,Damian Lillard,2019-11-02,29-110,POR,,PHI,L 128-129,*,39,11,16,.688,3,5,.600,8,11,.727,3,3,1.000,.953,0,5,5,9,2,0,7,1,33,28.6,9.7,7,G,lillada01
7,Damian Lillard,2019-11-04,29-112,POR,@,GSW,L 118-127,*,37,15,26,.577,10,13,.769,5,13,.385,4,4,1.000,.702,1,1,2,4,0,1,1,0,39,30.3,13.6,-11,G,lillada01
8,Damian Lillard,2019-11-07,29-115,POR,@,LAC,L 101-107,*,38,9,23,.391,6,13,.462,3,10,.300,1,2,.500,.461,1,5,6,6,3,0,3,2,22,14.7,5.8,-3,G,lillada01
9,Damian Lillard,2019-11-08,29-116,POR,,BRK,L 115-119,*,40,19,33,.576,12,17,.706,7,16,.438,15,15,1.000,.758,0,4,4,5,0,0,2,1,60,46.8,26.2,4,G,lillada01
10,Damian Lillard,2019-11-10,29-118,POR,,ATL,W 124-113 (OT),*,44,8,17,.471,5,8,.625,3,9,.333,11,12,.917,.673,1,6,7,6,1,1,4,2,30,24.5,5.2,7,G,lillada01
11,Damian Lillard,2019-11-12,29-120,POR,@,SAC,L 99-107,*,38,6,10,.600,4,5,.800,2,5,.400,13,14,.929,.835,0,4,4,5,2,1,5,1,27,24.0,10.7,-11,G,lillada01
12,Damian Lillard,2019-11-13,29-121,POR,,TOR,L 106-114,*,37,2,12,.167,0,5,.000,2,7,.286,3,3,1.000,.338,0,1,1,10,0,2,2,3,9,6.9,-4.5,-13,G,lillada01
13,Damian Lillard,2019-11-16,29-124,POR,@,SAS,W 121-116,*,40,4,19,.211,3,10,.300,1,9,.111,13,13,1.000,.445,2,4,6,6,1,0,2,3,22,14.9,-3.4,18,G,lillada01
14,Damian Lillard,2019-11-18,29-126,POR,@,HOU,L 108-132,*,35,4,15,.267,3,9,.333,1,6,.167,4,4,1.000,.388,0,6,6,11,0,0,4,4,13,8.0,-8.2,-19,G,lillada01
15,Damian Lillard,2019-11-23,29-131,POR,@,CLE,L 104-110,*,37,7,20,.350,3,11,.273,4,9,.444,5,6,.833,.508,3,5,8,8,0,1,4,2,23,16.5,-0.4,-5,G,lillada01
