Rk,Player,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Buddy Hield,2019-10-23,26-310,SAC,@,PHO,L 95-124,*,31,10,19,.526,4,7,.571,6,12,.500,2,2,1.000,.704,2,3,5,2,0,0,5,2,28,16.6,8.4,-15,G-F,hieldbu01
2,Buddy Hield,2019-10-25,26-312,SAC,,POR,L 112-122,*,32,7,18,.389,3,7,.429,4,11,.364,3,3,1.000,.543,1,4,5,1,0,0,3,3,21,9.6,-4.7,-8,G-F,hieldbu01
3,Buddy Hield,2019-10-26,26-313,SAC,@,UTA,L 81-113,*,20,1,7,.143,0,4,.000,1,3,.333,0,0,,.214,0,2,2,0,0,0,1,0,3,-1.9,-14.1,-29,G-F,hieldbu01
4,Buddy Hield,2019-10-28,26-315,SAC,,DEN,L 94-101,*,34,2,13,.154,1,7,.143,1,6,.167,0,0,,.192,1,3,4,4,1,2,5,5,5,-3.5,-15.4,-11,G-F,hieldbu01
5,Buddy Hield,2019-10-30,26-317,SAC,,CHO,L 111-118,*,38,8,22,.364,1,6,.167,7,16,.438,0,0,,.523,0,1,1,4,2,0,2,4,23,12.3,-0.5,-7,G-F,hieldbu01
6,Buddy Hield,2019-11-01,26-319,SAC,,UTA,W 102-101,*,30,9,16,.563,9,11,.818,0,5,.000,0,0,,.563,1,4,5,1,1,0,4,3,18,8.8,-4.1,9,G-F,hieldbu01
7,Buddy Hield,2019-11-03,26-321,SAC,@,NYK,W 113-92,*,30,8,16,.500,3,5,.600,5,11,.455,1,3,.333,.635,0,4,4,1,1,1,1,3,22,14.6,6.1,26,G-F,hieldbu01
8,Buddy Hield,2019-11-06,26-324,SAC,@,TOR,L 120-124,*,32,7,16,.438,2,9,.222,5,7,.714,2,2,1.000,.622,1,7,8,0,1,1,2,2,21,14.3,2.2,-14,G-F,hieldbu01
9,Buddy Hield,2019-11-08,26-326,SAC,@,ATL,W 121-109,*,26,9,17,.529,6,9,.667,3,8,.375,1,1,1.000,.631,1,4,5,1,0,1,2,1,22,14.6,-3.3,-4,G-F,hieldbu01
10,Buddy Hield,2019-11-12,26-330,SAC,,POR,W 107-99,*,37,7,21,.333,5,10,.500,2,11,.182,4,4,1.000,.439,1,3,4,1,0,0,3,2,20,6.6,-9.5,10,G-F,hieldbu01
11,Buddy Hield,2019-11-15,26-333,SAC,@,LAL,L 97-99,*,38,6,15,.400,0,1,.000,6,14,.429,3,3,1.000,.643,3,5,8,3,1,0,5,4,21,13.0,2.6,2,G-F,hieldbu01
12,Buddy Hield,2019-11-17,26-335,SAC,,BOS,W 100-99,*,38,14,24,.583,7,12,.583,7,12,.583,0,0,,.729,1,5,6,2,4,1,3,1,35,28.7,19.1,6,G-F,hieldbu01
13,Buddy Hield,2019-11-19,26-337,SAC,,PHO,W 120-116,*,29,3,14,.214,2,7,.286,1,7,.143,5,6,.833,.361,0,5,5,4,1,0,1,5,12,5.3,-12.7,9,G-F,hieldbu01
14,Buddy Hield,2019-11-22,26-340,SAC,@,BRK,L 97-116,*,32,6,15,.400,5,7,.714,1,8,.125,3,3,1.000,.490,0,1,1,5,0,0,4,3,16,6.5,-7.5,-18,G-F,hieldbu01
15,Buddy Hield,2019-11-24,26-342,SAC,@,WAS,W 113-106,*,36,4,14,.286,1,7,.143,3,7,.429,7,7,1.000,.527,1,1,2,5,0,0,2,2,18,11.5,-3.0,2,G-F,hieldbu01
16,Buddy Hield,2019-11-25,26-343,SAC,@,BOS,L 102-103,*,42,15,26,.577,4,5,.800,11,21,.524,0,1,.000,.775,0,5,5,2,0,1,4,0,41,28.0,11.9,2,G-F,hieldbu01
17,Buddy Hield,2019-11-27,26-345,SAC,@,PHI,L 91-97,*,37,9,24,.375,6,12,.500,3,12,.250,1,1,1.000,.450,2,4,6,4,0,0,3,3,22,10.0,-1.7,-16,G-F,hieldbu01
18,Buddy Hield,2019-11-30,26-348,SAC,,DEN,W 100-97 (OT),*,40,7,20,.350,4,7,.571,3,13,.231,4,5,.800,.473,0,7,7,3,2,1,1,3,21,14.1,4.0,11,G-F,hieldbu01
