Rk,Player,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Mikal Bridges,2019-10-23,23-054,PHO,,SAC,W 124-95,,23,1,4,.250,1,2,.500,0,2,.000,3,4,.750,.434,0,3,3,1,3,0,0,2,5,6.0,0.3,19,F-G,bridgmi01
2,Mikal Bridges,2019-10-25,23-056,PHO,@,DEN,L 107-108 (OT),,13,1,2,.500,1,2,.500,0,0,,0,0,,.500,0,4,4,0,0,0,0,0,2,2.2,-1.1,6,F-G,bridgmi01
3,Mikal Bridges,2019-10-26,23-057,PHO,,LAC,W 130-122,,26,3,5,.600,2,2,1.000,1,3,.333,0,1,.000,.643,1,3,4,0,0,0,1,4,7,3.3,-6.9,-2,F-G,bridgmi01
4,Mikal Bridges,2019-10-28,23-059,PHO,,UTA,L 95-96,,16,0,1,.000,0,0,,0,1,.000,0,0,,.000,0,1,1,1,1,0,0,0,0,1.3,-0.7,8,F-G,bridgmi01
5,Mikal Bridges,2019-10-30,23-061,PHO,@,GSW,W 121-110,,15,1,3,.333,1,2,.500,0,1,.000,1,1,1.000,.436,0,1,1,2,2,0,1,0,3,4.0,-0.2,-5,F-G,bridgmi01
6,Mikal Bridges,2019-11-02,23-064,PHO,@,MEM,W 114-105,,19,5,6,.833,5,6,.833,0,0,,0,0,,.833,0,6,6,2,4,0,2,3,10,11.8,12.9,-7,F-G,bridgmi01
7,Mikal Bridges,2019-11-04,23-066,PHO,,PHI,W 114-109,,25,2,3,.667,2,3,.667,0,0,,2,2,1.000,.773,0,3,3,1,2,0,1,3,6,6.1,1.1,2,F-G,bridgmi01
8,Mikal Bridges,2019-11-07,23-069,PHO,,MIA,L 108-124,,20,2,8,.250,1,4,.250,1,4,.250,0,0,,.313,3,4,7,0,0,0,0,2,5,2.7,-8.7,-28,F-G,bridgmi01
9,Mikal Bridges,2019-11-10,23-072,PHO,,BRK,W 138-112,,26,2,7,.286,1,4,.250,1,3,.333,0,0,,.357,1,5,6,2,2,1,1,0,5,6.2,-2.6,-8,F-G,bridgmi01
10,Mikal Bridges,2019-11-12,23-074,PHO,,LAL,L 115-123,,15,1,3,.333,1,2,.500,0,1,.000,1,2,.500,.387,0,1,1,1,1,3,0,1,3,4.6,5.5,2,F-G,bridgmi01
11,Mikal Bridges,2019-11-14,23-076,PHO,,ATL,W 128-112,,14,1,4,.250,0,2,.000,1,2,.500,0,2,.000,.307,1,4,5,2,1,0,0,5,3,2.1,-3.9,8,F-G,bridgmi01
12,Mikal Bridges,2019-11-18,23-080,PHO,,BOS,L 85-99,,15,3,4,.750,3,3,1.000,0,1,.000,0,0,,.750,1,1,2,0,1,0,0,1,6,6.0,4.8,-1,F-G,bridgmi01
13,Mikal Bridges,2019-11-19,23-081,PHO,@,SAC,L 116-120,,26,6,9,.667,5,6,.833,1,3,.333,7,7,1.000,.828,2,3,5,0,2,0,0,2,20,19.6,10.3,12,F-G,bridgmi01
14,Mikal Bridges,2019-11-21,23-083,PHO,,NOP,L 121-124,,36,3,7,.429,3,5,.600,0,2,.000,6,6,1.000,.622,3,3,6,3,3,0,2,4,12,12.8,-0.9,10,F-G,bridgmi01
15,Mikal Bridges,2019-11-23,23-085,PHO,@,MIN,W 100-98,,23,1,5,.200,1,4,.250,0,1,.000,2,2,1.000,.340,1,4,5,2,2,0,0,1,4,5.8,-1.2,11,F-G,bridgmi01
16,Mikal Bridges,2019-11-24,23-086,PHO,@,DEN,L 104-116,,16,1,3,.333,1,1,1.000,0,2,.000,2,2,1.000,.515,0,1,1,1,1,0,0,0,4,4.3,-1.0,5,F-G,bridgmi01
17,Mikal Bridges,2019-11-27,23-089,PHO,,WAS,L 132-140,,12,0,2,.000,0,2,.000,0,0,,0,0,,.000,0,1,1,0,0,1,0,0,0,-0.4,-11.8,-5,F-G,bridgmi01
18,Mikal Bridges,2019-11-29,23-091,PHO,,DAL,L 113-120,,16,5,8,.625,4,6,.667,1,2,.500,0,0,,.688,1,0,1,0,0,0,2,1,11,5.7,-2.4,-10,F-G,bridgmi01
19,Mikal Bridges,2019-12-02,23-094,PHO,@,CHO,W 109-104,,30,5,12,.417,4,9,.444,1,3,.333,1,2,.500,.466,3,5,8,2,2,1,0,5,12,10.9,-1.5,-1,F-G,bridgmi01
20,Mikal Bridges,2019-12-04,23-096,PHO,@,ORL,L 114-128,,25,5,8,.625,3,4,.750,2,4,.500,3,5,.600,.735,0,1,1,1,0,0,1,2,15,9.8,-2.8,-14,F-G,bridgmi01
