Rk,Player,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
1,Kyle Lowry,2019-10-22,33-211,TOR,,NOP,W 130-122 (OT),*,45,4,15,.267,1,4,.250,3,11,.273,11,13,.846,.531,1,4,5,6,2,0,4,4,22,14.8,0.5,-1,G,lowryky01
2,Kyle Lowry,2019-10-25,33-214,TOR,@,BOS,L 106-112,*,40,11,18,.611,5,8,.625,6,10,.600,1,1,1.000,.786,0,4,4,7,1,1,4,5,29,22.6,11.5,-7,G,lowryky01
3,Kyle Lowry,2019-10-26,33-215,TOR,@,CHI,W 108-84,*,34,4,11,.364,1,2,.500,3,9,.333,0,0,,.500,0,7,7,8,1,1,2,2,11,11.5,3.3,6,G,lowryky01
4,Kyle Lowry,2019-10-28,33-217,TOR,,ORL,W 104-95,*,38,7,18,.389,4,7,.571,3,11,.273,9,10,.900,.580,1,4,5,6,0,0,2,2,26,19.1,6.4,13,G,lowryky01
5,Kyle Lowry,2019-10-30,33-219,TOR,,DET,W 125-113,*,38,7,13,.538,5,7,.714,2,6,.333,4,5,.800,.658,0,5,5,8,2,0,2,3,20,19.2,2.6,13,G,lowryky01
6,Kyle Lowry,2019-11-02,33-222,TOR,@,MIL,L 105-115,*,38,11,18,.611,6,9,.667,5,9,.556,9,9,1.000,.820,0,4,4,6,0,1,6,2,36,27.1,12.7,-2,G,lowryky01
7,Kyle Lowry,2019-11-06,33-226,TOR,,SAC,W 124-120,*,40,8,15,.533,3,8,.375,5,7,.714,3,4,.750,.716,0,2,2,6,2,0,6,5,24,15.1,-2.2,-6,G,lowryky01
8,Kyle Lowry,2019-11-08,33-228,TOR,@,NOP,W 122-104,*,16,2,5,.400,0,0,,2,5,.400,0,0,,.600,0,2,2,5,1,0,1,0,6,7.4,8.4,15,G,lowryky01
9,Kyle Lowry,2019-12-03,33-253,TOR,,MIA,L 110-121 (OT),*,41,2,18,.111,2,7,.286,0,11,.000,8,8,1.000,.279,2,4,6,11,1,1,1,3,12,10.0,-3.0,-14,G,lowryky01
10,Kyle Lowry,2019-12-05,33-255,TOR,,HOU,L 109-119,*,42,5,8,.625,2,3,.667,3,5,.600,6,6,1.000,.893,1,4,5,8,1,0,4,3,19,18.7,2.6,-7,G,lowryky01
11,Kyle Lowry,2019-12-08,33-258,TOR,@,PHI,L 104-110,*,38,7,14,.500,3,6,.500,4,8,.500,8,9,.889,.724,2,4,6,5,2,0,4,4,26,21.1,7.9,0,G,lowryky01
12,Kyle Lowry,2019-12-09,33-259,TOR,@,CHI,W 93-92,*,39,3,15,.200,2,7,.286,1,8,.125,4,5,.800,.320,0,7,7,7,0,1,2,2,11,6.2,-5.2,7,G,lowryky01
13,Kyle Lowry,2019-12-11,33-261,TOR,,LAC,L 92-112,*,35,1,8,.125,1,1,1.000,0,7,.000,4,4,1.000,.307,1,3,4,6,2,0,2,2,6,5.8,-4.9,-7,G,lowryky01
14,Kyle Lowry,2019-12-14,33-264,TOR,,BRK,W 110-102,*,39,5,14,.357,3,6,.500,2,8,.250,5,6,.833,.511,0,4,4,6,3,0,2,2,17,14.4,1.4,7,G,lowryky01
15,Kyle Lowry,2019-12-16,33-266,TOR,,CLE,W 133-113,*,37,6,13,.462,3,6,.500,3,7,.429,5,8,.625,.605,0,4,4,11,0,0,1,4,20,18.4,0.6,13,G,lowryky01
16,Kyle Lowry,2019-12-18,33-268,TOR,@,DET,W 112-99,*,39,5,17,.294,2,11,.182,3,6,.500,7,8,.875,.487,3,7,10,10,2,1,3,2,20,19.8,5.6,15,G,lowryky01
17,Kyle Lowry,2019-12-20,33-270,TOR,,WAS,W 122-118,*,41,7,14,.500,4,7,.571,3,7,.429,9,11,.818,.690,0,4,4,9,1,0,5,5,26,19.7,2.0,1,G,lowryky01
18,Kyle Lowry,2019-12-22,33-272,TOR,,DAL,W 110-107,*,42,12,23,.522,7,10,.700,5,13,.385,3,4,.750,.646,0,8,8,10,0,0,1,5,32,26.7,10.3,5,G,lowryky01
19,Kyle Lowry,2019-12-23,33-273,TOR,@,IND,L 115-120 (OT),*,44,10,21,.476,5,9,.556,5,12,.417,5,6,.833,.635,0,6,6,9,1,0,5,2,30,22.2,5.2,-10,G,lowryky01
20,Kyle Lowry,2019-12-25,33-275,TOR,,BOS,L 102-118,*,37,4,13,.308,1,6,.167,3,7,.429,3,4,.750,.474,1,3,4,8,2,1,5,0,14,11.0,-1.1,-16,G,lowryky01
21,Kyle Lowry,2019-12-28,33-278,TOR,@,BOS,W 113-97,*,39,10,17,.588,5,7,.714,5,10,.500,5,6,.833,.764,0,4,4,7,2,0,6,4,30,22.2,9.7,9,G,lowryky01
22,Kyle Lowry,2019-12-29,33-279,TOR,,OKC,L 97-98,*,39,6,13,.462,4,7,.571,2,6,.333,6,6,1.000,.639,0,3,3,5,1,1,6,5,20,11.4,-2.1,-3,G,lowryky01
23,Kyle Lowry,2019-12-31,33-281,TOR,,CLE,W 117-97,*,36,7,16,.438,3,4,.750,4,12,.333,6,6,1.000,.644,0,1,1,8,0,1,1,2,24,20.4,5.8,16,G,lowryky01
24,Kyle Lowry,2020-01-02,33-283,TOR,@,MIA,L 76-84,*,40,4,16,.250,2,4,.500,2,12,.167,5,6,.833,.402,1,3,4,8,0,1,1,4,15,10.3,3.1,-1,G,lowryky01
25,Kyle Lowry,2020-01-04,33-285,TOR,@,BRK,W 121-102,*,43,6,19,.316,1,7,.143,5,12,.417,9,10,.900,.556,0,4,4,5,2,1,1,5,26,19.1,5.2,17,G,lowryky01
26,Kyle Lowry,2020-01-07,33-288,TOR,,POR,L 99-101,*,38,7,23,.304,3,7,.429,4,16,.250,6,7,.857,.460,1,3,4,10,0,1,2,4,24,16.0,5.0,-7,G,lowryky01
27,Kyle Lowry,2020-01-08,33-289,TOR,@,CHO,W 112-110 (OT),*,43,4,13,.308,2,7,.286,2,6,.333,5,8,.625,.454,1,1,2,9,2,1,2,4,15,12.7,-1.9,14,G,lowryky01
28,Kyle Lowry,2020-01-12,33-293,TOR,,SAS,L 104-105,*,39,5,15,.333,1,3,.333,4,12,.333,2,2,1.000,.504,0,3,3,15,2,0,2,3,16,17.7,7.3,2,G,lowryky01
29,Kyle Lowry,2020-01-15,33-296,TOR,@,OKC,W 130-121,*,33,6,13,.462,4,8,.500,2,5,.400,3,4,.750,.576,1,3,4,8,1,0,4,4,17,12.5,-4.7,4,G,lowryky01
30,Kyle Lowry,2020-01-17,33-298,TOR,,WAS,W 140-111,*,22,4,9,.444,2,3,.667,2,6,.333,1,1,1.000,.583,1,2,3,8,2,0,1,4,11,12.6,5.1,5,G,lowryky01
31,Kyle Lowry,2020-01-18,33-299,TOR,@,MIN,W 122-112,*,28,10,17,.588,5,9,.556,5,8,.625,3,4,.750,.746,1,6,7,2,1,0,2,2,28,21.8,8.3,4,G,lowryky01
32,Kyle Lowry,2020-01-20,33-301,TOR,@,ATL,W 122-117,*,29,3,11,.273,3,6,.500,0,5,.000,4,4,1.000,.392,1,3,4,7,1,1,3,4,10,7.1,-5.7,8,G,lowryky01
33,Kyle Lowry,2020-01-22,33-303,TOR,,PHI,W 107-95,*,35,5,12,.417,5,7,.714,0,5,.000,6,9,.667,.501,0,3,3,4,0,0,2,1,16,9.7,-4.4,6,G,lowryky01
34,Kyle Lowry,2020-01-24,33-305,TOR,@,NYK,W 118-112,*,35,5,12,.417,2,4,.500,3,8,.375,13,14,.929,.716,0,6,6,3,4,1,0,3,26,26.6,11.8,-6,G,lowryky01
35,Kyle Lowry,2020-01-26,33-307,TOR,@,SAS,W 110-106,*,37,6,14,.429,5,7,.714,1,7,.143,3,3,1.000,.522,0,4,4,4,1,0,2,4,16,10.0,-6.1,2,G,lowryky01
